My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
3EA,0 s,0,1,0,1,0,1,1,1,1,1,0
3A1,500.000 ns,1,0,0,0,0,1,0,1,1,1,0
2BA,999.920 ns,0,1,0,1,1,1,0,1,0,1,0
18B,1.500000 us,1,1,0,1,0,0,0,1,1,0,0
08B,2.000000 us,1,1,0,1,0,0,0,1,0,0,0
01A,2.500000 us,0,1,0,1,1,0,0,0,0,0,0
062,3.000000 us,0,1,0,0,0,1,1,0,0,0,0
149,3.499920 us,1,0,0,1,0,0,1,0,1,0,0
277,3.999920 us,1,1,1,0,1,1,1,0,0,1,0
378,4.500000 us,0,0,0,1,1,1,1,0,1,1,0
3EA,4.999920 us,0,1,0,1,0,1,1,1,1,1,0
3A1,5.500000 us,1,0,0,0,0,1,0,1,1,1,0
2BA,5.999920 us,0,1,0,1,1,1,0,1,0,1,0
18B,6.500000 us,1,1,0,1,0,0,0,1,1,0,0
08B,7.000000 us,1,1,0,1,0,0,0,1,0,0,0
019,7.500000 us,1,0,0,1,1,0,0,0,0,0,0
062,8.000000 us,0,1,0,0,0,1,1,0,0,0,0
149,8.499920 us,1,0,0,1,0,0,1,0,1,0,0
279,8.999920 us,1,0,0,1,1,1,1,0,0,1,0
378,9.500000 us,0,0,0,1,1,1,1,0,1,1,0
3EA,9.999920 us,0,1,0,1,0,1,1,1,1,1,0
3A2,10.500000 us,0,1,0,0,0,1,0,1,1,1,0
2BA,10.999920 us,0,1,0,1,1,1,0,1,0,1,0
18C,11.500000 us,0,0,1,1,0,0,0,1,1,0,0
08B,11.999840 us,1,1,0,1,0,0,0,1,0,0,0
019,12.499840 us,1,0,0,1,1,0,0,0,0,0,0
061,12.999840 us,1,0,0,0,0,1,1,0,0,0,0
149,13.499760 us,1,0,0,1,0,0,1,0,1,0,0
278,13.999760 us,0,0,0,1,1,1,1,0,0,1,0
378,14.499760 us,0,0,0,1,1,1,1,0,1,1,0
3EA,14.999680 us,0,1,0,1,0,1,1,1,1,1,0
3A2,15.499680 us,0,1,0,0,0,1,0,1,1,1,0
2BA,15.999600 us,0,1,0,1,1,1,0,1,0,1,0
