My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
3DA,0 s,0,1,0,1,1,0,1,1,1,1,0
3E8,500.160 ns,0,0,0,1,0,1,1,1,1,1,0
3A4,1.000160 us,0,0,1,0,0,1,0,1,1,1,0
31C,1.500160 us,0,0,1,1,1,0,0,0,1,1,0
266,2.000160 us,0,1,1,0,0,1,1,0,0,1,0
19D,2.500080 us,1,0,1,1,1,0,0,1,1,0,0
0E8,3.000240 us,0,0,0,1,0,1,1,1,0,0,0
060,3.500240 us,0,0,0,0,0,1,1,0,0,0,0
01C,4.000080 us,0,0,1,1,1,0,0,0,0,0,0
027,4.500080 us,1,1,1,0,0,1,0,0,0,0,0
082,5.000160 us,0,1,0,0,0,0,0,1,0,0,0
11C,5.500080 us,0,0,1,1,1,0,0,0,1,0,0
1DA,6.000080 us,0,1,0,1,1,0,1,1,1,0,0
2A1,6.500080 us,1,0,0,0,0,1,0,1,0,1,0
34C,7.000080 us,0,0,1,1,0,0,1,0,1,1,0
3C0,7.500080 us,0,0,0,0,0,0,1,1,1,1,0
3EC,8.000000 us,0,0,1,1,0,1,1,1,1,1,0
3C7,8.500000 us,1,1,1,0,0,0,1,1,1,1,0
357,9.000000 us,1,1,1,0,1,0,1,0,1,1,0
2B0,9.500080 us,0,0,0,0,1,1,0,1,0,1,0
1EA,10.000000 us,0,1,0,1,0,1,1,1,1,0,0
12A,10.500080 us,0,1,0,1,0,1,0,0,1,0,0
08D,11.000080 us,1,0,1,1,0,0,0,1,0,0,0
02D,11.500080 us,1,0,1,1,0,1,0,0,0,0,0
01A,12.000160 us,0,1,0,1,1,0,0,0,0,0,0
058,12.500160 us,0,0,0,1,1,0,1,0,0,0,0
0DA,13.000160 us,0,1,0,1,1,0,1,1,0,0,0
18E,13.500240 us,0,1,1,1,0,0,0,1,1,0,0
256,14.000240 us,0,1,1,0,1,0,1,0,0,1,0
30F,14.500240 us,1,1,1,1,0,0,0,0,1,1,0
39B,15.000320 us,1,1,0,1,1,0,0,1,1,1,0
3E5,15.500320 us,1,0,1,0,0,1,1,1,1,1,0
3DD,16.000320 us,1,0,1,1,1,0,1,1,1,1,0
38A,16.500400 us,0,1,0,1,0,0,0,1,1,1,0
2F5,17.000240 us,1,0,1,0,1,1,1,1,0,1,0
238,17.500400 us,0,0,0,1,1,1,0,0,0,1,0
171,18.000240 us,1,0,0,0,1,1,1,0,1,0,0
0C3,18.500240 us,1,1,0,0,0,0,1,1,0,0,0
04A,19.000240 us,0,1,0,1,0,0,1,0,0,0,0
018,19.500160 us,0,0,0,1,1,0,0,0,0,0,0
036,20.000080 us,0,1,1,0,1,1,0,0,0,0,0
0A1,20.500080 us,1,0,0,0,0,1,0,1,0,0,0
146,21.000000 us,0,1,1,0,0,0,1,0,1,0,0
209,21.499920 us,1,0,0,1,0,0,0,0,0,1,0
2CB,21.999840 us,1,1,0,1,0,0,1,1,0,1,0
36D,22.499840 us,1,0,1,1,0,1,1,0,1,1,0
3D1,22.999840 us,1,0,0,0,1,0,1,1,1,1,0
3EA,23.499840 us,0,1,0,1,0,1,1,1,1,1,0
3B3,23.999760 us,1,1,0,0,1,1,0,1,1,1,0
334,24.499840 us,0,0,1,0,1,1,0,0,1,1,0
284,24.999840 us,0,0,1,0,0,0,0,1,0,1,0
1BC,25.499760 us,0,0,1,1,1,1,0,1,1,0,0
101,25.999920 us,1,0,0,0,0,0,0,0,1,0,0
071,26.499840 us,1,0,0,0,1,1,1,0,0,0,0
021,26.999920 us,1,0,0,0,0,1,0,0,0,0,0
022,27.499920 us,0,1,0,0,0,1,0,0,0,0,0
070,27.999920 us,0,0,0,0,1,1,1,0,0,0,0
101,28.500000 us,1,0,0,0,0,0,0,0,1,0,0
1BC,29.000000 us,0,0,1,1,1,1,0,1,1,0,0
284,29.500080 us,0,0,1,0,0,0,0,1,0,1,0
334,30.000000 us,0,0,1,0,1,1,0,0,1,1,0
3B3,30.500000 us,1,1,0,0,1,1,0,1,1,1,0
3EA,31.000080 us,0,1,0,1,0,1,1,1,1,1,0
3D1,31.500080 us,1,0,0,0,1,0,1,1,1,1,0
36C,32.000080 us,0,0,1,1,0,1,1,0,1,1,0
2CC,32.500080 us,0,0,1,1,0,0,1,1,0,1,0
20A,33.000080 us,0,1,0,1,0,0,0,0,0,1,0
146,33.500000 us,0,1,1,0,0,0,1,0,1,0,0
0A1,34.000080 us,1,0,0,0,0,1,0,1,0,0,0
037,34.500000 us,1,1,1,0,1,1,0,0,0,0,0
017,35.000080 us,1,1,1,0,1,0,0,0,0,0,0
04A,35.500080 us,0,1,0,1,0,0,1,0,0,0,0
0C3,36.000080 us,1,1,0,0,0,0,1,1,0,0,0
171,36.500080 us,1,0,0,0,1,1,1,0,1,0,0
238,37.000080 us,0,0,0,1,1,1,0,0,0,1,0
2F5,37.500000 us,1,0,1,0,1,1,1,1,0,1,0
38A,38.000080 us,0,1,0,1,0,0,0,1,1,1,0
3DE,38.500000 us,0,1,1,1,1,0,1,1,1,1,0
3E5,39.000080 us,1,0,1,0,0,1,1,1,1,1,0
39A,39.500000 us,0,1,0,1,1,0,0,1,1,1,0
30F,40.000000 us,1,1,1,1,0,0,0,0,1,1,0
256,40.500000 us,0,1,1,0,1,0,1,0,0,1,0
18F,40.999920 us,1,1,1,1,0,0,0,1,1,0,0
0DB,41.499920 us,1,1,0,1,1,0,1,1,0,0,0
057,42.000000 us,1,1,1,0,1,0,1,0,0,0,0
01B,42.500000 us,1,1,0,1,1,0,0,0,0,0,0
02E,43.000000 us,0,1,1,1,0,1,0,0,0,0,0
08D,43.500000 us,1,0,1,1,0,0,0,1,0,0,0
129,44.000000 us,1,0,0,1,0,1,0,0,1,0,0
1EA,44.500000 us,0,1,0,1,0,1,1,1,1,0,0
2AF,45.000000 us,1,1,1,1,0,1,0,1,0,1,0
356,45.500080 us,0,1,1,0,1,0,1,0,1,1,0
3C6,46.000080 us,0,1,1,0,0,0,1,1,1,1,0
3EB,46.500000 us,1,1,0,1,0,1,1,1,1,1,0
3C1,47.000160 us,1,0,0,0,0,0,1,1,1,1,0
34B,47.500000 us,1,1,0,1,0,0,1,0,1,1,0
2A1,48.000080 us,1,0,0,0,0,1,0,1,0,1,0
1DA,48.500000 us,0,1,0,1,1,0,1,1,1,0,0
11B,49.000000 us,1,1,0,1,1,0,0,0,1,0,0
083,49.500000 us,1,1,0,0,0,0,0,1,0,0,0
029,50.000000 us,1,0,0,1,0,1,0,0,0,0,0
01C,50.500000 us,0,0,1,1,1,0,0,0,0,0,0
060,51.000000 us,0,0,0,0,0,1,1,0,0,0,0
0E7,51.499840 us,1,1,1,0,0,1,1,1,0,0,0
19D,51.999840 us,1,0,1,1,1,0,0,1,1,0,0
266,52.499920 us,0,1,1,0,0,1,1,0,0,1,0
31B,52.999840 us,1,1,0,1,1,0,0,0,1,1,0
3A4,53.499920 us,0,0,1,0,0,1,0,1,1,1,0
3E6,53.999840 us,0,1,1,0,0,1,1,1,1,1,0
3DA,54.499840 us,0,1,0,1,1,0,1,1,1,1,0
381,54.999920 us,1,0,0,0,0,0,0,1,1,1,0
2E7,55.499760 us,1,1,1,0,0,1,1,1,0,1,0
