My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
19A,0 s,0,1,0,1,1,0,0,1,1,0,0
2C9,500.000 ns,1,0,0,1,0,0,1,1,0,1,0
3A8,1.000080 us,0,0,0,1,0,1,0,1,1,1,0
3E5,1.500000 us,1,0,1,0,0,1,1,1,1,1,0
368,2.000160 us,0,0,0,1,0,1,1,0,1,1,0
261,2.500080 us,1,0,0,0,0,1,1,0,0,1,0
132,3.000080 us,0,1,0,0,1,1,0,0,1,0,0
053,3.500160 us,1,1,0,0,1,0,1,0,0,0,0
016,4.000160 us,0,1,1,0,1,0,0,0,0,0,0
093,4.500160 us,1,1,0,0,1,0,0,1,0,0,0
19B,5.000160 us,1,1,0,1,1,0,0,1,1,0,0
2C9,5.500160 us,1,0,0,1,0,0,1,1,0,1,0
3A8,6.000160 us,0,0,0,1,0,1,0,1,1,1,0
3E5,6.500160 us,1,0,1,0,0,1,1,1,1,1,0
368,7.000240 us,0,0,0,1,0,1,1,0,1,1,0
261,7.500240 us,1,0,0,0,0,1,1,0,0,1,0
132,8.000240 us,0,1,0,0,1,1,0,0,1,0,0
053,8.500240 us,1,1,0,0,1,0,1,0,0,0,0
016,9.000320 us,0,1,1,0,1,0,0,0,0,0,0
093,9.500320 us,1,1,0,0,1,0,0,1,0,0,0
19B,10.000320 us,1,1,0,1,1,0,0,1,1,0,0
2C9,10.500400 us,1,0,0,1,0,0,1,1,0,1,0
3A8,11.000400 us,0,0,0,1,0,1,0,1,1,1,0
3E5,11.500320 us,1,0,1,0,0,1,1,1,1,1,0
368,12.000400 us,0,0,0,1,0,1,1,0,1,1,0
261,12.500400 us,1,0,0,0,0,1,1,0,0,1,0
132,13.000320 us,0,1,0,0,1,1,0,0,1,0,0
053,13.500320 us,1,1,0,0,1,0,1,0,0,0,0
016,14.000400 us,0,1,1,0,1,0,0,0,0,0,0
093,14.500320 us,1,1,0,0,1,0,0,1,0,0,0
19B,15.000320 us,1,1,0,1,1,0,0,1,1,0,0
2C9,15.500320 us,1,0,0,1,0,0,1,1,0,1,0
3A8,16.000320 us,0,0,0,1,0,1,0,1,1,1,0
3E5,16.500240 us,1,0,1,0,0,1,1,1,1,1,0
368,17.000400 us,0,0,0,1,0,1,1,0,1,1,0
261,17.500320 us,1,0,0,0,0,1,1,0,0,1,0
132,18.000320 us,0,1,0,0,1,1,0,0,1,0,0
053,18.500320 us,1,1,0,0,1,0,1,0,0,0,0
016,19.000320 us,0,1,1,0,1,0,0,0,0,0,0
094,19.500320 us,0,0,1,0,1,0,0,1,0,0,0
19B,20.000240 us,1,1,0,1,1,0,0,1,1,0,0
2C9,20.500320 us,1,0,0,1,0,0,1,1,0,1,0
3A8,21.000240 us,0,0,0,1,0,1,0,1,1,1,0
3E5,21.500160 us,1,0,1,0,0,1,1,1,1,1,0
368,22.000240 us,0,0,0,1,0,1,1,0,1,1,0
261,22.500160 us,1,0,0,0,0,1,1,0,0,1,0
132,23.000160 us,0,1,0,0,1,1,0,0,1,0,0
052,23.500160 us,0,1,0,0,1,0,1,0,0,0,0
016,24.000160 us,0,1,1,0,1,0,0,0,0,0,0
093,24.500080 us,1,1,0,0,1,0,0,1,0,0,0
19B,25.000080 us,1,1,0,1,1,0,0,1,1,0,0
2C9,25.500160 us,1,0,0,1,0,0,1,1,0,1,0
3A8,26.000080 us,0,0,0,1,0,1,0,1,1,1,0
3E5,26.500080 us,1,0,1,0,0,1,1,1,1,1,0
368,27.000160 us,0,0,0,1,0,1,1,0,1,1,0
260,27.500160 us,0,0,0,0,0,1,1,0,0,1,0
132,28.000000 us,0,1,0,0,1,1,0,0,1,0,0
052,28.500080 us,0,1,0,0,1,0,1,0,0,0,0
016,29.000080 us,0,1,1,0,1,0,0,0,0,0,0
094,29.500080 us,0,0,1,0,1,0,0,1,0,0,0
19B,30.000000 us,1,1,0,1,1,0,0,1,1,0,0
2C9,30.500080 us,1,0,0,1,0,0,1,1,0,1,0
3A8,31.000080 us,0,0,0,1,0,1,0,1,1,1,0
3E5,31.500000 us,1,0,1,0,0,1,1,1,1,1,0
