My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
360,0 s,0,0,0,0,0,1,1,0,1,1,0
2BD,499.840 ns,1,0,1,1,1,1,0,1,0,1,0
1F9,999.920 ns,1,0,0,1,1,1,1,1,1,0,0
136,1.500000 us,0,1,1,0,1,1,0,0,1,0,0
095,1.999920 us,1,0,1,0,1,0,0,1,0,0,0
02F,2.499920 us,1,1,1,1,0,1,0,0,0,0,0
014,3.000000 us,0,0,1,0,1,0,0,0,0,0,0
04B,3.499920 us,1,1,0,1,0,0,1,0,0,0,0
0C8,4.000000 us,0,0,0,1,0,0,1,1,0,0,0
178,4.499920 us,0,0,0,1,1,1,1,0,1,0,0
240,5.000080 us,0,0,0,0,0,0,1,0,0,1,0
2FB,5.499840 us,1,1,0,1,1,1,1,1,0,1,0
38E,6.000000 us,0,1,1,1,0,0,0,1,1,1,0
3DC,6.500000 us,0,0,1,1,1,0,1,1,1,1,0
3DE,6.999920 us,0,1,1,1,1,0,1,1,1,1,0
391,7.500000 us,1,0,0,0,1,0,0,1,1,1,0
301,8.000000 us,1,0,0,0,0,0,0,0,1,1,0
247,8.499920 us,1,1,1,0,0,0,1,0,0,1,0
17F,8.999920 us,1,1,1,1,1,1,1,0,1,0,0
0CD,9.500080 us,1,0,1,1,0,0,1,1,0,0,0
04F,10.000000 us,1,1,1,1,0,0,1,0,0,0,0
015,10.500080 us,1,0,1,0,1,0,0,0,0,0,0
02D,11.000080 us,1,0,1,1,0,1,0,0,0,0,0
090,11.500160 us,0,0,0,0,1,0,0,1,0,0,0
130,12.000160 us,0,0,0,0,1,1,0,0,1,0,0
1F2,12.500080 us,0,1,0,0,1,1,1,1,1,0,0
2B7,13.000080 us,1,1,1,0,1,1,0,1,0,1,0
35C,13.500160 us,0,0,1,1,1,0,1,0,1,1,0
3C7,14.000080 us,1,1,1,0,0,0,1,1,1,1,0
3E8,14.500160 us,0,0,0,1,0,1,1,1,1,1,0
3B7,15.000080 us,1,1,1,0,1,1,0,1,1,1,0
33E,15.500080 us,0,1,1,1,1,1,0,0,1,1,0
291,16.000080 us,1,0,0,0,1,0,0,1,0,1,0
1CA,16.500080 us,0,1,0,1,0,0,1,1,1,0,0
10D,17.000000 us,1,0,1,1,0,0,0,0,1,0,0
077,17.499920 us,1,1,1,0,1,1,1,0,0,0,0
021,18.000080 us,1,0,0,0,0,1,0,0,0,0,0
01B,18.499920 us,1,1,0,1,1,0,0,0,0,0,0
061,18.999920 us,1,0,0,0,0,1,1,0,0,0,0
0EE,19.499840 us,0,1,1,1,0,1,1,1,0,0,0
1A6,19.999920 us,0,1,1,0,0,1,0,1,1,0,0
26E,20.499840 us,0,1,1,1,0,1,1,0,0,1,0
322,20.999840 us,0,1,0,0,0,1,0,0,1,1,0
3A6,21.499840 us,0,1,1,0,0,1,0,1,1,1,0
3E5,21.999840 us,1,0,1,0,0,1,1,1,1,1,0
3D3,22.499840 us,1,1,0,0,1,0,1,1,1,1,0
375,22.999840 us,1,0,1,0,1,1,1,0,1,1,0
2D9,23.499840 us,1,0,0,1,1,0,1,1,0,1,0
218,23.999920 us,0,0,0,1,1,0,0,0,0,1,0
153,24.499840 us,1,1,0,0,1,0,1,0,1,0,0
0AA,24.999920 us,0,1,0,1,0,1,0,1,0,0,0
03A,25.499840 us,0,1,0,1,1,1,0,0,0,0,0
013,25.999840 us,1,1,0,0,1,0,0,0,0,0,0
03D,26.499840 us,1,0,1,1,1,1,0,0,0,0,0
0B1,26.999920 us,1,0,0,0,1,1,0,1,0,0,0
15B,27.499840 us,1,1,0,1,1,0,1,0,1,0,0
222,27.999920 us,0,1,0,0,0,1,0,0,0,1,0
2E1,28.499840 us,1,0,0,0,0,1,1,1,0,1,0
37B,28.999760 us,1,1,0,1,1,1,1,0,1,1,0
3D6,29.499920 us,0,1,1,0,1,0,1,1,1,1,0
3E3,29.999840 us,1,1,0,0,0,1,1,1,1,1,0
3A1,30.499920 us,1,0,0,0,0,1,0,1,1,1,0
31B,30.999840 us,1,1,0,1,1,0,0,0,1,1,0
265,31.499840 us,1,0,1,0,0,1,1,0,0,1,0
19D,31.999840 us,1,0,1,1,1,0,0,1,1,0,0
0E6,32.499840 us,0,1,1,0,0,1,1,1,0,0,0
05D,32.999840 us,1,0,1,1,1,0,1,0,0,0,0
019,33.499920 us,1,0,0,1,1,0,0,0,0,0,0
024,33.999840 us,0,0,1,0,0,1,0,0,0,0,0
07D,34.499760 us,1,0,1,1,1,1,1,0,0,0,0
114,34.999920 us,0,0,1,0,1,0,0,0,1,0,0
1D4,35.499840 us,0,0,1,0,1,0,1,1,1,0,0
29A,35.999760 us,0,1,0,1,1,0,0,1,0,1,0
346,36.499840 us,0,1,1,0,0,0,1,0,1,1,0
3BC,36.999760 us,0,0,1,1,1,1,0,1,1,1,0
3E8,37.499840 us,0,0,0,1,0,1,1,1,1,1,0
3C4,37.999840 us,0,0,1,0,0,0,1,1,1,1,0
355,38.499760 us,1,0,1,0,1,0,1,0,1,1,0
2AE,38.999840 us,0,1,1,1,0,1,0,1,0,1,0
1E9,39.499760 us,1,0,0,1,0,1,1,1,1,0,0
128,39.999840 us,0,0,0,1,0,1,0,0,1,0,0
08B,40.499760 us,1,1,0,1,0,0,0,1,0,0,0
029,40.999840 us,1,0,0,1,0,1,0,0,0,0,0
016,41.499840 us,0,1,1,0,1,0,0,0,0,0,0
052,41.999840 us,0,1,0,0,1,0,1,0,0,0,0
