My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
019,0 s,1,0,0,1,1,0,0,0,0,0,0
02E,500.000 ns,0,1,1,1,0,1,0,0,0,0,0
08E,1.000000 us,0,1,1,1,0,0,0,1,0,0,0
12C,1.500000 us,0,0,1,1,0,1,0,0,1,0,0
1ED,1.999920 us,1,0,1,1,0,1,1,1,1,0,0
2B3,2.500000 us,1,1,0,0,1,1,0,1,0,1,0
35A,3.000000 us,0,1,0,1,1,0,1,0,1,1,0
3C8,3.500080 us,0,0,0,1,0,0,1,1,1,1,0
3EC,4.000000 us,0,0,1,1,0,1,1,1,1,1,0
3C0,4.500080 us,0,0,0,0,0,0,1,1,1,1,0
34A,5.000000 us,0,1,0,1,0,0,1,0,1,1,0
29E,5.500000 us,0,1,1,1,1,0,0,1,0,1,0
1D7,6.000080 us,1,1,1,0,1,0,1,1,1,0,0
119,6.500160 us,1,0,0,1,1,0,0,0,1,0,0
081,7.000160 us,1,0,0,0,0,0,0,1,0,0,0
028,7.500160 us,0,0,0,1,0,1,0,0,0,0,0
01C,8.000160 us,0,0,1,1,1,0,0,0,0,0,0
061,8.500160 us,1,0,0,0,0,1,1,0,0,0,0
0E9,9.000160 us,1,0,0,1,0,1,1,1,0,0,0
1A1,9.500240 us,1,0,0,0,0,1,0,1,1,0,0
269,10.000160 us,1,0,0,1,0,1,1,0,0,1,0
31F,10.500160 us,1,1,1,1,1,0,0,0,1,1,0
3A6,11.000240 us,0,1,1,0,0,1,0,1,1,1,0
3E7,11.500160 us,1,1,1,0,0,1,1,1,1,1,0
3DA,12.000160 us,0,1,0,1,1,0,1,1,1,1,0
37E,12.500080 us,0,1,1,1,1,1,1,0,1,1,0
2E5,13.000160 us,1,0,1,0,0,1,1,1,0,1,0
226,13.500080 us,0,1,1,0,0,1,0,0,0,1,0
15F,14.000000 us,1,1,1,1,1,0,1,0,1,0,0
0B4,14.500080 us,0,0,1,0,1,1,0,1,0,0,0
042,15.000000 us,0,1,0,0,0,0,1,0,0,0,0
017,15.499920 us,1,1,1,0,1,0,0,0,0,0,0
03D,15.999920 us,1,0,1,1,1,1,0,0,0,0,0
0AE,16.499920 us,0,1,1,1,0,1,0,1,0,0,0
157,16.999840 us,1,1,1,0,1,0,1,0,1,0,0
21C,17.499920 us,0,0,1,1,1,0,0,0,0,1,0
2DD,17.999760 us,1,0,1,1,1,0,1,1,0,1,0
379,18.499760 us,1,0,0,1,1,1,1,0,1,1,0
3D7,18.999760 us,1,1,1,0,1,0,1,1,1,1,0
3E9,19.499760 us,1,0,0,1,0,1,1,1,1,1,0
3AA,19.999760 us,0,1,0,1,0,1,0,1,1,1,0
326,20.499760 us,0,1,1,0,0,1,0,0,1,1,0
271,20.999680 us,1,0,0,0,1,1,1,0,0,1,0
1A9,21.499680 us,1,0,0,1,0,1,0,1,1,0,0
0F1,21.999680 us,1,0,0,0,1,1,1,1,0,0,0
065,22.499760 us,1,0,1,0,0,1,1,0,0,0,0
01E,22.999760 us,0,1,1,1,1,0,0,0,0,0,0
025,23.499760 us,1,0,1,0,0,1,0,0,0,0,0
07B,23.999760 us,1,1,0,1,1,1,1,0,0,0,0
111,24.499920 us,1,0,0,0,1,0,0,0,1,0,0
1CF,24.999840 us,1,1,1,1,0,0,1,1,1,0,0
296,25.499920 us,0,1,1,0,1,0,0,1,0,1,0
343,25.999920 us,1,1,0,0,0,0,1,0,1,1,0
3BC,26.499920 us,0,0,1,1,1,1,0,1,1,1,0
3EC,27.000000 us,0,0,1,1,0,1,1,1,1,1,0
3CC,27.500000 us,0,0,1,1,0,0,1,1,1,1,0
35F,27.999920 us,1,1,1,1,1,0,1,0,1,1,0
2BA,28.500080 us,0,1,0,1,1,1,0,1,0,1,0
1F6,29.000000 us,0,1,1,0,1,1,1,1,1,0,0
134,29.500080 us,0,0,1,0,1,1,0,0,1,0,0
094,30.000000 us,0,0,1,0,1,0,0,1,0,0,0
030,30.500080 us,0,0,0,0,1,1,0,0,0,0,0
019,31.000000 us,1,0,0,1,1,0,0,0,0,0,0
051,31.500000 us,1,0,0,0,1,0,1,0,0,0,0
0D1,32.000000 us,1,0,0,0,1,0,1,1,0,0,0
183,32.500000 us,1,1,0,0,0,0,0,1,1,0,0
24C,33.000000 us,0,0,1,1,0,0,1,0,0,1,0
306,33.500000 us,0,1,1,0,0,0,0,0,1,1,0
396,33.999920 us,0,1,1,0,1,0,0,1,1,1,0
3E3,34.499920 us,1,1,0,0,0,1,1,1,1,1,0
3E1,35.000000 us,1,0,0,0,0,1,1,1,1,1,0
391,35.500000 us,1,0,0,0,1,0,0,1,1,1,0
2FF,35.999920 us,1,1,1,1,1,1,1,1,0,1,0
244,36.500160 us,0,0,1,0,0,0,1,0,0,1,0
17C,36.999920 us,0,0,1,1,1,1,1,0,1,0,0
0CB,37.500000 us,1,1,0,1,0,0,1,1,0,0,0
04E,38.000080 us,0,1,1,1,0,0,1,0,0,0,0
018,38.500080 us,0,0,0,1,1,0,0,0,0,0,0
032,39.000000 us,0,1,0,0,1,1,0,0,0,0,0
099,39.500000 us,1,0,0,1,1,0,0,1,0,0,0
13B,40.000000 us,1,1,0,1,1,1,0,0,1,0,0
1FD,40.500000 us,1,0,1,1,1,1,1,1,1,0,0
2C1,41.000160 us,1,0,0,0,0,0,1,1,0,1,0
365,41.500000 us,1,0,1,0,0,1,1,0,1,1,0
3CE,42.000080 us,0,1,1,1,0,0,1,1,1,1,0
3EC,42.500080 us,0,0,1,1,0,1,1,1,1,1,0
3B8,43.000080 us,0,0,0,1,1,1,0,1,1,1,0
33E,43.500080 us,0,1,1,1,1,1,0,0,1,1,0
28F,44.000080 us,1,1,1,1,0,0,0,1,0,1,0
1C8,44.500080 us,0,0,0,1,0,0,1,1,1,0,0
10B,45.000000 us,1,1,0,1,0,0,0,0,1,0,0
076,45.500000 us,0,1,1,0,1,1,1,0,0,0,0
023,46.000080 us,1,1,0,0,0,1,0,0,0,0,0
01F,46.500000 us,1,1,1,1,1,0,0,0,0,0,0
069,47.000080 us,1,0,0,1,0,1,1,0,0,0,0
0F7,47.500000 us,1,1,1,0,1,1,1,1,0,0,0
1B0,48.000080 us,0,0,0,0,1,1,0,1,1,0,0
278,48.500000 us,0,0,0,1,1,1,1,0,0,1,0
32C,49.000000 us,0,0,1,1,0,1,0,0,1,1,0
3AE,49.500000 us,0,1,1,1,0,1,0,1,1,1,0
3EA,50.000000 us,0,1,0,1,0,1,1,1,1,1,0
3D5,50.499920 us,1,0,1,0,1,0,1,1,1,1,0
374,51.000000 us,0,0,1,0,1,1,1,0,1,1,0
2D6,51.499920 us,0,1,1,0,1,0,1,1,0,1,0
215,51.999920 us,1,0,1,0,1,0,0,0,0,1,0
150,52.500000 us,0,0,0,0,1,0,1,0,1,0,0
0A9,52.999840 us,1,0,0,1,0,1,0,1,0,0,0
03A,53.499920 us,0,1,0,1,1,1,0,0,0,0,0
017,53.999840 us,1,1,1,0,1,0,0,0,0,0,0
044,54.499920 us,0,0,1,0,0,0,1,0,0,0,0
0BB,54.999760 us,1,1,0,1,1,1,0,1,0,0,0
165,55.499840 us,1,0,1,0,0,1,1,0,1,0,0
22D,55.999840 us,1,0,1,1,0,1,0,0,0,1,0
2EB,56.499760 us,1,1,0,1,0,1,1,1,0,1,0
384,56.999840 us,0,0,1,0,0,0,0,1,1,1,0
3DC,57.499680 us,0,0,1,1,1,0,1,1,1,1,0
3E7,57.999680 us,1,1,1,0,0,1,1,1,1,1,0
3A2,58.499760 us,0,1,0,0,0,1,0,1,1,1,0
318,58.999680 us,0,0,0,1,1,0,0,0,1,1,0
262,59.499600 us,0,1,0,0,0,1,1,0,0,1,0
199,59.999520 us,1,0,0,1,1,0,0,1,1,0,0
0E3,60.499600 us,1,1,0,0,0,1,1,1,0,0,0
05D,60.999600 us,1,0,1,1,1,0,1,0,0,0,0
01B,61.499600 us,1,1,0,1,1,0,0,0,0,0,0
02A,61.999600 us,0,1,0,1,0,1,0,0,0,0,0
086,62.499600 us,0,1,1,0,0,0,0,1,0,0,0
11F,62.999520 us,1,1,1,1,1,0,0,0,1,0,0
1DE,63.499600 us,0,1,1,1,1,0,1,1,1,0,0
2A5,63.999600 us,1,0,1,0,0,1,0,1,0,1,0
34F,64.499600 us,1,1,1,1,0,0,1,0,1,1,0
3C3,64.999600 us,1,1,0,0,0,0,1,1,1,1,0
3EC,65.499600 us,0,0,1,1,0,1,1,1,1,1,0
3C5,65.999600 us,1,0,1,0,0,0,1,1,1,1,0
354,66.499600 us,0,0,1,0,1,0,1,0,1,1,0
2AC,66.999520 us,0,0,1,1,0,1,0,1,0,1,0
1E5,67.499440 us,1,0,1,0,0,1,1,1,1,0,0
126,67.999440 us,0,1,1,0,0,1,0,0,1,0,0
08A,68.499440 us,0,1,0,1,0,0,0,1,0,0,0
02C,68.999360 us,0,0,1,1,0,1,0,0,0,0,0
01A,69.499360 us,0,1,0,1,1,0,0,0,0,0,0
059,69.999360 us,1,0,0,1,1,0,1,0,0,0,0
0DE,70.499360 us,0,1,1,1,1,0,1,1,0,0,0
192,70.999440 us,0,1,0,0,1,0,0,1,1,0,0
25B,71.499360 us,1,1,0,1,1,0,1,0,0,1,0
313,71.999440 us,1,1,0,0,1,0,0,0,1,1,0
39E,72.499440 us,0,1,1,1,1,0,0,1,1,1,0
3E6,72.999520 us,0,1,1,0,0,1,1,1,1,1,0
3DE,73.499520 us,0,1,1,1,1,0,1,1,1,1,0
388,73.999680 us,0,0,0,1,0,0,0,1,1,1,0
2F1,74.499600 us,1,0,0,0,1,1,1,1,0,1,0
234,74.999680 us,0,0,1,0,1,1,0,0,0,1,0
16D,75.499600 us,1,0,1,1,0,1,1,0,1,0,0
