My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
29A,0 s,0,1,0,1,1,0,0,1,0,1,0
16A,500.000 ns,0,1,0,1,0,1,1,0,1,0,0
074,1.000000 us,0,0,1,0,1,1,1,0,0,0,0
016,1.500000 us,0,1,1,0,1,0,0,0,0,0,0
074,2.000000 us,0,0,1,0,1,1,1,0,0,0,0
169,2.500000 us,1,0,0,1,0,1,1,0,1,0,0
299,3.000080 us,1,0,0,1,1,0,0,1,0,1,0
38F,3.500080 us,1,1,1,1,0,0,0,1,1,1,0
3EC,4.000160 us,0,0,1,1,0,1,1,1,1,1,0
38F,4.500160 us,1,1,1,1,0,0,0,1,1,1,0
29B,5.000160 us,1,1,0,1,1,0,0,1,0,1,0
16A,5.500240 us,0,1,0,1,0,1,1,0,1,0,0
075,6.000240 us,1,0,1,0,1,1,1,0,0,0,0
017,6.500320 us,1,1,1,0,1,0,0,0,0,0,0
074,7.000320 us,0,0,1,0,1,1,1,0,0,0,0
169,7.500320 us,1,0,0,1,0,1,1,0,1,0,0
299,8.000320 us,1,0,0,1,1,0,0,1,0,1,0
38E,8.500400 us,0,1,1,1,0,0,0,1,1,1,0
3EC,9.000400 us,0,0,1,1,0,1,1,1,1,1,0
38F,9.500400 us,1,1,1,1,0,0,0,1,1,1,0
29A,10.000480 us,0,1,0,1,1,0,0,1,0,1,0
16A,10.500480 us,0,1,0,1,0,1,1,0,1,0,0
075,11.000480 us,1,0,1,0,1,1,1,0,0,0,0
016,11.500560 us,0,1,1,0,1,0,0,0,0,0,0
075,12.000400 us,1,0,1,0,1,1,1,0,0,0,0
169,12.500480 us,1,0,0,1,0,1,1,0,1,0,0
299,13.000480 us,1,0,0,1,1,0,0,1,0,1,0
38F,13.500480 us,1,1,1,1,0,0,0,1,1,1,0
3ED,14.000480 us,1,0,1,1,0,1,1,1,1,1,0
38F,14.500480 us,1,1,1,1,0,0,0,1,1,1,0
29A,15.000480 us,0,1,0,1,1,0,0,1,0,1,0
16A,15.500400 us,0,1,0,1,0,1,1,0,1,0,0
074,16.000400 us,0,0,1,0,1,1,1,0,0,0,0
017,16.500320 us,1,1,1,0,1,0,0,0,0,0,0
074,17.000400 us,0,0,1,0,1,1,1,0,0,0,0
