My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
3EA,1.001996880 ms,0,1,0,1,0,1,1,1,1,1,0
2A0,1.002997040 ms,0,0,0,0,0,1,0,1,0,1,0
077,1.003997040 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.004997200 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.005997280 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.006997280 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.007997200 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.008997200 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.009997200 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.010997200 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.011997120 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.012997040 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.013996960 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.014996960 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.015996880 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.016996880 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.017996800 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.018996880 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.019996880 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.020996960 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.021996960 ms,0,1,0,1,0,1,1,1,1,1,0
2A0,1.022997040 ms,0,0,0,0,0,1,0,1,0,1,0
077,1.023996960 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.024996960 ms,1,1,1,1,0,1,1,0,0,0,0
291,1.025996960 ms,1,0,0,0,1,0,0,1,0,1,0
3EA,1.026996880 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.027996800 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.028996800 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.029996800 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.030996800 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.031996800 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.032996720 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.033996720 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.034996720 ms,1,1,1,1,0,1,1,0,0,0,0
291,1.035996720 ms,1,0,0,0,1,0,0,1,0,1,0
3EA,1.036996640 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.037996640 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.038996640 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.039996720 ms,1,1,1,1,0,1,1,0,0,0,0
291,1.040996720 ms,1,0,0,0,1,0,0,1,0,1,0
3EA,1.041996800 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.042996800 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.043996960 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.044996960 ms,1,1,1,1,0,1,1,0,0,0,0
291,1.045997040 ms,1,0,0,0,1,0,0,1,0,1,0
3EA,1.046997040 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.047997040 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.048996960 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.049996960 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.050996880 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.051996880 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.052996800 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.053996800 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.054996800 ms,1,1,1,1,0,1,1,0,0,0,0
291,1.055996880 ms,1,0,0,0,1,0,0,1,0,1,0
3EA,1.056996880 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.057996880 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.058996880 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.059996960 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.060996960 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.061996880 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.062996880 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.063996880 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.064996880 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.065996880 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.066996800 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.067996720 ms,1,1,1,1,1,0,0,1,0,1,0
076,1.068996720 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.069996640 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.070996640 ms,0,1,0,0,1,0,0,1,0,1,0
3EB,1.071996640 ms,1,1,0,1,0,1,1,1,1,1,0
29F,1.072996640 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.073996640 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.074996640 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.075996720 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.076996640 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.077996640 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.078996640 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.079996720 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.080996720 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.081996720 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.082996720 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.083996640 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.084996720 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.085996720 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.086996720 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.087996720 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.088996800 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.089996800 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.090996880 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.091996880 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.092996800 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.093996800 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.094996800 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.095996720 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.096996640 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.097996640 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.098996560 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.099996560 ms,1,1,1,1,0,1,1,0,0,0,0
291,1.100996640 ms,1,0,0,0,1,0,0,1,0,1,0
3EA,1.101996720 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.102996720 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.103996880 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.104996880 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.105996960 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.106996960 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.107996880 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.108996800 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.109996720 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.110996560 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.111996400 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.112996320 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.113996240 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.114996240 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.115996240 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.116996240 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.117996320 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.118996320 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.119996400 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.120996480 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.121996480 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.122996480 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.123996560 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.124996560 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.125996640 ms,0,1,0,0,1,0,0,1,0,1,0
3EB,1.126996640 ms,1,1,0,1,0,1,1,1,1,1,0
29E,1.127996720 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.128996640 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.129996720 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.130996720 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.131996720 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.132996720 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.133996720 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.134996720 ms,1,1,1,1,0,1,1,0,0,0,0
291,1.135996720 ms,1,0,0,0,1,0,0,1,0,1,0
3EA,1.136996640 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.137996640 ms,1,1,1,1,1,0,0,1,0,1,0
076,1.138996640 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.139996640 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.140996640 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.141996640 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.142996560 ms,0,1,1,1,1,0,0,1,0,1,0
