My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
043,0 s,1,1,0,0,0,0,1,0,0,0,0
03A,1.000000 us,0,1,0,1,1,1,0,0,0,0,0
150,2.000000 us,0,0,0,0,1,0,1,0,1,0,0
2D6,2.999920 us,0,1,1,0,1,0,1,1,0,1,0
3D5,3.999920 us,1,0,1,0,1,0,1,1,1,1,0
3AE,4.999920 us,0,1,1,1,0,1,0,1,1,1,0
278,5.999920 us,0,0,0,1,1,1,1,0,0,1,0
0F6,6.999920 us,0,1,1,0,1,1,1,1,0,0,0
01E,7.999920 us,0,1,1,1,1,0,0,0,0,0,0
076,8.999920 us,0,1,1,0,1,1,1,0,0,0,0
1C7,9.999920 us,1,1,1,0,0,0,1,1,1,0,0
33E,10.999920 us,0,1,1,1,1,1,0,0,1,1,0
3EC,11.999920 us,0,0,1,1,0,1,1,1,1,1,0
365,12.999920 us,1,0,1,0,0,1,1,0,1,1,0
1FD,13.999920 us,1,0,1,1,1,1,1,1,1,0,0
098,14.999920 us,0,0,0,1,1,0,0,1,0,0,0
017,15.999840 us,1,1,1,0,1,0,0,0,0,0,0
0CB,16.999760 us,1,1,0,1,0,0,1,1,0,0,0
243,17.999760 us,1,1,0,0,0,0,1,0,0,1,0
391,18.999680 us,1,0,0,0,1,0,0,1,1,1,0
3E3,19.999600 us,1,1,0,0,0,1,1,1,1,1,0
305,20.999600 us,1,0,1,0,0,0,0,0,1,1,0
183,21.999600 us,1,1,0,0,0,0,0,1,1,0,0
051,22.999680 us,1,0,0,0,1,0,1,0,0,0,0
02F,23.999680 us,1,1,1,1,0,1,0,0,0,0,0
134,24.999840 us,0,0,1,0,1,1,0,0,1,0,0
2BA,25.999840 us,0,1,0,1,1,1,0,1,0,1,0
3CC,26.999920 us,0,0,1,1,0,0,1,1,1,1,0
3BC,28.000000 us,0,0,1,1,1,1,0,1,1,1,0
295,29.000080 us,1,0,1,0,1,0,0,1,0,1,0
110,30.000240 us,0,0,0,0,1,0,0,0,1,0,0
025,31.000240 us,1,0,1,0,0,1,0,0,0,0,0
065,32.000240 us,1,0,1,0,0,1,1,0,0,0,0
1A9,33.000240 us,1,0,0,1,0,1,0,1,1,0,0
326,34.000240 us,0,1,1,0,0,1,0,0,1,1,0
3E9,35.000160 us,1,0,0,1,0,1,1,1,1,1,0
379,36.000080 us,1,0,0,1,1,1,1,0,1,1,0
21C,37.000000 us,0,0,1,1,1,0,0,0,0,1,0
0AE,37.999920 us,0,1,1,1,0,1,0,1,0,0,0
016,38.999840 us,0,1,1,0,1,0,0,0,0,0,0
0B4,39.999840 us,0,0,1,0,1,1,0,1,0,0,0
225,40.999760 us,1,0,1,0,0,1,0,0,0,1,0
37E,41.999680 us,0,1,1,1,1,1,1,0,1,1,0
3E8,42.999680 us,0,0,0,1,0,1,1,1,1,1,0
31E,43.999600 us,0,1,1,1,1,0,0,0,1,1,0
1A1,44.999600 us,1,0,0,0,0,1,0,1,1,0,0
060,45.999680 us,0,0,0,0,0,1,1,0,0,0,0
027,46.999600 us,1,1,1,0,0,1,0,0,0,0,0
118,47.999680 us,0,0,0,1,1,0,0,0,1,0,0
29D,48.999600 us,1,0,1,1,1,0,0,1,0,1,0
3BF,49.999600 us,1,1,1,1,1,1,0,1,1,1,0
3C8,50.999680 us,0,0,0,1,0,0,1,1,1,1,0
2B2,51.999600 us,0,1,0,0,1,1,0,1,0,1,0
12C,52.999680 us,0,0,1,1,0,1,0,0,1,0,0
02D,53.999600 us,1,0,1,1,0,1,0,0,0,0,0
055,54.999680 us,1,0,1,0,1,0,1,0,0,0,0
18B,55.999680 us,1,1,0,1,0,0,0,1,1,0,0
30C,56.999760 us,0,0,1,1,0,0,0,0,1,1,0
3E4,57.999760 us,0,0,1,0,0,1,1,1,1,1,0
38C,58.999760 us,0,0,1,1,0,0,0,1,1,1,0
23B,59.999680 us,1,1,0,1,1,1,0,0,0,1,0
0C4,60.999760 us,0,0,1,0,0,0,1,1,0,0,0
017,61.999760 us,1,1,1,0,1,0,0,0,0,0,0
09E,62.999760 us,0,1,1,1,1,0,0,1,0,0,0
206,63.999840 us,0,1,1,0,0,0,0,0,0,1,0
36A,64.999840 us,0,1,0,1,0,1,1,0,1,1,0
3EB,65.999840 us,1,1,0,1,0,1,1,1,1,1,0
337,66.999840 us,1,1,1,0,1,1,0,0,1,1,0
1BE,67.999840 us,0,1,1,1,1,1,0,1,1,0,0
071,68.999920 us,1,0,0,0,1,1,1,0,0,0,0
020,69.999920 us,0,0,0,0,0,1,0,0,0,0,0
0FD,70.999760 us,1,0,1,1,1,1,1,1,0,0,0
280,71.999840 us,0,0,0,0,0,0,0,1,0,1,0
3B1,72.999680 us,1,0,0,0,1,1,0,1,1,1,0
3D3,73.999680 us,1,1,0,0,1,0,1,1,1,1,0
2CF,74.999680 us,1,1,1,1,0,0,1,1,0,1,0
148,75.999680 us,0,0,0,1,0,0,1,0,1,0,0
037,76.999600 us,1,1,1,0,1,1,0,0,0,0,0
047,77.999600 us,1,1,1,0,0,0,1,0,0,0,0
16D,78.999520 us,1,0,1,1,0,1,1,0,1,0,0
2F2,79.999600 us,0,1,0,0,1,1,1,1,0,1,0
3DE,80.999600 us,0,1,1,1,1,0,1,1,1,1,0
39D,81.999600 us,1,0,1,1,1,0,0,1,1,1,0
259,82.999680 us,1,0,0,1,1,0,1,0,0,1,0
0DD,83.999760 us,1,0,1,1,1,0,1,1,0,0,0
019,84.999840 us,1,0,0,1,1,0,0,0,0,0,0
08A,85.999840 us,0,1,0,1,0,0,0,1,0,0,0
1E6,86.999760 us,0,1,1,0,0,1,1,1,1,0,0
355,87.999760 us,1,0,1,0,1,0,1,0,1,1,0
3EC,88.999680 us,0,0,1,1,0,1,1,1,1,1,0
34E,89.999600 us,0,1,1,1,0,0,1,0,1,1,0
1DD,90.999600 us,1,0,1,1,1,0,1,1,1,0,0
084,91.999600 us,0,0,1,0,0,0,0,1,0,0,0
01A,92.999520 us,0,1,0,1,1,0,0,0,0,0,0
0E4,93.999520 us,0,0,1,0,0,1,1,1,0,0,0
262,94.999520 us,0,1,0,0,0,1,1,0,0,1,0
3A3,95.999520 us,1,1,0,0,0,1,0,1,1,1,0
3DB,96.999520 us,1,1,0,1,1,0,1,1,1,1,0
2EA,97.999520 us,0,1,0,1,0,1,1,1,0,1,0
165,98.999520 us,1,0,1,0,0,1,1,0,1,0,0
043,99.999600 us,1,1,0,0,0,0,1,0,0,0,0
03A,100.999520 us,0,1,0,1,1,1,0,0,0,0,0
150,101.999600 us,0,0,0,0,1,0,1,0,1,0,0
2D7,102.999520 us,1,1,1,0,1,0,1,1,0,1,0
3D5,103.999520 us,1,0,1,0,1,0,1,1,1,1,0
3AE,104.999440 us,0,1,1,1,0,1,0,1,1,1,0
278,105.999520 us,0,0,0,1,1,1,1,0,0,1,0
0F5,106.999440 us,1,0,1,0,1,1,1,1,0,0,0
01E,107.999520 us,0,1,1,1,1,0,0,0,0,0,0
076,108.999520 us,0,1,1,0,1,1,1,0,0,0,0
1C8,109.999600 us,0,0,0,1,0,0,1,1,1,0,0
33E,110.999600 us,0,1,1,1,1,1,0,0,1,1,0
3EB,111.999600 us,1,1,0,1,0,1,1,1,1,1,0
364,112.999680 us,0,0,1,0,0,1,1,0,1,1,0
1FC,113.999680 us,0,0,1,1,1,1,1,1,1,0,0
097,114.999680 us,1,1,1,0,1,0,0,1,0,0,0
017,115.999680 us,1,1,1,0,1,0,0,0,0,0,0
0CC,116.999760 us,0,0,1,1,0,0,1,1,0,0,0
244,117.999760 us,0,0,1,0,0,0,1,0,0,1,0
391,118.999680 us,1,0,0,0,1,0,0,1,1,1,0
3E2,119.999680 us,0,1,0,0,0,1,1,1,1,1,0
305,120.999680 us,1,0,1,0,0,0,0,0,1,1,0
182,121.999680 us,0,1,0,0,0,0,0,1,1,0,0
050,122.999680 us,0,0,0,0,1,0,1,0,0,0,0
02F,123.999600 us,1,1,1,1,0,1,0,0,0,0,0
134,124.999600 us,0,0,1,0,1,1,0,0,1,0,0
2BB,125.999520 us,1,1,0,1,1,1,0,1,0,1,0
3CB,126.999520 us,1,1,0,1,0,0,1,1,1,1,0
3BC,127.999520 us,0,0,1,1,1,1,0,1,1,1,0
294,128.999520 us,0,0,1,0,1,0,0,1,0,1,0
110,129.999520 us,0,0,0,0,1,0,0,0,1,0,0
024,130.999440 us,0,0,1,0,0,1,0,0,0,0,0
065,131.999440 us,1,0,1,0,0,1,1,0,0,0,0
1A9,132.999360 us,1,0,0,1,0,1,0,1,1,0,0
326,133.999440 us,0,1,1,0,0,1,0,0,1,1,0
3E9,134.999360 us,1,0,0,1,0,1,1,1,1,1,0
379,135.999440 us,1,0,0,1,1,1,1,0,1,1,0
21C,136.999440 us,0,0,1,1,1,0,0,0,0,1,0
0AD,137.999440 us,1,0,1,1,0,1,0,1,0,0,0
016,138.999520 us,0,1,1,0,1,0,0,0,0,0,0
0B4,139.999520 us,0,0,1,0,1,1,0,1,0,0,0
226,140.999600 us,0,1,1,0,0,1,0,0,0,1,0
37E,141.999520 us,0,1,1,1,1,1,1,0,1,1,0
3E8,142.999680 us,0,0,0,1,0,1,1,1,1,1,0
31E,143.999600 us,0,1,1,1,1,0,0,0,1,1,0
1A0,144.999680 us,0,0,0,0,0,1,0,1,1,0,0
060,145.999680 us,0,0,0,0,0,1,1,0,0,0,0
027,146.999600 us,1,1,1,0,0,1,0,0,0,0,0
119,147.999600 us,1,0,0,1,1,0,0,0,1,0,0
29E,148.999600 us,0,1,1,1,1,0,0,1,0,1,0
3C0,149.999680 us,0,0,0,0,0,0,1,1,1,1,0
3C8,150.999600 us,0,0,0,1,0,0,1,1,1,1,0
2B2,151.999600 us,0,1,0,0,1,1,0,1,0,1,0
12C,152.999520 us,0,0,1,1,0,1,0,0,1,0,0
02D,153.999520 us,1,0,1,1,0,1,0,0,0,0,0
055,154.999440 us,1,0,1,0,1,0,1,0,0,0,0
18B,155.999440 us,1,1,0,1,0,0,0,1,1,0,0
30D,156.999360 us,1,0,1,1,0,0,0,0,1,1,0
3E4,157.999360 us,0,0,1,0,0,1,1,1,1,1,0
38C,158.999280 us,0,0,1,1,0,0,0,1,1,1,0
23B,159.999200 us,1,1,0,1,1,1,0,0,0,1,0
0C5,160.999200 us,1,0,1,0,0,0,1,1,0,0,0
017,161.999120 us,1,1,1,0,1,0,0,0,0,0,0
09E,162.999120 us,0,1,1,1,1,0,0,1,0,0,0
207,163.999120 us,1,1,1,0,0,0,0,0,0,1,0
36B,164.999120 us,1,1,0,1,0,1,1,0,1,1,0
3EB,165.999200 us,1,1,0,1,0,1,1,1,1,1,0
336,166.999280 us,0,1,1,0,1,1,0,0,1,1,0
1BE,167.999360 us,0,1,1,1,1,1,0,1,1,0,0
071,168.999520 us,1,0,0,0,1,1,1,0,0,0,0
01F,169.999520 us,1,1,1,1,1,0,0,0,0,0,0
0FE,170.999600 us,0,1,1,1,1,1,1,1,0,0,0
281,171.999680 us,1,0,0,0,0,0,0,1,0,1,0
3B2,172.999680 us,0,1,0,0,1,1,0,1,1,1,0
3D3,173.999600 us,1,1,0,0,1,0,1,1,1,1,0
2CE,174.999600 us,0,1,1,1,0,0,1,1,0,1,0
147,175.999600 us,1,1,1,0,0,0,1,0,1,0,0
037,176.999520 us,1,1,1,0,1,1,0,0,0,0,0
047,177.999520 us,1,1,1,0,0,0,1,0,0,0,0
16E,178.999440 us,0,1,1,1,0,1,1,0,1,0,0
2F3,179.999440 us,1,1,0,0,1,1,1,1,0,1,0
3DE,180.999360 us,0,1,1,1,1,0,1,1,1,1,0
39D,181.999360 us,1,0,1,1,1,0,0,1,1,1,0
259,182.999360 us,1,0,0,1,1,0,1,0,0,1,0
0DC,183.999360 us,0,0,1,1,1,0,1,1,0,0,0
01A,184.999360 us,0,1,0,1,1,0,0,0,0,0,0
08A,185.999360 us,0,1,0,1,0,0,0,1,0,0,0
1E7,186.999360 us,1,1,1,0,0,1,1,1,1,0,0
355,187.999360 us,1,0,1,0,1,0,1,0,1,1,0
3EC,188.999360 us,0,0,1,1,0,1,1,1,1,1,0
34E,189.999360 us,0,1,1,1,0,0,1,0,1,1,0
1DD,190.999360 us,1,0,1,1,1,0,1,1,1,0,0
084,191.999440 us,0,0,1,0,0,0,0,1,0,0,0
01A,192.999360 us,0,1,0,1,1,0,0,0,0,0,0
0E5,193.999360 us,1,0,1,0,0,1,1,1,0,0,0
263,194.999360 us,1,1,0,0,0,1,1,0,0,1,0
3A3,195.999360 us,1,1,0,0,0,1,0,1,1,1,0
3DC,196.999280 us,0,0,1,1,1,0,1,1,1,1,0
2EA,197.999280 us,0,1,0,1,0,1,1,1,0,1,0
164,198.999280 us,0,0,1,0,0,1,1,0,1,0,0
043,199.999200 us,1,1,0,0,0,0,1,0,0,0,0
03B,200.999200 us,1,1,0,1,1,1,0,0,0,0,0
150,201.999280 us,0,0,0,0,1,0,1,0,1,0,0
2D7,202.999200 us,1,1,1,0,1,0,1,1,0,1,0
3D6,203.999280 us,0,1,1,0,1,0,1,1,1,1,0
3AD,204.999360 us,1,0,1,1,0,1,0,1,1,1,0
277,205.999280 us,1,1,1,0,1,1,1,0,0,1,0
0F5,206.999360 us,1,0,1,0,1,1,1,1,0,0,0
01D,207.999360 us,1,0,1,1,1,0,0,0,0,0,0
077,208.999360 us,1,1,1,0,1,1,1,0,0,0,0
1C9,209.999360 us,1,0,0,1,0,0,1,1,1,0,0
33E,210.999280 us,0,1,1,1,1,1,0,0,1,1,0
3EC,211.999280 us,0,0,1,1,0,1,1,1,1,1,0
364,212.999280 us,0,0,1,0,0,1,1,0,1,1,0
1FB,213.999200 us,1,1,0,1,1,1,1,1,1,0,0
097,214.999200 us,1,1,1,0,1,0,0,1,0,0,0
017,215.999200 us,1,1,1,0,1,0,0,0,0,0,0
0CC,216.999280 us,0,0,1,1,0,0,1,1,0,0,0
245,217.999280 us,1,0,1,0,0,0,1,0,0,1,0
392,218.999360 us,0,1,0,0,1,0,0,1,1,1,0
3E3,219.999360 us,1,1,0,0,0,1,1,1,1,1,0
304,220.999440 us,0,0,1,0,0,0,0,0,1,1,0
181,221.999440 us,1,0,0,0,0,0,0,1,1,0,0
050,222.999440 us,0,0,0,0,1,0,1,0,0,0,0
030,223.999440 us,0,0,0,0,1,1,0,0,0,0,0
134,224.999360 us,0,0,1,0,1,1,0,0,1,0,0
2BC,225.999360 us,0,0,1,1,1,1,0,1,0,1,0
3CC,226.999360 us,0,0,1,1,0,0,1,1,1,1,0
3BC,227.999360 us,0,0,1,1,1,1,0,1,1,1,0
294,228.999360 us,0,0,1,0,1,0,0,1,0,1,0
10F,229.999280 us,1,1,1,1,0,0,0,0,1,0,0
024,230.999360 us,0,0,1,0,0,1,0,0,0,0,0
065,231.999280 us,1,0,1,0,0,1,1,0,0,0,0
1AA,232.999280 us,0,1,0,1,0,1,0,1,1,0,0
327,233.999280 us,1,1,1,0,0,1,0,0,1,1,0
3E9,234.999200 us,1,0,0,1,0,1,1,1,1,1,0
378,235.999200 us,0,0,0,1,1,1,1,0,1,1,0
21B,236.999120 us,1,1,0,1,1,0,0,0,0,1,0
0AD,237.999120 us,1,0,1,1,0,1,0,1,0,0,0
016,238.999120 us,0,1,1,0,1,0,0,0,0,0,0
0B4,239.999120 us,0,0,1,0,1,1,0,1,0,0,0
226,240.999120 us,0,1,1,0,0,1,0,0,0,1,0
37F,241.999040 us,1,1,1,1,1,1,1,0,1,1,0
3E8,242.999200 us,0,0,0,1,0,1,1,1,1,1,0
31E,243.999200 us,0,1,1,1,1,0,0,0,1,1,0
1A0,244.999280 us,0,0,0,0,0,1,0,1,1,0,0
060,245.999280 us,0,0,0,0,0,1,1,0,0,0,0
027,246.999280 us,1,1,1,0,0,1,0,0,0,0,0
119,247.999280 us,1,0,0,1,1,0,0,0,1,0,0
29E,248.999280 us,0,1,1,1,1,0,0,1,0,1,0
3C0,249.999280 us,0,0,0,0,0,0,1,1,1,1,0
3C8,250.999200 us,0,0,0,1,0,0,1,1,1,1,0
2B1,251.999120 us,1,0,0,0,1,1,0,1,0,1,0
12B,252.999040 us,1,1,0,1,0,1,0,0,1,0,0
02C,253.999040 us,0,0,1,1,0,1,0,0,0,0,0
055,254.998880 us,1,0,1,0,1,0,1,0,0,0,0
18C,255.998880 us,0,0,1,1,0,0,0,1,1,0,0
30D,256.998800 us,1,0,1,1,0,0,0,0,1,1,0
3E4,257.998800 us,0,0,1,0,0,1,1,1,1,1,0
38C,258.998800 us,0,0,1,1,0,0,0,1,1,1,0
23A,259.998800 us,0,1,0,1,1,1,0,0,0,1,0
0C4,260.998960 us,0,0,1,0,0,0,1,1,0,0,0
016,261.998960 us,0,1,1,0,1,0,0,0,0,0,0
09E,262.998960 us,0,1,1,1,1,0,0,1,0,0,0
208,263.999120 us,0,0,0,1,0,0,0,0,0,1,0
36B,264.999040 us,1,1,0,1,0,1,1,0,1,1,0
3EB,265.999040 us,1,1,0,1,0,1,1,1,1,1,0
336,266.999120 us,0,1,1,0,1,1,0,0,1,1,0
1BE,267.999040 us,0,1,1,1,1,1,0,1,1,0,0
070,268.999120 us,0,0,0,0,1,1,1,0,0,0,0
020,269.999120 us,0,0,0,0,0,1,0,0,0,0,0
0FE,270.999040 us,0,1,1,1,1,1,1,1,0,0,0
281,271.999200 us,1,0,0,0,0,0,0,1,0,1,0
3B2,272.999120 us,0,1,0,0,1,1,0,1,1,1,0
3D2,273.999200 us,0,1,0,0,1,0,1,1,1,1,0
2CE,274.999200 us,0,1,1,1,0,0,1,1,0,1,0
147,275.999200 us,1,1,1,0,0,0,1,0,1,0,0
037,276.999200 us,1,1,1,0,1,1,0,0,0,0,0
047,277.999200 us,1,1,1,0,0,0,1,0,0,0,0
16E,278.999200 us,0,1,1,1,0,1,1,0,1,0,0
2F3,279.999120 us,1,1,0,0,1,1,1,1,0,1,0
3DE,280.999120 us,0,1,1,1,1,0,1,1,1,1,0
39E,281.999120 us,0,1,1,1,1,0,0,1,1,1,0
258,282.999120 us,0,0,0,1,1,0,1,0,0,1,0
0DB,283.999040 us,1,1,0,1,1,0,1,1,0,0,0
01A,284.999040 us,0,1,0,1,1,0,0,0,0,0,0
08A,285.999040 us,0,1,0,1,0,0,0,1,0,0,0
1E7,286.998960 us,1,1,1,0,0,1,1,1,1,0,0
356,287.998960 us,0,1,1,0,1,0,1,0,1,1,0
3EC,288.998960 us,0,0,1,1,0,1,1,1,1,1,0
34E,289.998960 us,0,1,1,1,0,0,1,0,1,1,0
1DC,290.998960 us,0,0,1,1,1,0,1,1,1,0,0
084,291.999040 us,0,0,1,0,0,0,0,1,0,0,0
01B,292.999040 us,1,1,0,1,1,0,0,0,0,0,0
0E5,293.999040 us,1,0,1,0,0,1,1,1,0,0,0
264,294.999040 us,0,0,1,0,0,1,1,0,0,1,0
3A3,295.998960 us,1,1,0,0,0,1,0,1,1,1,0
3DC,296.999040 us,0,0,1,1,1,0,1,1,1,1,0
2E9,297.998960 us,1,0,0,1,0,1,1,1,0,1,0
163,298.998960 us,1,1,0,0,0,1,1,0,1,0,0
043,299.999040 us,1,1,0,0,0,0,1,0,0,0,0
03B,300.998960 us,1,1,0,1,1,1,0,0,0,0,0
151,301.999040 us,1,0,0,0,1,0,1,0,1,0,0
2D8,302.999040 us,0,0,0,1,1,0,1,1,0,1,0
3D6,303.998960 us,0,1,1,0,1,0,1,1,1,1,0
3AC,304.998960 us,0,0,1,1,0,1,0,1,1,1,0
276,305.998960 us,0,1,1,0,1,1,1,0,0,1,0
0F5,306.998960 us,1,0,1,0,1,1,1,1,0,0,0
01E,307.998960 us,0,1,1,1,1,0,0,0,0,0,0
077,308.998960 us,1,1,1,0,1,1,1,0,0,0,0
1C9,309.999040 us,1,0,0,1,0,0,1,1,1,0,0
33F,310.999040 us,1,1,1,1,1,1,0,0,1,1,0
3EB,311.999120 us,1,1,0,1,0,1,1,1,1,1,0
364,312.999200 us,0,0,1,0,0,1,1,0,1,1,0
1FB,313.999120 us,1,1,0,1,1,1,1,1,1,0,0
096,314.999280 us,0,1,1,0,1,0,0,1,0,0,0
017,315.999200 us,1,1,1,0,1,0,0,0,0,0,0
0CD,316.999280 us,1,0,1,1,0,0,1,1,0,0,0
245,317.999280 us,1,0,1,0,0,0,1,0,0,1,0
392,318.999200 us,0,1,0,0,1,0,0,1,1,1,0
