My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
04C,0 s,0,0,1,1,0,0,1,0,0,0,0
0A4,1.000000 us,0,0,1,0,0,1,0,1,0,0,0
2DF,1.999920 us,1,1,1,1,1,0,1,1,0,1,0
3E6,3.000000 us,0,1,1,0,0,1,1,1,1,1,0
250,3.999920 us,0,0,0,0,1,0,1,0,0,1,0
04C,4.999840 us,0,0,1,1,0,0,1,0,0,0,0
0A5,5.999760 us,1,0,1,0,0,1,0,1,0,0,0
2DF,6.999600 us,1,1,1,1,1,0,1,1,0,1,0
3E7,7.999600 us,1,1,1,0,0,1,1,1,1,1,0
250,8.999600 us,0,0,0,0,1,0,1,0,0,1,0
04C,9.999600 us,0,0,1,1,0,0,1,0,0,0,0
0A5,10.999520 us,1,0,1,0,0,1,0,1,0,0,0
2DF,11.999520 us,1,1,1,1,1,0,1,1,0,1,0
3E7,12.999600 us,1,1,1,0,0,1,1,1,1,1,0
250,13.999760 us,0,0,0,0,1,0,1,0,0,1,0
04C,14.999760 us,0,0,1,1,0,0,1,0,0,0,0
0A5,15.999760 us,1,0,1,0,0,1,0,1,0,0,0
2DF,16.999760 us,1,1,1,1,1,0,1,1,0,1,0
3E7,17.999840 us,1,1,1,0,0,1,1,1,1,1,0
250,18.999920 us,0,0,0,0,1,0,1,0,0,1,0
04C,19.999840 us,0,0,1,1,0,0,1,0,0,0,0
0A5,20.999840 us,1,0,1,0,0,1,0,1,0,0,0
2E0,21.999840 us,0,0,0,0,0,1,1,1,0,1,0
3E7,22.999760 us,1,1,1,0,0,1,1,1,1,1,0
250,23.999840 us,0,0,0,0,1,0,1,0,0,1,0
04B,24.999760 us,1,1,0,1,0,0,1,0,0,0,0
0A5,25.999760 us,1,0,1,0,0,1,0,1,0,0,0
2DF,26.999680 us,1,1,1,1,1,0,1,1,0,1,0
3E7,27.999760 us,1,1,1,0,0,1,1,1,1,1,0
250,28.999840 us,0,0,0,0,1,0,1,0,0,1,0
04C,29.999760 us,0,0,1,1,0,0,1,0,0,0,0
0A5,30.999760 us,1,0,1,0,0,1,0,1,0,0,0
2DF,31.999680 us,1,1,1,1,1,0,1,1,0,1,0
3E7,32.999760 us,1,1,1,0,0,1,1,1,1,1,0
250,33.999840 us,0,0,0,0,1,0,1,0,0,1,0
04C,34.999760 us,0,0,1,1,0,0,1,0,0,0,0
0A5,35.999760 us,1,0,1,0,0,1,0,1,0,0,0
2E0,36.999840 us,0,0,0,0,0,1,1,1,0,1,0
3E7,37.999760 us,1,1,1,0,0,1,1,1,1,1,0
250,38.999840 us,0,0,0,0,1,0,1,0,0,1,0
04B,39.999760 us,1,1,0,1,0,0,1,0,0,0,0
0A5,40.999760 us,1,0,1,0,0,1,0,1,0,0,0
2E0,41.999760 us,0,0,0,0,0,1,1,1,0,1,0
3E6,42.999600 us,0,1,1,0,0,1,1,1,1,1,0
250,43.999680 us,0,0,0,0,1,0,1,0,0,1,0
04B,44.999520 us,1,1,0,1,0,0,1,0,0,0,0
0A5,45.999520 us,1,0,1,0,0,1,0,1,0,0,0
2E0,46.999520 us,0,0,0,0,0,1,1,1,0,1,0
3E7,47.999440 us,1,1,1,0,0,1,1,1,1,1,0
24F,48.999520 us,1,1,1,1,0,0,1,0,0,1,0
04C,49.999600 us,0,0,1,1,0,0,1,0,0,0,0
0A5,50.999600 us,1,0,1,0,0,1,0,1,0,0,0
2E0,51.999680 us,0,0,0,0,0,1,1,1,0,1,0
3E7,52.999520 us,1,1,1,0,0,1,1,1,1,1,0
24F,53.999600 us,1,1,1,1,0,0,1,0,0,1,0
04C,54.999600 us,0,0,1,1,0,0,1,0,0,0,0
0A5,55.999520 us,1,0,1,0,0,1,0,1,0,0,0
2E0,56.999520 us,0,0,0,0,0,1,1,1,0,1,0
3E6,57.999440 us,0,1,1,0,0,1,1,1,1,1,0
250,58.999520 us,0,0,0,0,1,0,1,0,0,1,0
04B,59.999440 us,1,1,0,1,0,0,1,0,0,0,0
0A5,60.999440 us,1,0,1,0,0,1,0,1,0,0,0
2E0,61.999520 us,0,0,0,0,0,1,1,1,0,1,0
3E7,62.999520 us,1,1,1,0,0,1,1,1,1,1,0
24F,63.999600 us,1,1,1,1,0,0,1,0,0,1,0
04B,64.999680 us,1,1,0,1,0,0,1,0,0,0,0
0A5,65.999760 us,1,0,1,0,0,1,0,1,0,0,0
2E1,66.999840 us,1,0,0,0,0,1,1,1,0,1,0
3E6,67.999920 us,0,1,1,0,0,1,1,1,1,1,0
24F,68.999920 us,1,1,1,1,0,0,1,0,0,1,0
04C,70.000000 us,0,0,1,1,0,0,1,0,0,0,0
0A5,70.999920 us,1,0,1,0,0,1,0,1,0,0,0
2E0,71.999920 us,0,0,0,0,0,1,1,1,0,1,0
3E6,72.999840 us,0,1,1,0,0,1,1,1,1,1,0
24F,73.999760 us,1,1,1,1,0,0,1,0,0,1,0
04C,74.999760 us,0,0,1,1,0,0,1,0,0,0,0
0A5,75.999680 us,1,0,1,0,0,1,0,1,0,0,0
2E1,76.999600 us,1,0,0,0,0,1,1,1,0,1,0
3E6,77.999600 us,0,1,1,0,0,1,1,1,1,1,0
24F,78.999520 us,1,1,1,1,0,0,1,0,0,1,0
04B,79.999600 us,1,1,0,1,0,0,1,0,0,0,0
0A6,80.999520 us,0,1,1,0,0,1,0,1,0,0,0
2E1,81.999520 us,1,0,0,0,0,1,1,1,0,1,0
3E7,82.999520 us,1,1,1,0,0,1,1,1,1,1,0
24F,83.999520 us,1,1,1,1,0,0,1,0,0,1,0
04B,84.999600 us,1,1,0,1,0,0,1,0,0,0,0
0A6,85.999600 us,0,1,1,0,0,1,0,1,0,0,0
2E1,86.999600 us,1,0,0,0,0,1,1,1,0,1,0
3E6,87.999600 us,0,1,1,0,0,1,1,1,1,1,0
24F,88.999520 us,1,1,1,1,0,0,1,0,0,1,0
04B,89.999520 us,1,1,0,1,0,0,1,0,0,0,0
0A6,90.999440 us,0,1,1,0,0,1,0,1,0,0,0
2E1,91.999360 us,1,0,0,0,0,1,1,1,0,1,0
3E7,92.999280 us,1,1,1,0,0,1,1,1,1,1,0
24F,93.999280 us,1,1,1,1,0,0,1,0,0,1,0
04B,94.999200 us,1,1,0,1,0,0,1,0,0,0,0
0A6,95.999200 us,0,1,1,0,0,1,0,1,0,0,0
2E1,96.999200 us,1,0,0,0,0,1,1,1,0,1,0
3E6,97.999280 us,0,1,1,0,0,1,1,1,1,1,0
24F,98.999360 us,1,1,1,1,0,0,1,0,0,1,0
04C,99.999520 us,0,0,1,1,0,0,1,0,0,0,0
0A6,100.999520 us,0,1,1,0,0,1,0,1,0,0,0
2E1,101.999600 us,1,0,0,0,0,1,1,1,0,1,0
3E7,102.999680 us,1,1,1,0,0,1,1,1,1,1,0
24F,103.999680 us,1,1,1,1,0,0,1,0,0,1,0
04B,104.999680 us,1,1,0,1,0,0,1,0,0,0,0
0A6,105.999680 us,0,1,1,0,0,1,0,1,0,0,0
