My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
05B,0 s,1,1,0,1,1,0,1,0,0,0,0
26F,1.000080 us,1,1,1,1,0,1,1,0,0,1,0
3E8,2.000080 us,0,0,0,1,0,1,1,1,1,1,0
2BD,3.000080 us,1,0,1,1,1,1,0,1,0,1,0
08B,4.000080 us,1,1,0,1,0,0,0,1,0,0,0
05B,5.000080 us,1,1,0,1,1,0,1,0,0,0,0
270,6.000080 us,0,0,0,0,1,1,1,0,0,1,0
3E7,7.000000 us,1,1,1,0,0,1,1,1,1,1,0
2BD,8.000000 us,1,0,1,1,1,1,0,1,0,1,0
08B,9.000000 us,1,1,0,1,0,0,0,1,0,0,0
05B,10.000000 us,1,1,0,1,1,0,1,0,0,0,0
26F,11.000000 us,1,1,1,1,0,1,1,0,0,1,0
3E8,12.000000 us,0,0,0,1,0,1,1,1,1,1,0
2BD,12.999920 us,1,0,1,1,1,1,0,1,0,1,0
08B,14.000000 us,1,1,0,1,0,0,0,1,0,0,0
05B,15.000000 us,1,1,0,1,1,0,1,0,0,0,0
270,16.000080 us,0,0,0,0,1,1,1,0,0,1,0
3E7,17.000080 us,1,1,1,0,0,1,1,1,1,1,0
2BD,18.000160 us,1,0,1,1,1,1,0,1,0,1,0
08B,19.000160 us,1,1,0,1,0,0,0,1,0,0,0
05B,20.000240 us,1,1,0,1,1,0,1,0,0,0,0
270,21.000240 us,0,0,0,0,1,1,1,0,0,1,0
3E8,22.000240 us,0,0,0,1,0,1,1,1,1,1,0
2BD,23.000160 us,1,0,1,1,1,1,0,1,0,1,0
08B,24.000160 us,1,1,0,1,0,0,0,1,0,0,0
05B,25.000080 us,1,1,0,1,1,0,1,0,0,0,0
26F,26.000000 us,1,1,1,1,0,1,1,0,0,1,0
3E7,26.999920 us,1,1,1,0,0,1,1,1,1,1,0
2BD,27.999840 us,1,0,1,1,1,1,0,1,0,1,0
08B,28.999760 us,1,1,0,1,0,0,0,1,0,0,0
05B,29.999600 us,1,1,0,1,1,0,1,0,0,0,0
270,30.999600 us,0,0,0,0,1,1,1,0,0,1,0
3E8,31.999520 us,0,0,0,1,0,1,1,1,1,1,0
2BD,32.999520 us,1,0,1,1,1,1,0,1,0,1,0
08A,33.999520 us,0,1,0,1,0,0,0,1,0,0,0
05B,34.999520 us,1,1,0,1,1,0,1,0,0,0,0
270,35.999600 us,0,0,0,0,1,1,1,0,0,1,0
3E8,36.999600 us,0,0,0,1,0,1,1,1,1,1,0
2BC,37.999680 us,0,0,1,1,1,1,0,1,0,1,0
08A,38.999760 us,0,1,0,1,0,0,0,1,0,0,0
05B,39.999760 us,1,1,0,1,1,0,1,0,0,0,0
270,40.999840 us,0,0,0,0,1,1,1,0,0,1,0
3E7,41.999840 us,1,1,1,0,0,1,1,1,1,1,0
2BD,42.999840 us,1,0,1,1,1,1,0,1,0,1,0
08A,43.999920 us,0,1,0,1,0,0,0,1,0,0,0
05B,44.999840 us,1,1,0,1,1,0,1,0,0,0,0
270,45.999920 us,0,0,0,0,1,1,1,0,0,1,0
3E7,46.999840 us,1,1,1,0,0,1,1,1,1,1,0
2BC,47.999920 us,0,0,1,1,1,1,0,1,0,1,0
08A,49.000000 us,0,1,0,1,0,0,0,1,0,0,0
05B,49.999920 us,1,1,0,1,1,0,1,0,0,0,0
270,51.000000 us,0,0,0,0,1,1,1,0,0,1,0
3E8,52.000000 us,0,0,0,1,0,1,1,1,1,1,0
2BC,53.000000 us,0,0,1,1,1,1,0,1,0,1,0
08A,54.000080 us,0,1,0,1,0,0,0,1,0,0,0
05B,55.000000 us,1,1,0,1,1,0,1,0,0,0,0
270,56.000080 us,0,0,0,0,1,1,1,0,0,1,0
3E7,57.000080 us,1,1,1,0,0,1,1,1,1,1,0
2BC,58.000080 us,0,0,1,1,1,1,0,1,0,1,0
08A,59.000160 us,0,1,0,1,0,0,0,1,0,0,0
