My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
0BC,0 s,0,0,1,1,1,1,0,1,0,0,0
231,1.000000 us,1,0,0,0,1,1,0,0,0,1,0
384,2.000080 us,0,0,1,0,0,0,0,1,1,1,0
3E3,3.000080 us,1,1,0,0,0,1,1,1,1,1,0
310,4.000240 us,0,0,0,0,1,0,0,0,1,1,0
190,5.000240 us,0,0,0,0,1,0,0,1,1,0,0
056,6.000240 us,0,1,1,0,1,0,1,0,0,0,0
028,7.000320 us,0,0,0,1,0,1,0,0,0,0,0
122,8.000240 us,0,1,0,0,0,1,0,0,1,0,0
2A8,9.000240 us,0,0,0,1,0,1,0,1,0,1,0
3C2,10.000240 us,0,1,0,0,0,0,1,1,1,1,0
3C0,11.000320 us,0,0,0,0,0,0,1,1,1,1,0
2A3,12.000240 us,1,1,0,0,0,1,0,1,0,1,0
11C,13.000320 us,0,0,1,1,1,0,0,0,1,0,0
026,14.000320 us,0,1,1,0,0,1,0,0,0,0,0
05A,15.000240 us,0,1,0,1,1,0,1,0,0,0,0
196,16.000240 us,0,1,1,0,1,0,0,1,1,0,0
315,17.000240 us,1,0,1,0,1,0,0,0,1,1,0
3E4,18.000240 us,0,0,1,0,0,1,1,1,1,1,0
381,19.000240 us,1,0,0,0,0,0,0,1,1,1,0
22B,20.000240 us,1,1,0,1,0,1,0,0,0,1,0
0B7,21.000240 us,1,1,1,0,1,1,0,1,0,0,0
014,22.000240 us,0,0,1,0,1,0,0,0,0,0,0
0A6,23.000240 us,0,1,1,0,0,1,0,1,0,0,0
212,24.000240 us,0,1,0,0,1,0,0,0,0,1,0
371,25.000240 us,1,0,0,0,1,1,1,0,1,1,0
3E7,26.000240 us,1,1,1,0,0,1,1,1,1,1,0
329,27.000320 us,1,0,0,1,0,1,0,0,1,1,0
1AE,28.000240 us,0,1,1,1,0,1,0,1,1,0,0
067,29.000240 us,1,1,1,0,0,1,1,0,0,0,0
021,30.000240 us,1,0,0,0,0,1,0,0,0,0,0
108,31.000160 us,0,0,0,1,0,0,0,0,1,0,0
28B,32.000080 us,1,1,0,1,0,0,0,1,0,1,0
3B5,33.000000 us,1,0,1,0,1,1,0,1,1,1,0
3CB,34.000080 us,1,1,0,1,0,0,1,1,1,1,0
2BF,35.000080 us,1,1,1,1,1,1,0,1,0,1,0
138,36.000160 us,0,0,0,1,1,1,0,0,1,0,0
02F,37.000160 us,1,1,1,1,0,1,0,0,0,0,0
04B,38.000240 us,1,1,0,1,0,0,1,0,0,0,0
178,39.000240 us,0,0,0,1,1,1,1,0,1,0,0
2FB,40.000160 us,1,1,0,1,1,1,1,1,0,1,0
3DE,41.000240 us,0,1,1,1,1,0,1,1,1,1,0
392,42.000240 us,0,1,0,0,1,0,0,1,1,1,0
248,43.000160 us,0,0,0,1,0,0,1,0,0,1,0
0CF,44.000080 us,1,1,1,1,0,0,1,1,0,0,0
016,45.000080 us,0,1,1,0,1,0,0,0,0,0,0
090,46.000080 us,0,0,0,0,1,0,0,1,0,0,0
1F2,47.000000 us,0,1,0,0,1,1,1,1,1,0,0
35C,48.000080 us,0,0,1,1,1,0,1,0,1,1,0
3E9,49.000000 us,1,0,0,1,0,1,1,1,1,1,0
341,50.000080 us,1,0,0,0,0,0,1,0,1,1,0
1CC,51.000080 us,0,0,1,1,0,0,1,1,1,0,0
078,52.000080 us,0,0,0,1,1,1,1,0,0,0,0
01A,53.000080 us,0,1,0,1,1,0,0,0,0,0,0
0ED,54.000000 us,1,0,1,1,0,1,1,1,0,0,0
26E,55.000080 us,0,1,1,1,0,1,1,0,0,1,0
3A8,56.000160 us,0,0,0,1,0,1,0,1,1,1,0
3D5,57.000080 us,1,0,1,0,1,0,1,1,1,1,0
2DA,58.000080 us,0,1,0,1,1,0,1,1,0,1,0
154,59.000160 us,0,0,1,0,1,0,1,0,1,0,0
03B,60.000160 us,1,1,0,1,1,1,0,0,0,0,0
03E,61.000160 us,0,1,1,1,1,1,0,0,0,0,0
15B,62.000160 us,1,1,0,1,1,0,1,0,1,0,0
2E1,63.000160 us,1,0,0,0,0,1,1,1,0,1,0
3D6,64.000080 us,0,1,1,0,1,0,1,1,1,1,0
3A4,65.000160 us,0,0,1,0,0,1,0,1,1,1,0
267,66.000000 us,1,1,1,0,0,1,1,0,0,1,0
0E7,66.999920 us,1,1,1,0,0,1,1,1,0,0,0
019,67.999920 us,1,0,0,1,1,0,0,0,0,0,0
07C,68.999920 us,0,0,1,1,1,1,1,0,0,0,0
1D4,69.999920 us,0,0,1,0,1,0,1,1,1,0,0
346,70.999920 us,0,1,1,0,0,0,1,0,1,1,0
3E9,71.999920 us,1,0,0,1,0,1,1,1,1,1,0
356,72.999920 us,0,1,1,0,1,0,1,0,1,1,0
1EB,73.999920 us,1,1,0,1,0,1,1,1,1,0,0
08B,74.999920 us,1,1,0,1,0,0,0,1,0,0,0
016,76.000000 us,0,1,1,0,1,0,0,0,0,0,0
0D4,77.000000 us,0,0,1,0,1,0,1,1,0,0,0
250,78.000000 us,0,0,0,0,1,0,1,0,0,1,0
396,79.000000 us,0,1,1,0,1,0,0,1,1,1,0
3DC,80.000000 us,0,0,1,1,1,0,1,1,1,1,0
2F5,81.000000 us,1,0,1,0,1,1,1,1,0,1,0
171,82.000080 us,1,0,0,0,1,1,1,0,1,0,0
047,83.000080 us,1,1,1,0,0,0,1,0,0,0,0
032,84.000160 us,0,1,0,0,1,1,0,0,0,0,0
13F,85.000080 us,1,1,1,1,1,1,0,0,1,0,0
2C6,86.000240 us,0,1,1,0,0,0,1,1,0,1,0
3CD,87.000240 us,1,0,1,1,0,0,1,1,1,1,0
3B2,88.000240 us,0,1,0,0,1,1,0,1,1,1,0
284,89.000400 us,0,0,1,0,0,0,0,1,0,1,0
101,90.000400 us,1,0,0,0,0,0,0,0,1,0,0
01F,91.000320 us,1,1,1,1,1,0,0,0,0,0,0
06B,92.000320 us,1,1,0,1,0,1,1,0,0,0,0
1B6,93.000320 us,0,1,1,0,1,1,0,1,1,0,0
32F,94.000240 us,1,1,1,1,0,1,0,0,1,1,0
3E7,95.000240 us,1,1,1,0,0,1,1,1,1,1,0
36C,96.000160 us,0,0,1,1,0,1,1,0,1,1,0
20A,97.000160 us,0,1,0,1,0,0,0,0,0,1,0
0A0,98.000080 us,0,0,0,0,0,1,0,1,0,0,0
014,99.000000 us,0,0,1,0,1,0,0,0,0,0,0
0BD,99.999920 us,1,0,1,1,1,1,0,1,0,0,0
232,101.000000 us,0,1,0,0,1,1,0,0,0,1,0
385,101.999920 us,1,0,1,0,0,0,0,1,1,1,0
3E2,102.999920 us,0,1,0,0,0,1,1,1,1,1,0
30F,103.999920 us,1,1,1,1,0,0,0,0,1,1,0
18F,104.999920 us,1,1,1,1,0,0,0,1,1,0,0
056,105.999920 us,0,1,1,0,1,0,1,0,0,0,0
029,106.999840 us,1,0,0,1,0,1,0,0,0,0,0
124,107.999840 us,0,0,1,0,0,1,0,0,1,0,0
2AA,108.999760 us,0,1,0,1,0,1,0,1,0,1,0
3C2,109.999760 us,0,1,0,0,0,0,1,1,1,1,0
3C0,110.999760 us,0,0,0,0,0,0,1,1,1,1,0
2A1,111.999760 us,1,0,0,0,0,1,0,1,0,1,0
11B,112.999760 us,1,1,0,1,1,0,0,0,1,0,0
026,113.999920 us,0,1,1,0,0,1,0,0,0,0,0
05A,114.999920 us,0,1,0,1,1,0,1,0,0,0,0
197,115.999920 us,1,1,1,0,1,0,0,1,1,0,0
317,116.999920 us,1,1,1,0,1,0,0,0,1,1,0
3E4,117.999920 us,0,0,1,0,0,1,1,1,1,1,0
380,118.999840 us,0,0,0,0,0,0,0,1,1,1,0
229,119.999680 us,1,0,0,1,0,1,0,0,0,1,0
0B7,120.999600 us,1,1,1,0,1,1,0,1,0,0,0
014,121.999600 us,0,0,1,0,1,0,0,0,0,0,0
0A7,122.999520 us,1,1,1,0,0,1,0,1,0,0,0
213,123.999600 us,1,1,0,0,1,0,0,0,0,1,0
372,124.999760 us,0,1,0,0,1,1,1,0,1,1,0
3E6,125.999840 us,0,1,1,0,0,1,1,1,1,1,0
328,127.000000 us,0,0,0,1,0,1,0,0,1,1,0
1AC,128.000080 us,0,0,1,1,0,1,0,1,1,0,0
066,129.000160 us,0,1,1,0,0,1,1,0,0,0,0
021,130.000160 us,1,0,0,0,0,1,0,0,0,0,0
109,131.000160 us,1,0,0,1,0,0,0,0,1,0,0
28D,132.000160 us,1,0,1,1,0,0,0,1,0,1,0
3B6,133.000080 us,0,1,1,0,1,1,0,1,1,1,0
3CB,134.000080 us,1,1,0,1,0,0,1,1,1,1,0
2BE,135.000000 us,0,1,1,1,1,1,0,1,0,1,0
137,136.000000 us,1,1,1,0,1,1,0,0,1,0,0
02F,137.000000 us,1,1,1,1,0,1,0,0,0,0,0
04B,138.000000 us,1,1,0,1,0,0,1,0,0,0,0
17A,138.999920 us,0,1,0,1,1,1,1,0,1,0,0
2FD,139.999920 us,1,0,1,1,1,1,1,1,0,1,0
3DF,140.999920 us,1,1,1,1,1,0,1,1,1,1,0
392,141.999920 us,0,1,0,0,1,0,0,1,1,1,0
247,142.999840 us,1,1,1,0,0,0,1,0,0,1,0
0CD,143.999840 us,1,0,1,1,0,0,1,1,0,0,0
016,144.999840 us,0,1,1,0,1,0,0,0,0,0,0
091,145.999840 us,1,0,0,0,1,0,0,1,0,0,0
1F3,146.999760 us,1,1,0,0,1,1,1,1,1,0,0
35D,147.999840 us,1,0,1,1,1,0,1,0,1,1,0
3E9,148.999840 us,1,0,0,1,0,1,1,1,1,1,0
340,150.000000 us,0,0,0,0,0,0,1,0,1,1,0
1CB,150.999920 us,1,1,0,1,0,0,1,1,1,0,0
077,151.999920 us,1,1,1,0,1,1,1,0,0,0,0
01B,152.999920 us,1,1,0,1,1,0,0,0,0,0,0
0EE,153.999840 us,0,1,1,1,0,1,1,1,0,0,0
26F,154.999760 us,1,1,1,1,0,1,1,0,0,1,0
3A8,155.999680 us,0,0,0,1,0,1,0,1,1,1,0
3D4,156.999600 us,0,0,1,0,1,0,1,1,1,1,0
2D9,157.999520 us,1,0,0,1,1,0,1,1,0,1,0
153,158.999440 us,1,1,0,0,1,0,1,0,1,0,0
03A,159.999520 us,0,1,0,1,1,1,0,0,0,0,0
03E,160.999520 us,0,1,1,1,1,1,0,0,0,0,0
15C,161.999600 us,0,0,1,1,1,0,1,0,1,0,0
2E3,162.999680 us,1,1,0,0,0,1,1,1,0,1,0
3D7,163.999760 us,1,1,1,0,1,0,1,1,1,1,0
3A3,164.999920 us,1,1,0,0,0,1,0,1,1,1,0
266,165.999920 us,0,1,1,0,0,1,1,0,0,1,0
0E6,167.000000 us,0,1,1,0,0,1,1,1,0,0,0
019,168.000000 us,1,0,0,1,1,0,0,0,0,0,0
07D,168.999920 us,1,0,1,1,1,1,1,0,0,0,0
1D5,169.999920 us,1,0,1,0,1,0,1,1,1,0,0
347,170.999840 us,1,1,1,0,0,0,1,0,1,1,0
3E9,171.999760 us,1,0,0,1,0,1,1,1,1,1,0
356,172.999680 us,0,1,1,0,1,0,1,0,1,1,0
1E9,173.999680 us,1,0,0,1,0,1,1,1,1,0,0
08B,174.999680 us,1,1,0,1,0,0,0,1,0,0,0
016,175.999600 us,0,1,1,0,1,0,0,0,0,0,0
0D5,176.999600 us,1,0,1,0,1,0,1,1,0,0,0
251,177.999600 us,1,0,0,0,1,0,1,0,0,1,0
398,178.999520 us,0,0,0,1,1,0,0,1,1,1,0
3DC,179.999520 us,0,0,1,1,1,0,1,1,1,1,0
2F4,180.999520 us,0,0,1,0,1,1,1,1,0,1,0
170,181.999520 us,0,0,0,0,1,1,1,0,1,0,0
047,182.999520 us,1,1,1,0,0,0,1,0,0,0,0
033,183.999600 us,1,1,0,0,1,1,0,0,0,0,0
140,184.999680 us,0,0,0,0,0,0,1,0,1,0,0
2C7,185.999600 us,1,1,1,0,0,0,1,1,0,1,0
3CE,186.999680 us,0,1,1,1,0,0,1,1,1,1,0
3B1,187.999680 us,1,0,0,0,1,1,0,1,1,1,0
283,188.999680 us,1,1,0,0,0,0,0,1,0,1,0
100,189.999760 us,0,0,0,0,0,0,0,0,1,0,0
01E,190.999600 us,0,1,1,1,1,0,0,0,0,0,0
06C,191.999680 us,0,0,1,1,0,1,1,0,0,0,0
1B6,192.999600 us,0,1,1,0,1,1,0,1,1,0,0
330,193.999680 us,0,0,0,0,1,1,0,0,1,1,0
3E7,194.999680 us,1,1,1,0,0,1,1,1,1,1,0
36B,195.999680 us,1,1,0,1,0,1,1,0,1,1,0
209,196.999840 us,1,0,0,1,0,0,0,0,0,1,0
09F,197.999760 us,1,1,1,1,1,0,0,1,0,0,0
014,198.999840 us,0,0,1,0,1,0,0,0,0,0,0
0BD,199.999760 us,1,0,1,1,1,1,0,1,0,0,0
233,200.999840 us,1,1,0,0,1,1,0,0,0,1,0
386,201.999840 us,0,1,1,0,0,0,0,1,1,1,0
3E2,202.999840 us,0,1,0,0,0,1,1,1,1,1,0
