My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
154,0 s,0,0,1,0,1,0,1,0,1,0,0
017,1.000000 us,1,1,1,0,1,0,0,0,0,0,0
17F,2.000000 us,1,1,1,1,1,1,1,0,1,0,0
39B,3.000000 us,1,1,0,1,1,0,0,1,1,1,0
381,4.000000 us,1,0,0,0,0,0,0,1,1,1,0
153,5.000000 us,1,1,0,0,1,0,1,0,1,0,0
017,6.000000 us,1,1,1,0,1,0,0,0,0,0,0
17F,7.000000 us,1,1,1,1,1,1,1,0,1,0,0
39B,8.000000 us,1,1,0,1,1,0,0,1,1,1,0
381,9.000080 us,1,0,0,0,0,0,0,1,1,1,0
154,10.000080 us,0,0,1,0,1,0,1,0,1,0,0
017,11.000000 us,1,1,1,0,1,0,0,0,0,0,0
17F,12.000000 us,1,1,1,1,1,1,1,0,1,0,0
39B,13.000000 us,1,1,0,1,1,0,0,1,1,1,0
381,14.000080 us,1,0,0,0,0,0,0,1,1,1,0
154,15.000080 us,0,0,1,0,1,0,1,0,1,0,0
017,16.000080 us,1,1,1,0,1,0,0,0,0,0,0
17F,17.000080 us,1,1,1,1,1,1,1,0,1,0,0
39B,18.000160 us,1,1,0,1,1,0,0,1,1,1,0
380,19.000240 us,0,0,0,0,0,0,0,1,1,1,0
153,20.000240 us,1,1,0,0,1,0,1,0,1,0,0
017,21.000320 us,1,1,1,0,1,0,0,0,0,0,0
17F,22.000320 us,1,1,1,1,1,1,1,0,1,0,0
39C,23.000320 us,0,0,1,1,1,0,0,1,1,1,0
381,24.000320 us,1,0,0,0,0,0,0,1,1,1,0
154,25.000320 us,0,0,1,0,1,0,1,0,1,0,0
018,26.000320 us,0,0,0,1,1,0,0,0,0,0,0
17F,27.000240 us,1,1,1,1,1,1,1,0,1,0,0
39B,28.000160 us,1,1,0,1,1,0,0,1,1,1,0
380,29.000160 us,0,0,0,0,0,0,0,1,1,1,0
153,30.000080 us,1,1,0,0,1,0,1,0,1,0,0
018,31.000000 us,0,0,0,1,1,0,0,0,0,0,0
17F,31.999920 us,1,1,1,1,1,1,1,0,1,0,0
39B,32.999920 us,1,1,0,1,1,0,0,1,1,1,0
380,33.999920 us,0,0,0,0,0,0,0,1,1,1,0
153,34.999920 us,1,1,0,0,1,0,1,0,1,0,0
017,36.000000 us,1,1,1,0,1,0,0,0,0,0,0
17F,37.000000 us,1,1,1,1,1,1,1,0,1,0,0
39B,38.000080 us,1,1,0,1,1,0,0,1,1,1,0
381,39.000160 us,1,0,0,0,0,0,0,1,1,1,0
153,40.000160 us,1,1,0,0,1,0,1,0,1,0,0
017,41.000080 us,1,1,1,0,1,0,0,0,0,0,0
17F,42.000080 us,1,1,1,1,1,1,1,0,1,0,0
39B,43.000080 us,1,1,0,1,1,0,0,1,1,1,0
380,44.000160 us,0,0,0,0,0,0,0,1,1,1,0
153,45.000080 us,1,1,0,0,1,0,1,0,1,0,0
018,46.000080 us,0,0,0,1,1,0,0,0,0,0,0
17F,47.000000 us,1,1,1,1,1,1,1,0,1,0,0
39B,48.000080 us,1,1,0,1,1,0,0,1,1,1,0
380,49.000080 us,0,0,0,0,0,0,0,1,1,1,0
153,50.000000 us,1,1,0,0,1,0,1,0,1,0,0
017,51.000000 us,1,1,1,0,1,0,0,0,0,0,0
17F,52.000000 us,1,1,1,1,1,1,1,0,1,0,0
39B,53.000000 us,1,1,0,1,1,0,0,1,1,1,0
381,54.000000 us,1,0,0,0,0,0,0,1,1,1,0
154,55.000000 us,0,0,1,0,1,0,1,0,1,0,0
017,55.999920 us,1,1,1,0,1,0,0,0,0,0,0
17F,56.999920 us,1,1,1,1,1,1,1,0,1,0,0
39B,57.999920 us,1,1,0,1,1,0,0,1,1,1,0
380,59.000000 us,0,0,0,0,0,0,0,1,1,1,0
153,59.999920 us,1,1,0,0,1,0,1,0,1,0,0
017,61.000000 us,1,1,1,0,1,0,0,0,0,0,0
180,62.000000 us,0,0,0,0,0,0,0,1,1,0,0
39C,62.999920 us,0,0,1,1,1,0,0,1,1,1,0
380,63.999920 us,0,0,0,0,0,0,0,1,1,1,0
153,64.999840 us,1,1,0,0,1,0,1,0,1,0,0
017,65.999760 us,1,1,1,0,1,0,0,0,0,0,0
180,66.999840 us,0,0,0,0,0,0,0,1,1,0,0
39B,67.999680 us,1,1,0,1,1,0,0,1,1,1,0
381,68.999760 us,1,0,0,0,0,0,0,1,1,1,0
153,69.999760 us,1,1,0,0,1,0,1,0,1,0,0
017,70.999760 us,1,1,1,0,1,0,0,0,0,0,0
180,71.999840 us,0,0,0,0,0,0,0,1,1,0,0
39B,72.999840 us,1,1,0,1,1,0,0,1,1,1,0
380,74.000000 us,0,0,0,0,0,0,0,1,1,1,0
153,74.999920 us,1,1,0,0,1,0,1,0,1,0,0
017,76.000000 us,1,1,1,0,1,0,0,0,0,0,0
17F,77.000000 us,1,1,1,1,1,1,1,0,1,0,0
39C,78.000080 us,0,0,1,1,1,0,0,1,1,1,0
380,79.000080 us,0,0,0,0,0,0,0,1,1,1,0
153,80.000080 us,1,1,0,0,1,0,1,0,1,0,0
017,81.000160 us,1,1,1,0,1,0,0,0,0,0,0
17F,82.000160 us,1,1,1,1,1,1,1,0,1,0,0
39B,83.000240 us,1,1,0,1,1,0,0,1,1,1,0
381,84.000240 us,1,0,0,0,0,0,0,1,1,1,0
153,85.000160 us,1,1,0,0,1,0,1,0,1,0,0
017,86.000160 us,1,1,1,0,1,0,0,0,0,0,0
180,87.000080 us,0,0,0,0,0,0,0,1,1,0,0
39B,87.999920 us,1,1,0,1,1,0,0,1,1,1,0
380,89.000000 us,0,0,0,0,0,0,0,1,1,1,0
153,89.999840 us,1,1,0,0,1,0,1,0,1,0,0
017,90.999760 us,1,1,1,0,1,0,0,0,0,0,0
17F,91.999680 us,1,1,1,1,1,1,1,0,1,0,0
39C,92.999680 us,0,0,1,1,1,0,0,1,1,1,0
380,93.999760 us,0,0,0,0,0,0,0,1,1,1,0
153,94.999600 us,1,1,0,0,1,0,1,0,1,0,0
