My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
018,0 s,0,0,0,1,1,0,0,0,0,0,0
0D2,999.920 ns,0,1,0,0,1,0,1,1,0,0,0
24C,1.999840 us,0,0,1,1,0,0,1,0,0,1,0
396,2.999760 us,0,1,1,0,1,0,0,1,1,1,0
3E1,3.999760 us,1,0,0,0,0,1,1,1,1,1,0
2FE,4.999600 us,0,1,1,1,1,1,1,1,0,1,0
17A,5.999600 us,0,1,0,1,1,1,1,0,1,0,0
04D,6.999520 us,1,0,1,1,0,0,1,0,0,0,0
032,7.999520 us,0,1,0,0,1,1,0,0,0,0,0
13B,8.999440 us,1,1,0,1,1,1,0,0,1,0,0
2C2,9.999440 us,0,1,0,0,0,0,1,1,0,1,0
3CE,10.999360 us,0,1,1,1,0,0,1,1,1,1,0
3B8,11.999360 us,0,0,0,1,1,1,0,1,1,1,0
28E,12.999360 us,0,1,1,1,0,0,0,1,0,1,0
10A,13.999440 us,0,1,0,1,0,0,0,0,1,0,0
023,14.999440 us,1,1,0,0,0,1,0,0,0,0,0
06A,15.999520 us,0,1,0,1,0,1,1,0,0,0,0
1B1,16.999520 us,1,0,0,0,1,1,0,1,1,0,0
32C,17.999600 us,0,0,1,1,0,1,0,0,1,1,0
3EA,18.999680 us,0,1,0,1,0,1,1,1,1,1,0
374,19.999680 us,0,0,1,0,1,1,1,0,1,1,0
214,20.999760 us,0,0,1,0,1,0,0,0,0,1,0
0A8,21.999760 us,0,0,0,1,0,1,0,1,0,0,0
017,22.999760 us,1,1,1,0,1,0,0,0,0,0,0
0BA,23.999760 us,0,1,0,1,1,1,0,1,0,0,0
22E,24.999680 us,0,1,1,1,0,1,0,0,0,1,0
384,25.999680 us,0,0,1,0,0,0,0,1,1,1,0
3E6,26.999600 us,0,1,1,0,0,1,1,1,1,1,0
318,27.999600 us,0,0,0,1,1,0,0,0,1,1,0
