My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
0A2,0 s,0,1,0,0,0,1,0,1,0,0,0
1AE,500.000 ns,0,1,1,1,0,1,0,1,1,0,0
2DC,1.000000 us,0,0,1,1,1,0,1,1,0,1,0
3B2,1.500000 us,0,1,0,0,1,1,0,1,1,1,0
3E5,2.000080 us,1,0,1,0,0,1,1,1,1,1,0
35E,2.500080 us,0,1,1,1,1,0,1,0,1,1,0
252,3.000160 us,0,1,0,0,1,0,1,0,0,1,0
125,3.500080 us,1,0,1,0,0,1,0,0,1,0,0
04D,4.000160 us,1,0,1,1,0,0,1,0,0,0,0
01C,4.500160 us,0,0,1,1,1,0,0,0,0,0,0
0A2,5.000160 us,0,1,0,0,0,1,0,1,0,0,0
1AF,5.500080 us,1,1,1,1,0,1,0,1,1,0,0
2DB,6.000160 us,1,1,0,1,1,0,1,1,0,1,0
3B2,6.500160 us,0,1,0,0,1,1,0,1,1,1,0
3E5,7.000080 us,1,0,1,0,0,1,1,1,1,1,0
35E,7.500160 us,0,1,1,1,1,0,1,0,1,1,0
252,8.000160 us,0,1,0,0,1,0,1,0,0,1,0
126,8.500080 us,0,1,1,0,0,1,0,0,1,0,0
04E,9.000080 us,0,1,1,1,0,0,1,0,0,0,0
01B,9.500080 us,1,1,0,1,1,0,0,0,0,0,0
0A2,10.000160 us,0,1,0,0,0,1,0,1,0,0,0
1AE,10.500080 us,0,1,1,1,0,1,0,1,1,0,0
2DB,11.000080 us,1,1,0,1,1,0,1,1,0,1,0
3B3,11.500080 us,1,1,0,0,1,1,0,1,1,1,0
3E4,12.000160 us,0,0,1,0,0,1,1,1,1,1,0
35E,12.500080 us,0,1,1,1,1,0,1,0,1,1,0
252,13.000160 us,0,1,0,0,1,0,1,0,0,1,0
126,13.500080 us,0,1,1,0,0,1,0,0,1,0,0
04D,14.000080 us,1,0,1,1,0,0,1,0,0,0,0
01B,14.500080 us,1,1,0,1,1,0,0,0,0,0,0
0A2,15.000160 us,0,1,0,0,0,1,0,1,0,0,0
1AE,15.500080 us,0,1,1,1,0,1,0,1,1,0,0
2DB,16.000080 us,1,1,0,1,1,0,1,1,0,1,0
3B3,16.500080 us,1,1,0,0,1,1,0,1,1,1,0
3E5,17.000080 us,1,0,1,0,0,1,1,1,1,1,0
35E,17.500080 us,0,1,1,1,1,0,1,0,1,1,0
252,18.000160 us,0,1,0,0,1,0,1,0,0,1,0
125,18.500000 us,1,0,1,0,0,1,0,0,1,0,0
04E,19.000080 us,0,1,1,1,0,0,1,0,0,0,0
01B,19.500080 us,1,1,0,1,1,0,0,0,0,0,0
0A1,20.000080 us,1,0,0,0,0,1,0,1,0,0,0
1AE,20.500000 us,0,1,1,1,0,1,0,1,1,0,0
2DB,21.000000 us,1,1,0,1,1,0,1,1,0,1,0
3B3,21.500080 us,1,1,0,0,1,1,0,1,1,1,0
3E4,22.000160 us,0,0,1,0,0,1,1,1,1,1,0
35E,22.500080 us,0,1,1,1,1,0,1,0,1,1,0
252,23.000080 us,0,1,0,0,1,0,1,0,0,1,0
126,23.500080 us,0,1,1,0,0,1,0,0,1,0,0
04D,24.000080 us,1,0,1,1,0,0,1,0,0,0,0
01B,24.500000 us,1,1,0,1,1,0,0,0,0,0,0
0A2,25.000000 us,0,1,0,0,0,1,0,1,0,0,0
1AE,25.499920 us,0,1,1,1,0,1,0,1,1,0,0
2DB,25.999920 us,1,1,0,1,1,0,1,1,0,1,0
3B2,26.499920 us,0,1,0,0,1,1,0,1,1,1,0
3E5,26.999840 us,1,0,1,0,0,1,1,1,1,1,0
35E,27.499760 us,0,1,1,1,1,0,1,0,1,1,0
252,27.999840 us,0,1,0,0,1,0,1,0,0,1,0
125,28.499680 us,1,0,1,0,0,1,0,0,1,0,0
04D,28.999680 us,1,0,1,1,0,0,1,0,0,0,0
01B,29.499680 us,1,1,0,1,1,0,0,0,0,0,0
0A2,29.999680 us,0,1,0,0,0,1,0,1,0,0,0
1AE,30.499680 us,0,1,1,1,0,1,0,1,1,0,0
2DB,30.999680 us,1,1,0,1,1,0,1,1,0,1,0
3B3,31.499680 us,1,1,0,0,1,1,0,1,1,1,0
3E5,31.999760 us,1,0,1,0,0,1,1,1,1,1,0
35E,32.499680 us,0,1,1,1,1,0,1,0,1,1,0
252,32.999840 us,0,1,0,0,1,0,1,0,0,1,0
126,33.499840 us,0,1,1,0,0,1,0,0,1,0,0
04E,33.999840 us,0,1,1,1,0,0,1,0,0,0,0
01B,34.499920 us,1,1,0,1,1,0,0,0,0,0,0
0A2,35.000000 us,0,1,0,0,0,1,0,1,0,0,0
1AE,35.499920 us,0,1,1,1,0,1,0,1,1,0,0
2DC,36.000080 us,0,0,1,1,1,0,1,1,0,1,0
3B3,36.500080 us,1,1,0,0,1,1,0,1,1,1,0
3E5,37.000160 us,1,0,1,0,0,1,1,1,1,1,0
35E,37.500160 us,0,1,1,1,1,0,1,0,1,1,0
252,38.000240 us,0,1,0,0,1,0,1,0,0,1,0
125,38.500240 us,1,0,1,0,0,1,0,0,1,0,0
04D,39.000240 us,1,0,1,1,0,0,1,0,0,0,0
01B,39.500240 us,1,1,0,1,1,0,0,0,0,0,0
0A3,40.000320 us,1,1,0,0,0,1,0,1,0,0,0
1AE,40.500240 us,0,1,1,1,0,1,0,1,1,0,0
2DB,41.000240 us,1,1,0,1,1,0,1,1,0,1,0
3B3,41.500240 us,1,1,0,0,1,1,0,1,1,1,0
3E4,42.000240 us,0,0,1,0,0,1,1,1,1,1,0
35E,42.500160 us,0,1,1,1,1,0,1,0,1,1,0
252,43.000160 us,0,1,0,0,1,0,1,0,0,1,0
126,43.500160 us,0,1,1,0,0,1,0,0,1,0,0
04D,44.000080 us,1,0,1,1,0,0,1,0,0,0,0
01B,44.500000 us,1,1,0,1,1,0,0,0,0,0,0
0A1,45.000080 us,1,0,0,0,0,1,0,1,0,0,0
1AE,45.500000 us,0,1,1,1,0,1,0,1,1,0,0
2DC,46.000000 us,0,0,1,1,1,0,1,1,0,1,0
3B3,46.499920 us,1,1,0,0,1,1,0,1,1,1,0
3E5,47.000000 us,1,0,1,0,0,1,1,1,1,1,0
35E,47.500000 us,0,1,1,1,1,0,1,0,1,1,0
252,48.000000 us,0,1,0,0,1,0,1,0,0,1,0
125,48.500000 us,1,0,1,0,0,1,0,0,1,0,0
04D,49.000000 us,1,0,1,1,0,0,1,0,0,0,0
01B,49.500000 us,1,1,0,1,1,0,0,0,0,0,0
0A2,50.000000 us,0,1,0,0,0,1,0,1,0,0,0
1AF,50.499920 us,1,1,1,1,0,1,0,1,1,0,0
2DC,51.000000 us,0,0,1,1,1,0,1,1,0,1,0
3B3,51.499920 us,1,1,0,0,1,1,0,1,1,1,0
3E5,52.000000 us,1,0,1,0,0,1,1,1,1,1,0
35E,52.499920 us,0,1,1,1,1,0,1,0,1,1,0
252,53.000000 us,0,1,0,0,1,0,1,0,0,1,0
125,53.499920 us,1,0,1,0,0,1,0,0,1,0,0
04D,53.999920 us,1,0,1,1,0,0,1,0,0,0,0
01B,54.499920 us,1,1,0,1,1,0,0,0,0,0,0
0A2,54.999920 us,0,1,0,0,0,1,0,1,0,0,0
1AE,55.499840 us,0,1,1,1,0,1,0,1,1,0,0
2DB,55.999840 us,1,1,0,1,1,0,1,1,0,1,0
3B3,56.499840 us,1,1,0,0,1,1,0,1,1,1,0
3E4,56.999920 us,0,0,1,0,0,1,1,1,1,1,0
35E,57.499840 us,0,1,1,1,1,0,1,0,1,1,0
252,57.999920 us,0,1,0,0,1,0,1,0,0,1,0
125,58.499840 us,1,0,1,0,0,1,0,0,1,0,0
04D,58.999840 us,1,0,1,1,0,0,1,0,0,0,0
01B,59.499840 us,1,1,0,1,1,0,0,0,0,0,0
0A2,59.999840 us,0,1,0,0,0,1,0,1,0,0,0
1AF,60.499760 us,1,1,1,1,0,1,0,1,1,0,0
2DB,60.999840 us,1,1,0,1,1,0,1,1,0,1,0
3B3,61.499840 us,1,1,0,0,1,1,0,1,1,1,0
3E4,61.999840 us,0,0,1,0,0,1,1,1,1,1,0
35E,62.499760 us,0,1,1,1,1,0,1,0,1,1,0
252,62.999840 us,0,1,0,0,1,0,1,0,0,1,0
125,63.499760 us,1,0,1,0,0,1,0,0,1,0,0
04D,63.999840 us,1,0,1,1,0,0,1,0,0,0,0
01B,64.499760 us,1,1,0,1,1,0,0,0,0,0,0
0A2,64.999840 us,0,1,0,0,0,1,0,1,0,0,0
1AE,65.499760 us,0,1,1,1,0,1,0,1,1,0,0
2DC,65.999760 us,0,0,1,1,1,0,1,1,0,1,0
3B3,66.499760 us,1,1,0,0,1,1,0,1,1,1,0
3E5,66.999840 us,1,0,1,0,0,1,1,1,1,1,0
35E,67.499760 us,0,1,1,1,1,0,1,0,1,1,0
252,67.999840 us,0,1,0,0,1,0,1,0,0,1,0
125,68.499760 us,1,0,1,0,0,1,0,0,1,0,0
04E,68.999840 us,0,1,1,1,0,0,1,0,0,0,0
01B,69.499840 us,1,1,0,1,1,0,0,0,0,0,0
0A3,69.999840 us,1,1,0,0,0,1,0,1,0,0,0
1AE,70.499840 us,0,1,1,1,0,1,0,1,1,0,0
2DC,70.999840 us,0,0,1,1,1,0,1,1,0,1,0
3B3,71.499840 us,1,1,0,0,1,1,0,1,1,1,0
3E5,71.999840 us,1,0,1,0,0,1,1,1,1,1,0
35D,72.499840 us,1,0,1,1,1,0,1,0,1,1,0
251,72.999920 us,1,0,0,0,1,0,1,0,0,1,0
125,73.499920 us,1,0,1,0,0,1,0,0,1,0,0
04E,73.999920 us,0,1,1,1,0,0,1,0,0,0,0
01B,74.499920 us,1,1,0,1,1,0,0,0,0,0,0
0A2,75.000000 us,0,1,0,0,0,1,0,1,0,0,0
1AF,75.499840 us,1,1,1,1,0,1,0,1,1,0,0
2DC,76.000000 us,0,0,1,1,1,0,1,1,0,1,0
3B2,76.500000 us,0,1,0,0,1,1,0,1,1,1,0
3E5,77.000000 us,1,0,1,0,0,1,1,1,1,1,0
35E,77.500000 us,0,1,1,1,1,0,1,0,1,1,0
252,78.000000 us,0,1,0,0,1,0,1,0,0,1,0
125,78.499920 us,1,0,1,0,0,1,0,0,1,0,0
04D,78.999920 us,1,0,1,1,0,0,1,0,0,0,0
01B,79.499920 us,1,1,0,1,1,0,0,0,0,0,0
0A2,79.999920 us,0,1,0,0,0,1,0,1,0,0,0
1AF,80.499760 us,1,1,1,1,0,1,0,1,1,0,0
2DC,80.999840 us,0,0,1,1,1,0,1,1,0,1,0
3B2,81.499760 us,0,1,0,0,1,1,0,1,1,1,0
3E5,81.999680 us,1,0,1,0,0,1,1,1,1,1,0
35E,82.499680 us,0,1,1,1,1,0,1,0,1,1,0
252,82.999680 us,0,1,0,0,1,0,1,0,0,1,0
125,83.499520 us,1,0,1,0,0,1,0,0,1,0,0
04D,83.999600 us,1,0,1,1,0,0,1,0,0,0,0
01B,84.499520 us,1,1,0,1,1,0,0,0,0,0,0
0A3,84.999520 us,1,1,0,0,0,1,0,1,0,0,0
1AF,85.499520 us,1,1,1,1,0,1,0,1,1,0,0
2DC,85.999520 us,0,0,1,1,1,0,1,1,0,1,0
3B3,86.499520 us,1,1,0,0,1,1,0,1,1,1,0
3E5,86.999600 us,1,0,1,0,0,1,1,1,1,1,0
35E,87.499600 us,0,1,1,1,1,0,1,0,1,1,0
251,87.999680 us,1,0,0,0,1,0,1,0,0,1,0
125,88.499680 us,1,0,1,0,0,1,0,0,1,0,0
04D,88.999760 us,1,0,1,1,0,0,1,0,0,0,0
01B,89.499840 us,1,1,0,1,1,0,0,0,0,0,0
0A2,89.999920 us,0,1,0,0,0,1,0,1,0,0,0
1AF,90.499840 us,1,1,1,1,0,1,0,1,1,0,0
2DC,91.000000 us,0,0,1,1,1,0,1,1,0,1,0
3B3,91.500000 us,1,1,0,0,1,1,0,1,1,1,0
3E5,92.000080 us,1,0,1,0,0,1,1,1,1,1,0
35D,92.500080 us,1,0,1,1,1,0,1,0,1,1,0
251,93.000160 us,1,0,0,0,1,0,1,0,0,1,0
125,93.500160 us,1,0,1,0,0,1,0,0,1,0,0
04D,94.000080 us,1,0,1,1,0,0,1,0,0,0,0
01B,94.500080 us,1,1,0,1,1,0,0,0,0,0,0
0A2,95.000080 us,0,1,0,0,0,1,0,1,0,0,0
1AF,95.499920 us,1,1,1,1,0,1,0,1,1,0,0
2DC,96.000000 us,0,0,1,1,1,0,1,1,0,1,0
3B3,96.499840 us,1,1,0,0,1,1,0,1,1,1,0
3E5,96.999920 us,1,0,1,0,0,1,1,1,1,1,0
35E,97.499840 us,0,1,1,1,1,0,1,0,1,1,0
251,97.999840 us,1,0,0,0,1,0,1,0,0,1,0
125,98.499760 us,1,0,1,0,0,1,0,0,1,0,0
04D,98.999760 us,1,0,1,1,0,0,1,0,0,0,0
01B,99.499680 us,1,1,0,1,1,0,0,0,0,0,0
0A2,99.999680 us,0,1,0,0,0,1,0,1,0,0,0
1AF,100.499600 us,1,1,1,1,0,1,0,1,1,0,0
2DC,100.999760 us,0,0,1,1,1,0,1,1,0,1,0
3B3,101.499680 us,1,1,0,0,1,1,0,1,1,1,0
3E5,101.999760 us,1,0,1,0,0,1,1,1,1,1,0
35E,102.499760 us,0,1,1,1,1,0,1,0,1,1,0
251,102.999760 us,1,0,0,0,1,0,1,0,0,1,0
125,103.499760 us,1,0,1,0,0,1,0,0,1,0,0
04D,103.999840 us,1,0,1,1,0,0,1,0,0,0,0
01C,104.499920 us,0,0,1,1,1,0,0,0,0,0,0
0A3,104.999840 us,1,1,0,0,0,1,0,1,0,0,0
1AF,105.499920 us,1,1,1,1,0,1,0,1,1,0,0
2DC,106.000000 us,0,0,1,1,1,0,1,1,0,1,0
3B2,106.499920 us,0,1,0,0,1,1,0,1,1,1,0
3E4,107.000000 us,0,0,1,0,0,1,1,1,1,1,0
35E,107.499920 us,0,1,1,1,1,0,1,0,1,1,0
252,108.000000 us,0,1,0,0,1,0,1,0,0,1,0
124,108.500000 us,0,0,1,0,0,1,0,0,1,0,0
04D,108.999920 us,1,0,1,1,0,0,1,0,0,0,0
01B,109.500000 us,1,1,0,1,1,0,0,0,0,0,0
0A2,110.000000 us,0,1,0,0,0,1,0,1,0,0,0
1AF,110.499840 us,1,1,1,1,0,1,0,1,1,0,0
2DC,110.999920 us,0,0,1,1,1,0,1,1,0,1,0
3B3,111.499840 us,1,1,0,0,1,1,0,1,1,1,0
3E5,111.999840 us,1,0,1,0,0,1,1,1,1,1,0
35D,112.499840 us,1,0,1,1,1,0,1,0,1,1,0
252,112.999840 us,0,1,0,0,1,0,1,0,0,1,0
125,113.499680 us,1,0,1,0,0,1,0,0,1,0,0
04D,113.999680 us,1,0,1,1,0,0,1,0,0,0,0
01B,114.499600 us,1,1,0,1,1,0,0,0,0,0,0
0A3,114.999600 us,1,1,0,0,0,1,0,1,0,0,0
1AF,115.499520 us,1,1,1,1,0,1,0,1,1,0,0
2DC,115.999600 us,0,0,1,1,1,0,1,1,0,1,0
3B3,116.499440 us,1,1,0,0,1,1,0,1,1,1,0
3E5,116.999520 us,1,0,1,0,0,1,1,1,1,1,0
35D,117.499520 us,1,0,1,1,1,0,1,0,1,1,0
251,117.999600 us,1,0,0,0,1,0,1,0,0,1,0
125,118.499520 us,1,0,1,0,0,1,0,0,1,0,0
04C,118.999600 us,0,0,1,1,0,0,1,0,0,0,0
01B,119.499520 us,1,1,0,1,1,0,0,0,0,0,0
0A3,119.999600 us,1,1,0,0,0,1,0,1,0,0,0
1AF,120.499600 us,1,1,1,1,0,1,0,1,1,0,0
2DC,120.999680 us,0,0,1,1,1,0,1,1,0,1,0
3B2,121.499680 us,0,1,0,0,1,1,0,1,1,1,0
3E5,121.999680 us,1,0,1,0,0,1,1,1,1,1,0
35D,122.499680 us,1,0,1,1,1,0,1,0,1,1,0
