My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
29C,0 s,0,0,1,1,1,0,0,1,0,1,0
348,499.920 ns,0,0,0,1,0,0,1,0,1,1,0
3BD,999.840 ns,1,0,1,1,1,1,0,1,1,1,0
3EB,1.499920 us,1,1,0,1,0,1,1,1,1,1,0
3C6,1.999920 us,0,1,1,0,0,0,1,1,1,1,0
358,2.499920 us,0,0,0,1,1,0,1,0,1,1,0
2B2,2.999920 us,0,1,0,0,1,1,0,1,0,1,0
1EC,3.499920 us,0,0,1,1,0,1,1,1,1,0,0
12B,3.999920 us,1,1,0,1,0,1,0,0,1,0,0
08E,4.499920 us,0,1,1,1,0,0,0,1,0,0,0
02D,4.999920 us,1,0,1,1,0,1,0,0,0,0,0
018,5.500000 us,0,0,0,1,1,0,0,0,0,0,0
054,5.999920 us,0,0,1,0,1,0,1,0,0,0,0
0D5,6.499920 us,1,0,1,0,1,0,1,1,0,0,0
189,7.000000 us,1,0,0,1,0,0,0,1,1,0,0
251,7.499920 us,1,0,0,0,1,0,1,0,0,1,0
30B,8.000000 us,1,1,0,1,0,0,0,0,1,1,0
398,8.500080 us,0,0,0,1,1,0,0,1,1,1,0
3E2,9.000000 us,0,1,0,0,0,1,1,1,1,1,0
3DE,9.500000 us,0,1,1,1,1,0,1,1,1,1,0
38B,10.000080 us,1,1,0,1,0,0,0,1,1,1,0
2F7,10.500000 us,1,1,1,0,1,1,1,1,0,1,0
23B,11.000080 us,1,1,0,1,1,1,0,0,0,1,0
173,11.500080 us,1,1,0,0,1,1,1,0,1,0,0
0C5,12.000080 us,1,0,1,0,0,0,1,1,0,0,0
04A,12.500080 us,0,1,0,1,0,0,1,0,0,0,0
017,13.000000 us,1,1,1,0,1,0,0,0,0,0,0
033,13.500080 us,1,1,0,0,1,1,0,0,0,0,0
09C,14.000080 us,0,0,1,1,1,0,0,1,0,0,0
140,14.500080 us,0,0,0,0,0,0,1,0,1,0,0
206,15.000000 us,0,1,1,0,0,0,0,0,0,1,0
2C7,15.499920 us,1,1,1,0,0,0,1,1,0,1,0
369,15.999920 us,1,0,0,1,0,1,1,0,1,1,0
3CE,16.499840 us,0,1,1,1,0,0,1,1,1,1,0
3E9,16.999840 us,1,0,0,1,0,1,1,1,1,1,0
3B3,17.499760 us,1,1,0,0,1,1,0,1,1,1,0
336,17.999760 us,0,1,1,0,1,1,0,0,1,1,0
286,18.499680 us,0,1,1,0,0,0,0,1,0,1,0
1BE,18.999600 us,0,1,1,1,1,1,0,1,1,0,0
102,19.499680 us,0,1,0,0,0,0,0,0,1,0,0
071,19.999520 us,1,0,0,0,1,1,1,0,0,0,0
021,20.499600 us,1,0,0,0,0,1,0,0,0,0,0
020,20.999600 us,0,0,0,0,0,1,0,0,0,0,0
06D,21.499440 us,1,0,1,1,0,1,1,0,0,0,0
0FB,21.999520 us,1,1,0,1,1,1,1,1,0,0,0
1B6,22.499600 us,0,1,1,0,1,1,0,1,1,0,0
27E,22.999600 us,0,1,1,1,1,1,1,0,0,1,0
330,23.499680 us,0,0,0,0,1,1,0,0,1,1,0
3AF,23.999600 us,1,1,1,1,0,1,0,1,1,1,0
3E9,24.499760 us,1,0,0,1,0,1,1,1,1,1,0
3D1,24.999680 us,1,0,0,0,1,0,1,1,1,1,0
36D,25.499760 us,1,0,1,1,0,1,1,0,1,1,0
2CE,25.999760 us,0,1,1,1,0,0,1,1,0,1,0
20D,26.499760 us,1,0,1,1,0,0,0,0,0,1,0
148,26.999760 us,0,0,0,1,0,0,1,0,1,0,0
0A3,27.499760 us,1,1,0,0,0,1,0,1,0,0,0
037,27.999760 us,1,1,1,0,1,1,0,0,0,0,0
016,28.499840 us,0,1,1,0,1,0,0,0,0,0,0
047,28.999840 us,1,1,1,0,0,0,1,0,0,0,0
0BE,29.499840 us,0,1,1,1,1,1,0,1,0,0,0
16B,29.999840 us,1,1,0,1,0,1,1,0,1,0,0
233,30.499840 us,1,1,0,0,1,1,0,0,0,1,0
2F0,30.999840 us,0,0,0,0,1,1,1,1,0,1,0
386,31.499840 us,0,1,1,0,0,0,0,1,1,1,0
3DC,31.999840 us,0,0,1,1,1,0,1,1,1,1,0
3E4,32.499920 us,0,0,1,0,0,1,1,1,1,1,0
39D,32.999840 us,1,0,1,1,1,0,0,1,1,1,0
312,33.499920 us,0,1,0,0,1,0,0,0,1,1,0
259,33.999840 us,1,0,0,1,1,0,1,0,0,1,0
191,34.499920 us,1,0,0,0,1,0,0,1,1,0,0
0DC,34.999920 us,0,0,1,1,1,0,1,1,0,0,0
058,35.499920 us,0,0,0,1,1,0,1,0,0,0,0
019,35.999920 us,1,0,0,1,1,0,0,0,0,0,0
02A,36.499920 us,0,1,0,1,0,1,0,0,0,0,0
089,36.999920 us,1,0,0,1,0,0,0,1,0,0,0
125,37.499840 us,1,0,1,0,0,1,0,0,1,0,0
1E4,37.999920 us,0,0,1,0,0,1,1,1,1,0,0
2AB,38.499840 us,1,1,0,1,0,1,0,1,0,1,0
353,38.999840 us,1,1,0,0,1,0,1,0,1,1,0
3C4,39.499920 us,0,0,1,0,0,0,1,1,1,1,0
3EA,39.999840 us,0,1,0,1,0,1,1,1,1,1,0
3C1,40.499920 us,1,0,0,0,0,0,1,1,1,1,0
34D,40.999840 us,1,0,1,1,0,0,1,0,1,1,0
2A4,41.499920 us,0,0,1,0,0,1,0,1,0,1,0
1DC,41.999840 us,0,0,1,1,1,0,1,1,1,0,0
11D,42.499840 us,1,0,1,1,1,0,0,0,1,0,0
084,42.999920 us,0,0,1,0,0,0,0,1,0,0,0
029,43.499840 us,1,0,0,1,0,1,0,0,0,0,0
01A,43.999840 us,0,1,0,1,1,0,0,0,0,0,0
05C,44.499840 us,0,0,1,1,1,0,1,0,0,0,0
0E2,44.999840 us,0,1,0,0,0,1,1,1,0,0,0
198,45.499840 us,0,0,0,1,1,0,0,1,1,0,0
261,45.999760 us,1,0,0,0,0,1,1,0,0,1,0
317,46.499760 us,1,1,1,0,1,0,0,0,1,1,0
3A1,46.999840 us,1,0,0,0,0,1,0,1,1,1,0
3E4,47.499760 us,0,0,1,0,0,1,1,1,1,1,0
3DA,47.999680 us,0,1,0,1,1,0,1,1,1,1,0
382,48.499760 us,0,1,0,0,0,0,0,1,1,1,0
2E9,48.999680 us,1,0,0,1,0,1,1,1,0,1,0
22B,49.499680 us,1,1,0,1,0,1,0,0,0,1,0
165,49.999680 us,1,0,1,0,0,1,1,0,1,0,0
0B8,50.499680 us,0,0,0,1,1,1,0,1,0,0,0
043,50.999680 us,1,1,0,0,0,0,1,0,0,0,0
015,51.499680 us,1,0,1,0,1,0,0,0,0,0,0
03A,51.999680 us,0,1,0,1,1,1,0,0,0,0,0
0A7,52.499680 us,1,1,1,0,0,1,0,1,0,0,0
14E,52.999760 us,0,1,1,1,0,0,1,0,1,0,0
214,53.499760 us,0,0,1,0,1,0,0,0,0,1,0
2D5,53.999680 us,1,0,1,0,1,0,1,1,0,1,0
373,54.499760 us,1,1,0,0,1,1,1,0,1,1,0
3D3,54.999760 us,1,1,0,0,1,0,1,1,1,1,0
3E7,55.499840 us,1,1,1,0,0,1,1,1,1,1,0
3AC,55.999840 us,0,0,1,1,0,1,0,1,1,1,0
32A,56.499840 us,0,1,0,1,0,1,0,0,1,1,0
277,56.999760 us,1,1,1,0,1,1,1,0,0,1,0
1AF,57.499840 us,1,1,1,1,0,1,0,1,1,0,0
0F5,57.999840 us,1,0,1,0,1,1,1,1,0,0,0
068,58.499840 us,0,0,0,1,0,1,1,0,0,0,0
01E,58.999760 us,0,1,1,1,1,0,0,0,0,0,0
022,59.499840 us,0,1,0,0,0,1,0,0,0,0,0
076,59.999680 us,0,1,1,0,1,1,1,0,0,0,0
109,60.499760 us,1,0,0,1,0,0,0,0,1,0,0
1C5,60.999680 us,1,0,1,0,0,0,1,1,1,0,0
28E,61.499760 us,0,1,1,1,0,0,0,1,0,1,0
33C,61.999680 us,0,0,1,1,1,1,0,0,1,1,0
3B7,62.499680 us,1,1,1,0,1,1,0,1,1,1,0
3EA,62.999840 us,0,1,0,1,0,1,1,1,1,1,0
3CC,63.499840 us,0,0,1,1,0,0,1,1,1,1,0
363,63.999760 us,1,1,0,0,0,1,1,0,1,1,0
2C0,64.499920 us,0,0,0,0,0,0,1,1,0,1,0
1FB,64.999760 us,1,1,0,1,1,1,1,1,1,0,0
139,65.499920 us,1,0,0,1,1,1,0,0,1,0,0
098,65.999920 us,0,0,0,1,1,0,0,1,0,0,0
032,66.499920 us,0,1,0,0,1,1,0,0,0,0,0
016,66.999920 us,0,1,1,0,1,0,0,0,0,0,0
04D,67.499920 us,1,0,1,1,0,0,1,0,0,0,0
0CB,67.999920 us,1,1,0,1,0,0,1,1,0,0,0
17A,68.499920 us,0,1,0,1,1,1,1,0,1,0,0
242,69.000000 us,0,1,0,0,0,0,1,0,0,1,0
2FE,69.499840 us,0,1,1,1,1,1,1,1,0,1,0
390,70.000000 us,0,0,0,0,1,0,0,1,1,1,0
3DE,70.499920 us,0,1,1,1,1,0,1,1,1,1,0
3E2,71.000000 us,0,1,0,0,0,1,1,1,1,1,0
393,71.499920 us,1,1,0,0,1,0,0,1,1,1,0
304,72.000000 us,0,0,1,0,0,0,0,0,1,1,0
24A,72.499920 us,0,1,0,1,0,0,1,0,0,1,0
182,73.000000 us,0,1,0,0,0,0,0,1,1,0,0
