My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
019,0 s,1,0,0,1,1,0,0,0,0,0,0
054,500.000 ns,0,0,1,0,1,0,1,0,0,0,0
0D6,999.920 ns,0,1,1,0,1,0,1,1,0,0,0
18A,1.500000 us,0,1,0,1,0,0,0,1,1,0,0
251,1.999920 us,1,0,0,0,1,0,1,0,0,1,0
30B,2.499920 us,1,1,0,1,0,0,0,0,1,1,0
399,2.999920 us,1,0,0,1,1,0,0,1,1,1,0
3E4,3.500000 us,0,0,1,0,0,1,1,1,1,1,0
3DF,3.999920 us,1,1,1,1,1,0,1,1,1,1,0
38D,4.500000 us,1,0,1,1,0,0,0,1,1,1,0
2F8,5.000000 us,0,0,0,1,1,1,1,1,0,1,0
23C,5.500000 us,0,0,1,1,1,1,0,0,0,1,0
174,5.999920 us,0,0,1,0,1,1,1,0,1,0,0
0C5,6.499920 us,1,0,1,0,0,0,1,1,0,0,0
04B,6.999840 us,1,1,0,1,0,0,1,0,0,0,0
017,7.499840 us,1,1,1,0,1,0,0,0,0,0,0
034,7.999920 us,0,0,1,0,1,1,0,0,0,0,0
09D,8.499840 us,1,0,1,1,1,0,0,1,0,0,0
141,8.999840 us,1,0,0,0,0,0,1,0,1,0,0
205,9.499840 us,1,0,1,0,0,0,0,0,0,1,0
2C7,9.999760 us,1,1,1,0,0,0,1,1,0,1,0
36A,10.499840 us,0,1,0,1,0,1,1,0,1,1,0
3D0,10.999840 us,0,0,0,0,1,0,1,1,1,1,0
3EA,11.499840 us,0,1,0,1,0,1,1,1,1,1,0
3B5,11.999840 us,1,0,1,0,1,1,0,1,1,1,0
337,12.499840 us,1,1,1,0,1,1,0,0,1,1,0
288,13.000000 us,0,0,0,1,0,0,0,1,0,1,0
1C0,13.499920 us,0,0,0,0,0,0,1,1,1,0,0
104,14.000000 us,0,0,1,0,0,0,0,0,1,0,0
072,14.499920 us,0,1,0,0,1,1,1,0,0,0,0
020,15.000080 us,0,0,0,0,0,1,0,0,0,0,0
020,15.500080 us,0,0,0,0,0,1,0,0,0,0,0
06D,15.999920 us,1,0,1,1,0,1,1,0,0,0,0
0FC,16.500000 us,0,0,1,1,1,1,1,1,0,0,0
1B6,17.000000 us,0,1,1,0,1,1,0,1,1,0,0
27E,17.500000 us,0,1,1,1,1,1,1,0,0,1,0
331,18.000080 us,1,0,0,0,1,1,0,0,1,1,0
3B0,18.500080 us,0,0,0,0,1,1,0,1,1,1,0
3E9,19.000080 us,1,0,0,1,0,1,1,1,1,1,0
3D2,19.500080 us,0,1,0,0,1,0,1,1,1,1,0
36F,20.000080 us,1,1,1,1,0,1,1,0,1,1,0
2CF,20.500080 us,1,1,1,1,0,0,1,1,0,1,0
20E,21.000160 us,0,1,1,1,0,0,0,0,0,1,0
149,21.500080 us,1,0,0,1,0,0,1,0,1,0,0
0A4,22.000080 us,0,0,1,0,0,1,0,1,0,0,0
038,22.500080 us,0,0,0,1,1,1,0,0,0,0,0
016,23.000000 us,0,1,1,0,1,0,0,0,0,0,0
046,23.500000 us,0,1,1,0,0,0,1,0,0,0,0
0BF,23.999920 us,1,1,1,1,1,1,0,1,0,0,0
16C,24.500000 us,0,0,1,1,0,1,1,0,1,0,0
232,24.999920 us,0,1,0,0,1,1,0,0,0,1,0
2F0,25.499920 us,0,0,0,0,1,1,1,1,0,1,0
387,25.999840 us,1,1,1,0,0,0,0,1,1,1,0
3DD,26.499840 us,1,0,1,1,1,0,1,1,1,1,0
3E5,26.999920 us,1,0,1,0,0,1,1,1,1,1,0
39D,27.499840 us,1,0,1,1,1,0,0,1,1,1,0
312,27.999920 us,0,1,0,0,1,0,0,0,1,1,0
25A,28.499840 us,0,1,0,1,1,0,1,0,0,1,0
192,28.999840 us,0,1,0,0,1,0,0,1,1,0,0
0DE,29.499840 us,0,1,1,1,1,0,1,1,0,0,0
058,29.999920 us,0,0,0,1,1,0,1,0,0,0,0
01B,30.499840 us,1,1,0,1,1,0,0,0,0,0,0
02A,30.999840 us,0,1,0,1,0,1,0,0,0,0,0
089,31.499840 us,1,0,0,1,0,0,0,1,0,0,0
125,31.999840 us,1,0,1,0,0,1,0,0,1,0,0
1E5,32.499840 us,1,0,1,0,0,1,1,1,1,0,0
2AB,32.999840 us,1,1,0,1,0,1,0,1,0,1,0
353,33.499840 us,1,1,0,0,1,0,1,0,1,1,0
3C5,33.999920 us,1,0,1,0,0,0,1,1,1,1,0
3EB,34.499840 us,1,1,0,1,0,1,1,1,1,1,0
3C3,35.000000 us,1,1,0,0,0,0,1,1,1,1,0
