My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
254,0 s,0,0,1,0,1,0,1,0,0,1,0
35F,499.840 ns,1,1,1,1,1,0,1,0,1,1,0
3E4,1.000000 us,0,0,1,0,0,1,1,1,1,1,0
3B0,1.500000 us,0,0,0,0,1,1,0,1,1,1,0
2D6,1.999920 us,0,1,1,0,1,0,1,1,0,1,0
1AA,2.499920 us,0,1,0,1,0,1,0,1,1,0,0
09E,2.999920 us,0,1,1,1,1,0,0,1,0,0,0
019,3.499920 us,1,0,0,1,1,0,0,0,0,0,0
04E,3.999920 us,0,1,1,1,0,0,1,0,0,0,0
126,4.499920 us,0,1,1,0,0,1,0,0,1,0,0
254,4.999840 us,0,0,1,0,1,0,1,0,0,1,0
35F,5.499760 us,1,1,1,1,1,0,1,0,1,1,0
3E4,5.999920 us,0,0,1,0,0,1,1,1,1,1,0
3B0,6.499840 us,0,0,0,0,1,1,0,1,1,1,0
2D7,6.999760 us,1,1,1,0,1,0,1,1,0,1,0
1AA,7.499840 us,0,1,0,1,0,1,0,1,1,0,0
09E,7.999840 us,0,1,1,1,1,0,0,1,0,0,0
019,8.499840 us,1,0,0,1,1,0,0,0,0,0,0
04D,8.999840 us,1,0,1,1,0,0,1,0,0,0,0
127,9.499760 us,1,1,1,0,0,1,0,0,1,0,0
254,9.999920 us,0,0,1,0,1,0,1,0,0,1,0
35F,10.499760 us,1,1,1,1,1,0,1,0,1,1,0
3E4,10.999920 us,0,0,1,0,0,1,1,1,1,1,0
3AF,11.499840 us,1,1,1,1,0,1,0,1,1,1,0
2D6,11.999920 us,0,1,1,0,1,0,1,1,0,1,0
1AA,12.499920 us,0,1,0,1,0,1,0,1,1,0,0
09E,12.999920 us,0,1,1,1,1,0,0,1,0,0,0
019,13.500000 us,1,0,0,1,1,0,0,0,0,0,0
04E,14.000000 us,0,1,1,1,0,0,1,0,0,0,0
127,14.499920 us,1,1,1,0,0,1,0,0,1,0,0
254,15.000080 us,0,0,1,0,1,0,1,0,0,1,0
35F,15.500000 us,1,1,1,1,1,0,1,0,1,1,0
3E5,16.000080 us,1,0,1,0,0,1,1,1,1,1,0
3AF,16.500000 us,1,1,1,1,0,1,0,1,1,1,0
2D6,17.000080 us,0,1,1,0,1,0,1,1,0,1,0
1AA,17.500080 us,0,1,0,1,0,1,0,1,1,0,0
09E,18.000000 us,0,1,1,1,1,0,0,1,0,0,0
019,18.500000 us,1,0,0,1,1,0,0,0,0,0,0
04E,19.000000 us,0,1,1,1,0,0,1,0,0,0,0
127,19.499920 us,1,1,1,0,0,1,0,0,1,0,0
254,20.000000 us,0,0,1,0,1,0,1,0,0,1,0
35F,20.499920 us,1,1,1,1,1,0,1,0,1,1,0
3E4,21.000000 us,0,0,1,0,0,1,1,1,1,1,0
3AF,21.499920 us,1,1,1,1,0,1,0,1,1,1,0
2D6,22.000000 us,0,1,1,0,1,0,1,1,0,1,0
1AA,22.499920 us,0,1,0,1,0,1,0,1,1,0,0
09E,22.999920 us,0,1,1,1,1,0,0,1,0,0,0
019,23.499920 us,1,0,0,1,1,0,0,0,0,0,0
04D,23.999840 us,1,0,1,1,0,0,1,0,0,0,0
127,24.499840 us,1,1,1,0,0,1,0,0,1,0,0
254,24.999840 us,0,0,1,0,1,0,1,0,0,1,0
35F,25.499760 us,1,1,1,1,1,0,1,0,1,1,0
3E4,25.999920 us,0,0,1,0,0,1,1,1,1,1,0
3B0,26.499840 us,0,0,0,0,1,1,0,1,1,1,0
2D6,26.999760 us,0,1,1,0,1,0,1,1,0,1,0
1A9,27.499760 us,1,0,0,1,0,1,0,1,1,0,0
09E,27.999760 us,0,1,1,1,1,0,0,1,0,0,0
019,28.499760 us,1,0,0,1,1,0,0,0,0,0,0
04E,28.999760 us,0,1,1,1,0,0,1,0,0,0,0
127,29.499680 us,1,1,1,0,0,1,0,0,1,0,0
254,29.999760 us,0,0,1,0,1,0,1,0,0,1,0
35F,30.499680 us,1,1,1,1,1,0,1,0,1,1,0
3E4,30.999840 us,0,0,1,0,0,1,1,1,1,1,0
3B0,31.499760 us,0,0,0,0,1,1,0,1,1,1,0
2D6,31.999760 us,0,1,1,0,1,0,1,1,0,1,0
1A9,32.499760 us,1,0,0,1,0,1,0,1,1,0,0
09E,32.999760 us,0,1,1,1,1,0,0,1,0,0,0
019,33.499840 us,1,0,0,1,1,0,0,0,0,0,0
04E,33.999760 us,0,1,1,1,0,0,1,0,0,0,0
127,34.499760 us,1,1,1,0,0,1,0,0,1,0,0
254,34.999840 us,0,0,1,0,1,0,1,0,0,1,0
35F,35.499760 us,1,1,1,1,1,0,1,0,1,1,0
3E5,35.999840 us,1,0,1,0,0,1,1,1,1,1,0
3AF,36.499840 us,1,1,1,1,0,1,0,1,1,1,0
2D6,36.999840 us,0,1,1,0,1,0,1,1,0,1,0
1A9,37.499840 us,1,0,0,1,0,1,0,1,1,0,0
09E,37.999840 us,0,1,1,1,1,0,0,1,0,0,0
01A,38.499920 us,0,1,0,1,1,0,0,0,0,0,0
04E,38.999840 us,0,1,1,1,0,0,1,0,0,0,0
127,39.499760 us,1,1,1,0,0,1,0,0,1,0,0
254,39.999840 us,0,0,1,0,1,0,1,0,0,1,0
35F,40.499760 us,1,1,1,1,1,0,1,0,1,1,0
3E5,40.999840 us,1,0,1,0,0,1,1,1,1,1,0
3B0,41.499840 us,0,0,0,0,1,1,0,1,1,1,0
2D6,41.999840 us,0,1,1,0,1,0,1,1,0,1,0
1A9,42.499840 us,1,0,0,1,0,1,0,1,1,0,0
09E,42.999760 us,0,1,1,1,1,0,0,1,0,0,0
019,43.499760 us,1,0,0,1,1,0,0,0,0,0,0
04D,43.999760 us,1,0,1,1,0,0,1,0,0,0,0
127,44.499760 us,1,1,1,0,0,1,0,0,1,0,0
254,44.999840 us,0,0,1,0,1,0,1,0,0,1,0
35F,45.499760 us,1,1,1,1,1,0,1,0,1,1,0
3E5,45.999840 us,1,0,1,0,0,1,1,1,1,1,0
3B0,46.499840 us,0,0,0,0,1,1,0,1,1,1,0
2D6,46.999760 us,0,1,1,0,1,0,1,1,0,1,0
1A9,47.499760 us,1,0,0,1,0,1,0,1,1,0,0
09E,47.999760 us,0,1,1,1,1,0,0,1,0,0,0
019,48.499760 us,1,0,0,1,1,0,0,0,0,0,0
04E,48.999760 us,0,1,1,1,0,0,1,0,0,0,0
127,49.499760 us,1,1,1,0,0,1,0,0,1,0,0
254,49.999840 us,0,0,1,0,1,0,1,0,0,1,0
35F,50.499680 us,1,1,1,1,1,0,1,0,1,1,0
3E4,50.999840 us,0,0,1,0,0,1,1,1,1,1,0
3AF,51.499760 us,1,1,1,1,0,1,0,1,1,1,0
2D6,51.999840 us,0,1,1,0,1,0,1,1,0,1,0
1A9,52.499840 us,1,0,0,1,0,1,0,1,1,0,0
09E,52.999920 us,0,1,1,1,1,0,0,1,0,0,0
019,53.499920 us,1,0,0,1,1,0,0,0,0,0,0
04E,53.999920 us,0,1,1,1,0,0,1,0,0,0,0
127,54.499920 us,1,1,1,0,0,1,0,0,1,0,0
254,55.000000 us,0,0,1,0,1,0,1,0,0,1,0
35F,55.499840 us,1,1,1,1,1,0,1,0,1,1,0
3E4,56.000000 us,0,0,1,0,0,1,1,1,1,1,0
3AF,56.499920 us,1,1,1,1,0,1,0,1,1,1,0
2D6,56.999920 us,0,1,1,0,1,0,1,1,0,1,0
1A9,57.499920 us,1,0,0,1,0,1,0,1,1,0,0
09E,57.999840 us,0,1,1,1,1,0,0,1,0,0,0
019,58.499840 us,1,0,0,1,1,0,0,0,0,0,0
04E,58.999840 us,0,1,1,1,0,0,1,0,0,0,0
127,59.499760 us,1,1,1,0,0,1,0,0,1,0,0
254,59.999760 us,0,0,1,0,1,0,1,0,0,1,0
35F,60.499600 us,1,1,1,1,1,0,1,0,1,1,0
3E4,60.999760 us,0,0,1,0,0,1,1,1,1,1,0
3B0,61.499600 us,0,0,0,0,1,1,0,1,1,1,0
2D6,61.999600 us,0,1,1,0,1,0,1,1,0,1,0
1A9,62.499600 us,1,0,0,1,0,1,0,1,1,0,0
09E,62.999520 us,0,1,1,1,1,0,0,1,0,0,0
019,63.499520 us,1,0,0,1,1,0,0,0,0,0,0
04E,63.999440 us,0,1,1,1,0,0,1,0,0,0,0
127,64.499360 us,1,1,1,0,0,1,0,0,1,0,0
254,64.999440 us,0,0,1,0,1,0,1,0,0,1,0
35F,65.499280 us,1,1,1,1,1,0,1,0,1,1,0
3E5,65.999360 us,1,0,1,0,0,1,1,1,1,1,0
3AF,66.499280 us,1,1,1,1,0,1,0,1,1,1,0
2D6,66.999360 us,0,1,1,0,1,0,1,1,0,1,0
1A9,67.499360 us,1,0,0,1,0,1,0,1,1,0,0
09E,67.999360 us,0,1,1,1,1,0,0,1,0,0,0
019,68.499440 us,1,0,0,1,1,0,0,0,0,0,0
04E,68.999440 us,0,1,1,1,0,0,1,0,0,0,0
127,69.499440 us,1,1,1,0,0,1,0,0,1,0,0
255,69.999520 us,1,0,1,0,1,0,1,0,0,1,0
360,70.499680 us,0,0,0,0,0,1,1,0,1,1,0
3E4,70.999600 us,0,0,1,0,0,1,1,1,1,1,0
3B0,71.499680 us,0,0,0,0,1,1,0,1,1,1,0
2D6,71.999680 us,0,1,1,0,1,0,1,1,0,1,0
1A9,72.499760 us,1,0,0,1,0,1,0,1,1,0,0
09E,72.999760 us,0,1,1,1,1,0,0,1,0,0,0
019,73.499840 us,1,0,0,1,1,0,0,0,0,0,0
04E,73.999840 us,0,1,1,1,0,0,1,0,0,0,0
128,74.499920 us,0,0,0,1,0,1,0,0,1,0,0
255,74.999840 us,1,0,1,0,1,0,1,0,0,1,0
360,75.500000 us,0,0,0,0,0,1,1,0,1,1,0
3E4,75.999920 us,0,0,1,0,0,1,1,1,1,1,0
3B0,76.500000 us,0,0,0,0,1,1,0,1,1,1,0
2D6,76.999920 us,0,1,1,0,1,0,1,1,0,1,0
1A9,77.499920 us,1,0,0,1,0,1,0,1,1,0,0
09E,77.999920 us,0,1,1,1,1,0,0,1,0,0,0
019,78.499920 us,1,0,0,1,1,0,0,0,0,0,0
04E,78.999840 us,0,1,1,1,0,0,1,0,0,0,0
127,79.499760 us,1,1,1,0,0,1,0,0,1,0,0
255,79.999760 us,1,0,1,0,1,0,1,0,0,1,0
360,80.499840 us,0,0,0,0,0,1,1,0,1,1,0
3E4,80.999680 us,0,0,1,0,0,1,1,1,1,1,0
3B0,81.499680 us,0,0,0,0,1,1,0,1,1,1,0
2D6,81.999600 us,0,1,1,0,1,0,1,1,0,1,0
1A9,82.499600 us,1,0,0,1,0,1,0,1,1,0,0
09E,82.999520 us,0,1,1,1,1,0,0,1,0,0,0
019,83.499600 us,1,0,0,1,1,0,0,0,0,0,0
04E,83.999520 us,0,1,1,1,0,0,1,0,0,0,0
127,84.499440 us,1,1,1,0,0,1,0,0,1,0,0
255,84.999520 us,1,0,1,0,1,0,1,0,0,1,0
360,85.499520 us,0,0,0,0,0,1,1,0,1,1,0
3E4,85.999440 us,0,0,1,0,0,1,1,1,1,1,0
3B0,86.499440 us,0,0,0,0,1,1,0,1,1,1,0
2D6,86.999440 us,0,1,1,0,1,0,1,1,0,1,0
1A8,87.499440 us,0,0,0,1,0,1,0,1,1,0,0
09D,87.999360 us,1,0,1,1,1,0,0,1,0,0,0
019,88.499440 us,1,0,0,1,1,0,0,0,0,0,0
04E,88.999440 us,0,1,1,1,0,0,1,0,0,0,0
127,89.499360 us,1,1,1,0,0,1,0,0,1,0,0
255,89.999440 us,1,0,1,0,1,0,1,0,0,1,0
360,90.499520 us,0,0,0,0,0,1,1,0,1,1,0
3E4,90.999440 us,0,0,1,0,0,1,1,1,1,1,0
3B0,91.499520 us,0,0,0,0,1,1,0,1,1,1,0
2D6,91.999440 us,0,1,1,0,1,0,1,1,0,1,0
1A9,92.499520 us,1,0,0,1,0,1,0,1,1,0,0
09E,92.999520 us,0,1,1,1,1,0,0,1,0,0,0
019,93.499520 us,1,0,0,1,1,0,0,0,0,0,0
04E,93.999520 us,0,1,1,1,0,0,1,0,0,0,0
128,94.499600 us,0,0,0,1,0,1,0,0,1,0,0
255,94.999520 us,1,0,1,0,1,0,1,0,0,1,0
360,95.499680 us,0,0,0,0,0,1,1,0,1,1,0
3E4,95.999600 us,0,0,1,0,0,1,1,1,1,1,0
3AF,96.499520 us,1,1,1,1,0,1,0,1,1,1,0
2D6,96.999680 us,0,1,1,0,1,0,1,1,0,1,0
1A8,97.499680 us,0,0,0,1,0,1,0,1,1,0,0
09E,97.999520 us,0,1,1,1,1,0,0,1,0,0,0
019,98.499600 us,1,0,0,1,1,0,0,0,0,0,0
04E,98.999520 us,0,1,1,1,0,0,1,0,0,0,0
128,99.499520 us,0,0,0,1,0,1,0,0,1,0,0
255,99.999440 us,1,0,1,0,1,0,1,0,0,1,0
360,100.499440 us,0,0,0,0,0,1,1,0,1,1,0
