My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
356,0 s,0,1,1,0,1,0,1,0,1,1,0
3C5,500.000 ns,1,0,1,0,0,0,1,1,1,1,0
3E9,1.000000 us,1,0,0,1,0,1,1,1,1,1,0
3BC,1.500000 us,0,0,1,1,1,1,0,1,1,1,0
346,2.000000 us,0,1,1,0,0,0,1,0,1,1,0
29B,2.499920 us,1,1,0,1,1,0,0,1,0,1,0
1D4,2.999920 us,0,0,1,0,1,0,1,1,1,0,0
115,3.499920 us,1,0,1,0,1,0,0,0,1,0,0
07D,3.999840 us,1,0,1,1,1,1,1,0,0,0,0
025,4.499920 us,1,0,1,0,0,1,0,0,0,0,0
01B,4.999840 us,1,1,0,1,1,0,0,0,0,0,0
05E,5.499840 us,0,1,1,1,1,0,1,0,0,0,0
0E7,5.999840 us,1,1,1,0,0,1,1,1,0,0,0
19D,6.499840 us,1,0,1,1,1,0,0,1,1,0,0
266,6.999840 us,0,1,1,0,0,1,1,0,0,1,0
31C,7.499840 us,0,0,1,1,1,0,0,0,1,1,0
3A3,7.999840 us,1,1,0,0,0,1,0,1,1,1,0
3E4,8.499920 us,0,0,1,0,0,1,1,1,1,1,0
3D6,8.999840 us,0,1,1,0,1,0,1,1,1,1,0
37B,9.499920 us,1,1,0,1,1,1,1,0,1,1,0
2E1,10.000000 us,1,0,0,0,0,1,1,1,0,1,0
223,10.500000 us,1,1,0,0,0,1,0,0,0,1,0
15B,10.999920 us,1,1,0,1,1,0,1,0,1,0,0
0B1,11.500000 us,1,0,0,0,1,1,0,1,0,0,0
03F,12.000000 us,1,1,1,1,1,1,0,0,0,0,0
013,12.500080 us,1,1,0,0,1,0,0,0,0,0,0
03B,13.000000 us,1,1,0,1,1,1,0,0,0,0,0
0AB,13.500080 us,1,1,0,1,0,1,0,1,0,0,0
154,14.000080 us,0,0,1,0,1,0,1,0,1,0,0
21A,14.500000 us,0,1,0,1,1,0,0,0,0,1,0
2DA,15.000080 us,0,1,0,1,1,0,1,1,0,1,0
376,15.500080 us,0,1,1,0,1,1,1,0,1,1,0
3D4,16.000080 us,0,0,1,0,1,0,1,1,1,1,0
3E6,16.500080 us,0,1,1,0,0,1,1,1,1,1,0
3A7,17.000080 us,1,1,1,0,0,1,0,1,1,1,0
323,17.500160 us,1,1,0,0,0,1,0,0,1,1,0
26E,18.000080 us,0,1,1,1,0,1,1,0,0,1,0
1A6,18.500080 us,0,1,1,0,0,1,0,1,1,0,0
0EE,19.000080 us,0,1,1,1,0,1,1,1,0,0,0
063,19.500080 us,1,1,0,0,0,1,1,0,0,0,0
01B,20.000000 us,1,1,0,1,1,0,0,0,0,0,0
023,20.500080 us,1,1,0,0,0,1,0,0,0,0,0
078,21.000000 us,0,0,0,1,1,1,1,0,0,0,0
10F,21.499920 us,1,1,1,1,0,0,0,0,1,0,0
1CB,22.000000 us,1,1,0,1,0,0,1,1,1,0,0
293,22.500000 us,1,1,0,0,1,0,0,1,0,1,0
340,23.000080 us,0,0,0,0,0,0,1,0,1,1,0
3B9,23.499920 us,1,0,0,1,1,1,0,1,1,1,0
3E9,24.000000 us,1,0,0,1,0,1,1,1,1,1,0
3C8,24.500000 us,0,0,0,1,0,0,1,1,1,1,0
35C,24.999920 us,0,0,1,1,1,0,1,0,1,1,0
2B7,25.499920 us,1,1,1,0,1,1,0,1,0,1,0
1F2,26.000000 us,0,1,0,0,1,1,1,1,1,0,0
131,26.499920 us,1,0,0,0,1,1,0,0,1,0,0
091,26.999920 us,1,0,0,0,1,0,0,1,0,0,0
02D,27.499840 us,1,0,1,1,0,1,0,0,0,0,0
016,27.999840 us,0,1,1,0,1,0,0,0,0,0,0
04F,28.499760 us,1,1,1,1,0,0,1,0,0,0,0
0CE,28.999840 us,0,1,1,1,0,0,1,1,0,0,0
180,29.499840 us,0,0,0,0,0,0,0,1,1,0,0
249,29.999680 us,1,0,0,1,0,0,1,0,0,1,0
303,30.499760 us,1,1,0,0,0,0,0,0,1,1,0
