My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
2B7,0 s,1,1,1,0,1,1,0,1,0,1,0
187,500.080 ns,1,1,1,0,0,0,0,1,1,0,0
088,1.000160 us,0,0,0,1,0,0,0,1,0,0,0
018,1.500080 us,0,0,0,1,1,0,0,0,0,0,0
062,2.000000 us,0,1,0,0,0,1,1,0,0,0,0
14C,2.500000 us,0,0,1,1,0,0,1,0,1,0,0
27C,3.000000 us,0,0,1,1,1,1,1,0,0,1,0
37C,3.500000 us,0,0,1,1,1,1,1,0,1,1,0
3EB,3.999920 us,1,1,0,1,0,1,1,1,1,1,0
3A0,4.500080 us,0,0,0,0,0,1,0,1,1,1,0
2B7,4.999840 us,1,1,1,0,1,1,0,1,0,1,0
187,5.499920 us,1,1,1,0,0,0,0,1,1,0,0
087,5.999920 us,1,1,1,0,0,0,0,1,0,0,0
017,6.499840 us,1,1,1,0,1,0,0,0,0,0,0
063,6.999840 us,1,1,0,0,0,1,1,0,0,0,0
14C,7.499840 us,0,0,1,1,0,0,1,0,1,0,0
27B,7.999760 us,1,1,0,1,1,1,1,0,0,1,0
37C,8.499920 us,0,0,1,1,1,1,1,0,1,1,0
3EB,8.999840 us,1,1,0,1,0,1,1,1,1,1,0
3A0,9.500000 us,0,0,0,0,0,1,0,1,1,1,0
2B6,9.999840 us,0,1,1,0,1,1,0,1,0,1,0
187,10.499920 us,1,1,1,0,0,0,0,1,1,0,0
087,10.999920 us,1,1,1,0,0,0,0,1,0,0,0
017,11.500000 us,1,1,1,0,1,0,0,0,0,0,0
062,12.000080 us,0,1,0,0,0,1,1,0,0,0,0
14C,12.500000 us,0,0,1,1,0,0,1,0,1,0,0
27C,13.000000 us,0,0,1,1,1,1,1,0,0,1,0
37B,13.500000 us,1,1,0,1,1,1,1,0,1,1,0
3EC,14.000160 us,0,0,1,1,0,1,1,1,1,1,0
3A0,14.500240 us,0,0,0,0,0,1,0,1,1,1,0
2B7,15.000080 us,1,1,1,0,1,1,0,1,0,1,0
187,15.500160 us,1,1,1,0,0,0,0,1,1,0,0
087,16.000160 us,1,1,1,0,0,0,0,1,0,0,0
017,16.500160 us,1,1,1,0,1,0,0,0,0,0,0
063,17.000160 us,1,1,0,0,0,1,1,0,0,0,0
14C,17.500160 us,0,0,1,1,0,0,1,0,1,0,0
27C,18.000080 us,0,0,1,1,1,1,1,0,0,1,0
37B,18.500080 us,1,1,0,1,1,1,1,0,1,1,0
3EB,19.000080 us,1,1,0,1,0,1,1,1,1,1,0
3A0,19.500160 us,0,0,0,0,0,1,0,1,1,1,0
2B6,20.000000 us,0,1,1,0,1,1,0,1,0,1,0
187,20.500080 us,1,1,1,0,0,0,0,1,1,0,0
087,21.000080 us,1,1,1,0,0,0,0,1,0,0,0
017,21.500000 us,1,1,1,0,1,0,0,0,0,0,0
062,22.000080 us,0,1,0,0,0,1,1,0,0,0,0
14C,22.500000 us,0,0,1,1,0,0,1,0,1,0,0
27C,22.999920 us,0,0,1,1,1,1,1,0,0,1,0
37C,23.500000 us,0,0,1,1,1,1,1,0,1,1,0
3EB,23.999920 us,1,1,0,1,0,1,1,1,1,1,0
3A0,24.500080 us,0,0,0,0,0,1,0,1,1,1,0
2B7,24.999920 us,1,1,1,0,1,1,0,1,0,1,0
186,25.500080 us,0,1,1,0,0,0,0,1,1,0,0
088,26.000080 us,0,0,0,1,0,0,0,1,0,0,0
017,26.500000 us,1,1,1,0,1,0,0,0,0,0,0
062,27.000160 us,0,1,0,0,0,1,1,0,0,0,0
14C,27.500160 us,0,0,1,1,0,0,1,0,1,0,0
27C,28.000160 us,0,0,1,1,1,1,1,0,0,1,0
37C,28.500240 us,0,0,1,1,1,1,1,0,1,1,0
3EB,29.000160 us,1,1,0,1,0,1,1,1,1,1,0
3A0,29.500400 us,0,0,0,0,0,1,0,1,1,1,0
2B6,30.000240 us,0,1,1,0,1,1,0,1,0,1,0
187,30.500320 us,1,1,1,0,0,0,0,1,1,0,0
087,31.000320 us,1,1,1,0,0,0,0,1,0,0,0
018,31.500400 us,0,0,0,1,1,0,0,0,0,0,0
062,32.000320 us,0,1,0,0,0,1,1,0,0,0,0
14C,32.500320 us,0,0,1,1,0,0,1,0,1,0,0
27C,33.000240 us,0,0,1,1,1,1,1,0,0,1,0
37B,33.500240 us,1,1,0,1,1,1,1,0,1,1,0
3EB,34.000320 us,1,1,0,1,0,1,1,1,1,1,0
3A0,34.500400 us,0,0,0,0,0,1,0,1,1,1,0
2B6,35.000080 us,0,1,1,0,1,1,0,1,0,1,0
187,35.500160 us,1,1,1,0,0,0,0,1,1,0,0
087,36.000160 us,1,1,1,0,0,0,0,1,0,0,0
