My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
2AC,0 s,0,0,1,1,0,1,0,1,0,1,0
3EC,999.920 ns,0,0,1,1,0,1,1,1,1,1,0
288,2.000000 us,0,0,0,1,0,0,0,1,0,1,0
06A,2.999920 us,0,1,0,1,0,1,1,0,0,0,0
07F,3.999840 us,1,1,1,1,1,1,1,0,0,0,0
2AC,4.999920 us,0,0,1,1,0,1,0,1,0,1,0
3EC,5.999840 us,0,0,1,1,0,1,1,1,1,1,0
288,6.999920 us,0,0,0,1,0,0,0,1,0,1,0
06A,7.999920 us,0,1,0,1,0,1,1,0,0,0,0
07F,8.999840 us,1,1,1,1,1,1,1,0,0,0,0
2AC,9.999920 us,0,0,1,1,0,1,0,1,0,1,0
3EC,10.999840 us,0,0,1,1,0,1,1,1,1,1,0
288,11.999840 us,0,0,0,1,0,0,0,1,0,1,0
06A,12.999760 us,0,1,0,1,0,1,1,0,0,0,0
080,13.999840 us,0,0,0,0,0,0,0,1,0,0,0
2AB,14.999680 us,1,1,0,1,0,1,0,1,0,1,0
3EC,15.999760 us,0,0,1,1,0,1,1,1,1,1,0
288,16.999760 us,0,0,0,1,0,0,0,1,0,1,0
06A,17.999760 us,0,1,0,1,0,1,1,0,0,0,0
07F,18.999680 us,1,1,1,1,1,1,1,0,0,0,0
2AC,19.999760 us,0,0,1,1,0,1,0,1,0,1,0
3EC,20.999760 us,0,0,1,1,0,1,1,1,1,1,0
288,21.999840 us,0,0,0,1,0,0,0,1,0,1,0
069,22.999760 us,1,0,0,1,0,1,1,0,0,0,0
080,23.999840 us,0,0,0,0,0,0,0,1,0,0,0
2AC,24.999760 us,0,0,1,1,0,1,0,1,0,1,0
3EC,25.999760 us,0,0,1,1,0,1,1,1,1,1,0
287,26.999840 us,1,1,1,0,0,0,0,1,0,1,0
069,27.999920 us,1,0,0,1,0,1,1,0,0,0,0
07F,28.999920 us,1,1,1,1,1,1,1,0,0,0,0
2AC,30.000000 us,0,0,1,1,0,1,0,1,0,1,0
3EC,31.000000 us,0,0,1,1,0,1,1,1,1,1,0
287,32.000080 us,1,1,1,0,0,0,0,1,0,1,0
069,33.000080 us,1,0,0,1,0,1,1,0,0,0,0
080,34.000160 us,0,0,0,0,0,0,0,1,0,0,0
2AC,35.000080 us,0,0,1,1,0,1,0,1,0,1,0
3EC,36.000080 us,0,0,1,1,0,1,1,1,1,1,0
288,37.000080 us,0,0,0,1,0,0,0,1,0,1,0
069,38.000000 us,1,0,0,1,0,1,1,0,0,0,0
080,39.000080 us,0,0,0,0,0,0,0,1,0,0,0
2AC,40.000000 us,0,0,1,1,0,1,0,1,0,1,0
3EC,41.000000 us,0,0,1,1,0,1,1,1,1,1,0
288,42.000000 us,0,0,0,1,0,0,0,1,0,1,0
069,42.999920 us,1,0,0,1,0,1,1,0,0,0,0
080,44.000000 us,0,0,0,0,0,0,0,1,0,0,0
2AC,44.999840 us,0,0,1,1,0,1,0,1,0,1,0
3EC,45.999840 us,0,0,1,1,0,1,1,1,1,1,0
288,46.999840 us,0,0,0,1,0,0,0,1,0,1,0
069,47.999760 us,1,0,0,1,0,1,1,0,0,0,0
07F,48.999680 us,1,1,1,1,1,1,1,0,0,0,0
2AC,49.999760 us,0,0,1,1,0,1,0,1,0,1,0
3EC,50.999680 us,0,0,1,1,0,1,1,1,1,1,0
288,51.999760 us,0,0,0,1,0,0,0,1,0,1,0
06A,52.999600 us,0,1,0,1,0,1,1,0,0,0,0
07F,53.999600 us,1,1,1,1,1,1,1,0,0,0,0
