My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
05D,0 s,1,0,1,1,1,0,1,0,0,0,0
029,1.000000 us,1,0,0,1,0,1,0,0,0,0,0
11E,1.999920 us,0,1,1,1,1,0,0,0,1,0,0
2A3,2.999840 us,1,1,0,0,0,1,0,1,0,1,0
3C2,3.999840 us,0,1,0,0,0,0,1,1,1,1,0
3C6,4.999760 us,0,1,1,0,0,0,1,1,1,1,0
2AD,5.999760 us,1,0,1,1,0,1,0,1,0,1,0
127,6.999680 us,1,1,1,0,0,1,0,0,1,0,0
02B,7.999760 us,1,1,0,1,0,1,0,0,0,0,0
058,8.999760 us,0,0,0,1,1,0,1,0,0,0,0
191,9.999760 us,1,0,0,0,1,0,0,1,1,0,0
312,10.999760 us,0,1,0,0,1,0,0,0,1,1,0
3E5,11.999840 us,1,0,1,0,0,1,1,1,1,1,0
389,12.999840 us,1,0,0,1,0,0,0,1,1,1,0
235,13.999840 us,1,0,1,0,1,1,0,0,0,1,0
0C0,14.999920 us,0,0,0,0,0,0,1,1,0,0,0
017,15.999840 us,1,1,1,0,1,0,0,0,0,0,0
0A3,16.999920 us,1,1,0,0,0,1,0,1,0,0,0
20D,17.999920 us,1,0,1,1,0,0,0,0,0,1,0
36F,19.000000 us,1,1,1,1,0,1,1,0,1,1,0
3EA,20.000080 us,0,1,0,1,0,1,1,1,1,1,0
332,21.000160 us,0,1,0,0,1,1,0,0,1,1,0
1B9,22.000160 us,1,0,0,1,1,1,0,1,1,0,0
06E,23.000240 us,0,1,1,1,0,1,1,0,0,0,0
021,24.000240 us,1,0,0,0,0,1,0,0,0,0,0
103,25.000240 us,1,1,0,0,0,0,0,0,1,0,0
287,26.000160 us,1,1,1,0,0,0,0,1,0,1,0
3B5,27.000080 us,1,0,1,0,1,1,0,1,1,1,0
3D1,28.000080 us,1,0,0,0,1,0,1,1,1,1,0
2CA,29.000000 us,0,1,0,1,0,0,1,1,0,1,0
142,29.999920 us,0,1,0,0,0,0,1,0,1,0,0
035,30.999920 us,1,0,1,0,1,1,0,0,0,0,0
04A,31.999920 us,0,1,0,1,0,0,1,0,0,0,0
174,32.999840 us,0,0,1,0,1,1,1,0,1,0,0
2F7,33.999840 us,1,1,1,0,1,1,1,1,0,1,0
3E0,35.000000 us,0,0,0,0,0,1,1,1,1,1,0
39A,35.999920 us,0,1,0,1,1,0,0,1,1,1,0
254,37.000000 us,0,0,1,0,1,0,1,0,0,1,0
0D8,38.000000 us,0,0,0,1,1,0,1,1,0,0,0
01A,39.000000 us,0,1,0,1,1,0,0,0,0,0,0
08E,40.000000 us,0,1,1,1,0,0,0,1,0,0,0
1ED,40.999920 us,1,0,1,1,0,1,1,1,1,0,0
359,42.000000 us,1,0,0,1,1,0,1,0,1,1,0
3EC,42.999920 us,0,0,1,1,0,1,1,1,1,1,0
34A,43.999920 us,0,1,0,1,0,0,1,0,1,1,0
1D7,44.999840 us,1,1,1,0,1,0,1,1,1,0,0
080,45.999920 us,0,0,0,0,0,0,0,1,0,0,0
01B,46.999760 us,1,1,0,1,1,0,0,0,0,0,0
0EA,47.999760 us,0,1,0,1,0,1,1,1,0,0,0
269,48.999760 us,1,0,0,1,0,1,1,0,0,1,0
3A6,49.999840 us,0,1,1,0,0,1,0,1,1,1,0
3DA,50.999840 us,0,1,0,1,1,0,1,1,1,1,0
2E5,51.999920 us,1,0,1,0,0,1,1,1,0,1,0
15E,53.000000 us,0,1,1,1,1,0,1,0,1,0,0
041,54.000000 us,1,0,0,0,0,0,1,0,0,0,0
03D,54.999920 us,1,0,1,1,1,1,0,0,0,0,0
156,55.999920 us,0,1,1,0,1,0,1,0,1,0,0
2DD,56.999920 us,1,0,1,1,1,0,1,1,0,1,0
3D8,58.000000 us,0,0,0,1,1,0,1,1,1,1,0
3AA,59.000000 us,0,1,0,1,0,1,0,1,1,1,0
271,60.000000 us,1,0,0,0,1,1,1,0,0,1,0
0F0,61.000000 us,0,0,0,0,1,1,1,1,0,0,0
01D,61.999920 us,1,0,1,1,1,0,0,0,0,0,0
07B,62.999840 us,1,1,0,1,1,1,1,0,0,0,0
1CE,63.999840 us,0,1,1,1,0,0,1,1,1,0,0
343,64.999760 us,1,1,0,0,0,0,1,0,1,1,0
3EC,65.999760 us,0,0,1,1,0,1,1,1,1,1,0
360,66.999840 us,0,0,0,0,0,1,1,0,1,1,0
1F5,67.999760 us,1,0,1,0,1,1,1,1,1,0,0
094,68.999920 us,0,0,1,0,1,0,0,1,0,0,0
018,70.000000 us,0,0,0,1,1,0,0,0,0,0,0
0D1,71.000000 us,1,0,0,0,1,0,1,1,0,0,0
24B,72.000000 us,1,1,0,1,0,0,1,0,0,1,0
395,73.000000 us,1,0,1,0,1,0,0,1,1,1,0
3E1,74.000000 us,1,0,0,0,0,1,1,1,1,1,0
300,75.000000 us,0,0,0,0,0,0,0,0,1,1,0
17C,75.999920 us,0,0,1,1,1,1,1,0,1,0,0
04E,76.999920 us,0,1,1,1,0,0,1,0,0,0,0
032,77.999840 us,0,1,0,0,1,1,0,0,0,0,0
13A,78.999840 us,0,1,0,1,1,1,0,0,1,0,0
2C1,79.999760 us,1,0,0,0,0,0,1,1,0,1,0
3CE,80.999760 us,0,1,1,1,0,0,1,1,1,1,0
3B9,81.999680 us,1,0,0,1,1,1,0,1,1,1,0
28F,82.999680 us,1,1,1,1,0,0,0,1,0,1,0
10B,83.999680 us,1,1,0,1,0,0,0,0,1,0,0
024,84.999680 us,0,0,1,0,0,1,0,0,0,0,0
069,85.999600 us,1,0,0,1,0,1,1,0,0,0,0
1B0,86.999680 us,0,0,0,0,1,1,0,1,1,0,0
32B,87.999680 us,1,1,0,1,0,1,0,0,1,1,0
3EA,88.999680 us,0,1,0,1,0,1,1,1,1,1,0
375,89.999680 us,1,0,1,0,1,1,1,0,1,1,0
215,90.999680 us,1,0,1,0,1,0,0,0,0,1,0
0A9,91.999760 us,1,0,0,1,0,1,0,1,0,0,0
017,92.999760 us,1,1,1,0,1,0,0,0,0,0,0
0B9,93.999760 us,1,0,0,1,1,1,0,1,0,0,0
22D,94.999760 us,1,0,1,1,0,1,0,0,0,1,0
