My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
013,0 s,1,1,0,0,1,0,0,0,0,0,0
185,1.000080 us,1,0,1,0,0,0,0,1,1,0,0
39E,2.000160 us,0,1,1,1,1,0,0,1,1,1,0
377,3.000160 us,1,1,1,0,1,1,1,0,1,1,0
146,4.000240 us,0,1,1,0,0,0,1,0,1,0,0
013,5.000240 us,1,1,0,0,1,0,0,0,0,0,0
185,6.000320 us,1,0,1,0,0,0,0,1,1,0,0
39E,7.000240 us,0,1,1,1,1,0,0,1,1,1,0
377,8.000240 us,1,1,1,0,1,1,1,0,1,1,0
146,9.000400 us,0,1,1,0,0,0,1,0,1,0,0
013,10.000400 us,1,1,0,0,1,0,0,0,0,0,0
185,11.000400 us,1,0,1,0,0,0,0,1,1,0,0
39D,12.000480 us,1,0,1,1,1,0,0,1,1,1,0
377,13.000480 us,1,1,1,0,1,1,1,0,1,1,0
146,14.000560 us,0,1,1,0,0,0,1,0,1,0,0
013,15.000480 us,1,1,0,0,1,0,0,0,0,0,0
184,16.000480 us,0,0,1,0,0,0,0,1,1,0,0
39D,17.000400 us,1,0,1,1,1,0,0,1,1,1,0
377,18.000320 us,1,1,1,0,1,1,1,0,1,1,0
146,19.000240 us,0,1,1,0,0,0,1,0,1,0,0
013,20.000080 us,1,1,0,0,1,0,0,0,0,0,0
184,21.000000 us,0,0,1,0,0,0,0,1,1,0,0
39D,21.999840 us,1,0,1,1,1,0,0,1,1,1,0
377,22.999840 us,1,1,1,0,1,1,1,0,1,1,0
146,23.999840 us,0,1,1,0,0,0,1,0,1,0,0
013,24.999840 us,1,1,0,0,1,0,0,0,0,0,0
184,25.999840 us,0,0,1,0,0,0,0,1,1,0,0
39D,26.999840 us,1,0,1,1,1,0,0,1,1,1,0
378,27.999920 us,0,0,0,1,1,1,1,0,1,1,0
147,29.000000 us,1,1,1,0,0,0,1,0,1,0,0
013,30.000080 us,1,1,0,0,1,0,0,0,0,0,0
184,31.000160 us,0,0,1,0,0,0,0,1,1,0,0
39E,32.000080 us,0,1,1,1,1,0,0,1,1,1,0
378,33.000240 us,0,0,0,1,1,1,1,0,1,1,0
147,34.000240 us,1,1,1,0,0,0,1,0,1,0,0
013,35.000320 us,1,1,0,0,1,0,0,0,0,0,0
184,36.000400 us,0,0,1,0,0,0,0,1,1,0,0
39D,37.000320 us,1,0,1,1,1,0,0,1,1,1,0
378,38.000320 us,0,0,0,1,1,1,1,0,1,1,0
147,39.000240 us,1,1,1,0,0,0,1,0,1,0,0
013,40.000240 us,1,1,0,0,1,0,0,0,0,0,0
184,41.000240 us,0,0,1,0,0,0,0,1,1,0,0
39D,42.000080 us,1,0,1,1,1,0,0,1,1,1,0
378,43.000080 us,0,0,0,1,1,1,1,0,1,1,0
147,44.000000 us,1,1,1,0,0,0,1,0,1,0,0
013,45.000000 us,1,1,0,0,1,0,0,0,0,0,0
184,46.000000 us,0,0,1,0,0,0,0,1,1,0,0
39D,46.999920 us,1,0,1,1,1,0,0,1,1,1,0
378,47.999920 us,0,0,0,1,1,1,1,0,1,1,0
147,48.999920 us,1,1,1,0,0,0,1,0,1,0,0
013,50.000000 us,1,1,0,0,1,0,0,0,0,0,0
184,51.000000 us,0,0,1,0,0,0,0,1,1,0,0
39D,52.000000 us,1,0,1,1,1,0,0,1,1,1,0
378,53.000080 us,0,0,0,1,1,1,1,0,1,1,0
147,54.000000 us,1,1,1,0,0,0,1,0,1,0,0
013,55.000080 us,1,1,0,0,1,0,0,0,0,0,0
183,56.000000 us,1,1,0,0,0,0,0,1,1,0,0
39D,57.000000 us,1,0,1,1,1,0,0,1,1,1,0
