My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
3D7,0 s,1,1,1,0,1,0,1,1,1,1,0
3A2,1.000080 us,0,1,0,0,0,1,0,1,1,1,0
263,2.000000 us,1,1,0,0,0,1,1,0,0,1,0
0E4,3.000080 us,0,0,1,0,0,1,1,1,0,0,0
017,3.999920 us,1,1,1,0,1,0,0,0,0,0,0
07D,4.999920 us,1,0,1,1,1,1,1,0,0,0,0
1D5,5.999840 us,1,0,1,0,1,0,1,1,1,0,0
348,6.999840 us,0,0,0,1,0,0,1,0,1,1,0
3E9,7.999760 us,1,0,0,1,0,1,1,1,1,1,0
355,8.999760 us,1,0,1,0,1,0,1,0,1,1,0
1E6,9.999760 us,0,1,1,0,0,1,1,1,1,0,0
089,10.999760 us,1,0,0,1,0,0,0,1,0,0,0
015,11.999680 us,1,0,1,0,1,0,0,0,0,0,0
0D5,12.999600 us,1,0,1,0,1,0,1,1,0,0,0
252,13.999600 us,0,1,0,0,1,0,1,0,0,1,0
398,14.999600 us,0,0,0,1,1,0,0,1,1,1,0
3DB,15.999600 us,1,1,0,1,1,0,1,1,1,1,0
2F2,16.999680 us,0,1,0,0,1,1,1,1,0,1,0
16D,17.999680 us,1,0,1,1,0,1,1,0,1,0,0
044,18.999760 us,0,0,1,0,0,0,1,0,0,0,0
031,19.999760 us,1,0,0,0,1,1,0,0,0,0,0
141,20.999840 us,1,0,0,0,0,0,1,0,1,0,0
2C8,21.999840 us,0,0,0,1,0,0,1,1,0,1,0
3CE,22.999760 us,0,1,1,1,0,0,1,1,1,1,0
3B0,23.999760 us,0,0,0,0,1,1,0,1,1,1,0
281,24.999760 us,1,0,0,0,0,0,0,1,0,1,0
0FD,25.999680 us,1,0,1,1,1,1,1,1,0,0,0
01D,26.999680 us,1,0,1,1,1,0,0,0,0,0,0
06B,27.999680 us,1,1,0,1,0,1,1,0,0,0,0
1B6,28.999680 us,0,1,1,0,1,1,0,1,1,0,0
331,29.999680 us,1,0,0,0,1,1,0,0,1,1,0
3E7,30.999680 us,1,1,1,0,0,1,1,1,1,1,0
36A,31.999760 us,0,1,0,1,0,1,1,0,1,1,0
207,32.999760 us,1,1,1,0,0,0,0,0,0,1,0
09D,33.999760 us,1,0,1,1,1,0,0,1,0,0,0
013,34.999840 us,1,1,0,0,1,0,0,0,0,0,0
0BD,35.999840 us,1,0,1,1,1,1,0,1,0,0,0
234,37.000000 us,0,0,1,0,1,1,0,0,0,1,0
386,37.999920 us,0,1,1,0,0,0,0,1,1,1,0
3E2,38.999920 us,0,1,0,0,0,1,1,1,1,1,0
30D,39.999920 us,1,0,1,1,0,0,0,0,1,1,0
18B,40.999840 us,1,1,0,1,0,0,0,1,1,0,0
053,41.999760 us,1,1,0,0,1,0,1,0,0,0,0
028,42.999680 us,0,0,0,1,0,1,0,0,0,0,0
124,43.999600 us,0,0,1,0,0,1,0,0,1,0,0
