My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
054,0 s,0,0,1,0,1,0,1,0,0,0,0
261,1.000000 us,1,0,0,0,0,1,1,0,0,1,0
3E9,2.000000 us,1,0,0,1,0,1,1,1,1,1,0
2CE,3.000080 us,0,1,1,1,0,0,1,1,0,1,0
098,4.000160 us,0,0,0,1,1,0,0,1,0,0,0
054,5.000160 us,0,0,1,0,1,0,1,0,0,0,0
261,6.000160 us,1,0,0,0,0,1,1,0,0,1,0
3E8,7.000160 us,0,0,0,1,0,1,1,1,1,1,0
2CF,8.000080 us,1,1,1,1,0,0,1,1,0,1,0
099,9.000080 us,1,0,0,1,1,0,0,1,0,0,0
054,10.000080 us,0,0,1,0,1,0,1,0,0,0,0
261,11.000000 us,1,0,0,0,0,1,1,0,0,1,0
3E8,11.999920 us,0,0,0,1,0,1,1,1,1,1,0
2CF,12.999840 us,1,1,1,1,0,0,1,1,0,1,0
098,13.999920 us,0,0,0,1,1,0,0,1,0,0,0
054,14.999920 us,0,0,1,0,1,0,1,0,0,0,0
261,15.999920 us,1,0,0,0,0,1,1,0,0,1,0
3E8,16.999920 us,0,0,0,1,0,1,1,1,1,1,0
2CF,17.999920 us,1,1,1,1,0,0,1,1,0,1,0
098,19.000000 us,0,0,0,1,1,0,0,1,0,0,0
054,20.000000 us,0,0,1,0,1,0,1,0,0,0,0
261,21.000000 us,1,0,0,0,0,1,1,0,0,1,0
3E8,22.000000 us,0,0,0,1,0,1,1,1,1,1,0
2CF,23.000000 us,1,1,1,1,0,0,1,1,0,1,0
098,24.000080 us,0,0,0,1,1,0,0,1,0,0,0
054,25.000080 us,0,0,1,0,1,0,1,0,0,0,0
261,26.000080 us,1,0,0,0,0,1,1,0,0,1,0
3E9,27.000000 us,1,0,0,1,0,1,1,1,1,1,0
2CF,28.000000 us,1,1,1,1,0,0,1,1,0,1,0
098,29.000000 us,0,0,0,1,1,0,0,1,0,0,0
054,29.999920 us,0,0,1,0,1,0,1,0,0,0,0
261,30.999920 us,1,0,0,0,0,1,1,0,0,1,0
3E9,31.999920 us,1,0,0,1,0,1,1,1,1,1,0
2CF,32.999920 us,1,1,1,1,0,0,1,1,0,1,0
098,34.000000 us,0,0,0,1,1,0,0,1,0,0,0
054,35.000000 us,0,0,1,0,1,0,1,0,0,0,0
261,36.000000 us,1,0,0,0,0,1,1,0,0,1,0
3E8,37.000000 us,0,0,0,1,0,1,1,1,1,1,0
2CF,37.999920 us,1,1,1,1,0,0,1,1,0,1,0
098,38.999920 us,0,0,0,1,1,0,0,1,0,0,0
054,39.999920 us,0,0,1,0,1,0,1,0,0,0,0
261,40.999840 us,1,0,0,0,0,1,1,0,0,1,0
