My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
167,0 s,1,1,1,0,0,1,1,0,1,0,0
2EC,1.000000 us,0,0,1,1,0,1,1,1,0,1,0
3DC,1.999920 us,0,0,1,1,1,0,1,1,1,1,0
3A1,2.999920 us,1,0,0,0,0,1,0,1,1,1,0
25F,3.999840 us,1,1,1,1,1,0,1,0,0,1,0
0E2,4.999920 us,0,1,0,0,0,1,1,1,0,0,0
01A,5.999920 us,0,1,0,1,1,0,0,0,0,0,0
085,6.999920 us,1,0,1,0,0,0,0,1,0,0,0
1E0,7.999920 us,0,0,0,0,0,1,1,1,1,0,0
350,8.999920 us,0,0,0,0,1,0,1,0,1,1,0
3EC,9.999920 us,0,0,1,1,0,1,1,1,1,1,0
352,10.999920 us,0,1,0,0,1,0,1,0,1,1,0
1E3,11.999840 us,1,1,0,0,0,1,1,1,1,0,0
088,12.999920 us,0,0,0,1,0,0,0,1,0,0,0
019,13.999840 us,1,0,0,1,1,0,0,0,0,0,0
0DF,14.999760 us,1,1,1,1,1,0,1,1,0,0,0
25C,15.999840 us,0,0,1,1,1,0,1,0,0,1,0
39E,16.999840 us,0,1,1,1,1,0,0,1,1,1,0
3DD,17.999760 us,1,0,1,1,1,0,1,1,1,1,0
2EF,18.999760 us,1,1,1,1,0,1,1,1,0,1,0
16A,19.999840 us,0,1,0,1,0,1,1,0,1,0,0
045,20.999840 us,1,0,1,0,0,0,1,0,0,0,0
038,21.999840 us,0,0,0,1,1,1,0,0,0,0,0
14A,22.999760 us,0,1,0,1,0,0,1,0,1,0,0
2D1,23.999760 us,1,0,0,0,1,0,1,1,0,1,0
3D3,24.999760 us,1,1,0,0,1,0,1,1,1,1,0
3B0,25.999760 us,0,0,0,0,1,1,0,1,1,1,0
27D,26.999760 us,1,0,1,1,1,1,1,0,0,1,0
0FA,27.999760 us,0,1,0,1,1,1,1,1,0,0,0
01F,28.999760 us,1,1,1,1,1,0,0,0,0,0,0
072,29.999760 us,0,1,0,0,1,1,1,0,0,0,0
1C2,30.999760 us,0,1,0,0,0,0,1,1,1,0,0
339,31.999680 us,1,0,0,1,1,1,0,0,1,1,0
3EB,32.999680 us,1,1,0,1,0,1,1,1,1,1,0
369,33.999760 us,1,0,0,1,0,1,1,0,1,1,0
203,34.999760 us,1,1,0,0,0,0,0,0,0,1,0
09C,35.999760 us,0,0,1,1,1,0,0,1,0,0,0
016,36.999760 us,0,1,1,0,1,0,0,0,0,0,0
0C7,37.999760 us,1,1,1,0,0,0,1,1,0,0,0
23D,38.999760 us,1,0,1,1,1,1,0,0,0,1,0
38E,39.999760 us,0,1,1,1,0,0,0,1,1,1,0
3E4,40.999760 us,0,0,1,0,0,1,1,1,1,1,0
30A,41.999760 us,0,1,0,1,0,0,0,0,1,1,0
188,42.999840 us,0,0,0,1,0,0,0,1,1,0,0
053,43.999760 us,1,1,0,0,1,0,1,0,0,0,0
02E,44.999840 us,0,1,1,1,0,1,0,0,0,0,0
12E,45.999840 us,0,1,1,1,0,1,0,0,1,0,0
2B5,46.999840 us,1,0,1,0,1,1,0,1,0,1,0
3C9,47.999920 us,1,0,0,1,0,0,1,1,1,1,0
3BE,48.999920 us,0,1,1,1,1,1,0,1,1,1,0
29B,50.000000 us,1,1,0,1,1,0,0,1,0,1,0
115,51.000000 us,1,0,1,0,1,0,0,0,1,0,0
025,52.000000 us,1,0,1,0,0,1,0,0,0,0,0
061,53.000000 us,1,0,0,0,0,1,1,0,0,0,0
1A3,53.999920 us,1,1,0,0,0,1,0,1,1,0,0
321,54.999840 us,1,0,0,0,0,1,0,0,1,1,0
3E8,55.999840 us,0,0,0,1,0,1,1,1,1,1,0
37C,56.999680 us,0,0,1,1,1,1,1,0,1,1,0
222,57.999680 us,0,1,0,0,0,1,0,0,0,1,0
0B1,58.999600 us,1,0,0,0,1,1,0,1,0,0,0
016,59.999600 us,0,1,1,0,1,0,0,0,0,0,0
0AF,60.999600 us,1,1,1,1,0,1,0,1,0,0,0
21F,61.999600 us,1,1,1,1,1,0,0,0,0,1,0
37A,62.999680 us,0,1,0,1,1,1,1,0,1,1,0
3E9,63.999680 us,1,0,0,1,0,1,1,1,1,1,0
323,64.999680 us,1,1,0,0,0,1,0,0,1,1,0
1A6,65.999600 us,0,1,1,0,0,1,0,1,1,0,0
063,66.999600 us,1,1,0,0,0,1,1,0,0,0,0
025,67.999520 us,1,0,1,0,0,1,0,0,0,0,0
113,68.999520 us,1,1,0,0,1,0,0,0,1,0,0
297,69.999440 us,1,1,1,0,1,0,0,1,0,1,0
3BC,70.999440 us,0,0,1,1,1,1,0,1,1,1,0
3CA,71.999360 us,0,1,0,1,0,0,1,1,1,1,0
2B7,72.999360 us,1,1,1,0,1,1,0,1,0,1,0
131,73.999440 us,1,0,0,0,1,1,0,0,1,0,0
02E,74.999440 us,0,1,1,1,0,1,0,0,0,0,0
051,75.999440 us,1,0,0,0,1,0,1,0,0,0,0
185,76.999520 us,1,0,1,0,0,0,0,1,1,0,0
307,77.999520 us,1,1,1,0,0,0,0,0,1,1,0
3E3,78.999600 us,1,1,0,0,0,1,1,1,1,1,0
38F,79.999680 us,1,1,1,1,0,0,0,1,1,1,0
240,80.999760 us,0,0,0,0,0,0,1,0,0,1,0
0C9,81.999760 us,1,0,0,1,0,0,1,1,0,0,0
017,82.999760 us,1,1,1,0,1,0,0,0,0,0,0
09A,83.999760 us,0,1,0,1,1,0,0,1,0,0,0
1FF,84.999760 us,1,1,1,1,1,1,1,1,1,0,0
366,85.999840 us,0,1,1,0,0,1,1,0,1,1,0
3EB,86.999760 us,1,1,0,1,0,1,1,1,1,1,0
33B,87.999760 us,1,1,0,1,1,1,0,0,1,1,0
1C4,88.999840 us,0,0,1,0,0,0,1,1,1,0,0
074,89.999840 us,0,0,1,0,1,1,1,0,0,0,0
01E,90.999840 us,0,1,1,1,1,0,0,0,0,0,0
0F8,91.999920 us,0,0,0,1,1,1,1,1,0,0,0
27A,92.999840 us,0,1,0,1,1,1,1,0,0,1,0
3AE,93.999840 us,0,1,1,1,0,1,0,1,1,1,0
3D4,94.999840 us,0,0,1,0,1,0,1,1,1,1,0
2D3,95.999760 us,1,1,0,0,1,0,1,1,0,1,0
14D,96.999680 us,1,0,1,1,0,0,1,0,1,0,0
039,97.999680 us,1,0,0,1,1,1,0,0,0,0,0
044,98.999680 us,0,0,1,0,0,0,1,0,0,0,0
167,99.999520 us,1,1,1,0,0,1,1,0,1,0,0
2ED,100.999520 us,1,0,1,1,0,1,1,1,0,1,0
3DC,101.999440 us,0,0,1,1,1,0,1,1,1,1,0
3A1,102.999440 us,1,0,0,0,0,1,0,1,1,1,0
25E,103.999280 us,0,1,1,1,1,0,1,0,0,1,0
0E1,104.999280 us,1,0,0,0,0,1,1,1,0,0,0
01A,105.999280 us,0,1,0,1,1,0,0,0,0,0,0
085,106.999200 us,1,0,1,0,0,0,0,1,0,0,0
1E0,107.999200 us,0,0,0,0,0,1,1,1,1,0,0
350,108.999280 us,0,0,0,0,1,0,1,0,1,1,0
3EC,109.999280 us,0,0,1,1,0,1,1,1,1,1,0
352,110.999360 us,0,1,0,0,1,0,1,0,1,1,0
1E3,111.999360 us,1,1,0,0,0,1,1,1,1,0,0
087,112.999440 us,1,1,1,0,0,0,0,1,0,0,0
01A,113.999520 us,0,1,0,1,1,0,0,0,0,0,0
0DF,114.999520 us,1,1,1,1,1,0,1,1,0,0,0
25C,115.999520 us,0,0,1,1,1,0,1,0,0,1,0
39F,116.999440 us,1,1,1,1,1,0,0,1,1,1,0
3DC,117.999520 us,0,0,1,1,1,0,1,1,1,1,0
2EF,118.999440 us,1,1,1,1,0,1,1,1,0,1,0
16B,119.999440 us,1,1,0,1,0,1,1,0,1,0,0
045,120.999520 us,1,0,1,0,0,0,1,0,0,0,0
037,121.999440 us,1,1,1,0,1,1,0,0,0,0,0
14A,122.999520 us,0,1,0,1,0,0,1,0,1,0,0
2D1,123.999520 us,1,0,0,0,1,0,1,1,0,1,0
3D3,124.999520 us,1,1,0,0,1,0,1,1,1,1,0
3B0,125.999520 us,0,0,0,0,1,1,0,1,1,1,0
27C,126.999520 us,0,0,1,1,1,1,1,0,0,1,0
0FB,127.999440 us,1,1,0,1,1,1,1,1,0,0,0
01F,128.999520 us,1,1,1,1,1,0,0,0,0,0,0
073,129.999520 us,1,1,0,0,1,1,1,0,0,0,0
1C2,130.999600 us,0,1,0,0,0,0,1,1,1,0,0
339,131.999600 us,1,0,0,1,1,1,0,0,1,1,0
3EB,132.999600 us,1,1,0,1,0,1,1,1,1,1,0
368,133.999600 us,0,0,0,1,0,1,1,0,1,1,0
203,134.999520 us,1,1,0,0,0,0,0,0,0,1,0
09C,135.999520 us,0,0,1,1,1,0,0,1,0,0,0
017,136.999440 us,1,1,1,0,1,0,0,0,0,0,0
0C7,137.999440 us,1,1,1,0,0,0,1,1,0,0,0
23D,138.999360 us,1,0,1,1,1,1,0,0,0,1,0
38E,139.999360 us,0,1,1,1,0,0,0,1,1,1,0
3E3,140.999280 us,1,1,0,0,0,1,1,1,1,1,0
309,141.999280 us,1,0,0,1,0,0,0,0,1,1,0
188,142.999280 us,0,0,0,1,0,0,0,1,1,0,0
053,143.999280 us,1,1,0,0,1,0,1,0,0,0,0
02D,144.999280 us,1,0,1,1,0,1,0,0,0,0,0
12F,145.999200 us,1,1,1,1,0,1,0,0,1,0,0
2B5,146.999280 us,1,0,1,0,1,1,0,1,0,1,0
3C9,147.999280 us,1,0,0,1,0,0,1,1,1,1,0
3BE,148.999280 us,0,1,1,1,1,1,0,1,1,1,0
29A,149.999440 us,0,1,0,1,1,0,0,1,0,1,0
115,150.999440 us,1,0,1,0,1,0,0,0,1,0,0
026,151.999520 us,0,1,1,0,0,1,0,0,0,0,0
062,152.999520 us,0,1,0,0,0,1,1,0,0,0,0
1A3,153.999440 us,1,1,0,0,0,1,0,1,1,0,0
321,154.999520 us,1,0,0,0,0,1,0,0,1,1,0
3E8,155.999520 us,0,0,0,1,0,1,1,1,1,1,0
37C,156.999440 us,0,0,1,1,1,1,1,0,1,1,0
222,157.999520 us,0,1,0,0,0,1,0,0,0,1,0
0B1,158.999440 us,1,0,0,0,1,1,0,1,0,0,0
016,159.999440 us,0,1,1,0,1,0,0,0,0,0,0
0B0,160.999520 us,0,0,0,0,1,1,0,1,0,0,0
