My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
3E9,0 s,1,0,0,1,0,1,1,1,1,1,0
3C0,500.080 ns,0,0,0,0,0,0,1,1,1,1,0
34D,999.920 ns,1,0,1,1,0,0,1,0,1,1,0
2A2,1.499920 us,0,1,0,0,0,1,0,1,0,1,0
1DC,1.999920 us,0,0,1,1,1,0,1,1,1,0,0
11C,2.500000 us,0,0,1,1,1,0,0,0,1,0,0
082,3.000000 us,0,1,0,0,0,0,0,1,0,0,0
026,3.499920 us,0,1,1,0,0,1,0,0,0,0,0
016,4.000000 us,0,1,1,0,1,0,0,0,0,0,0
058,4.500000 us,0,0,0,1,1,0,1,0,0,0,0
0DE,5.000000 us,0,1,1,1,1,0,1,1,0,0,0
194,5.500080 us,0,0,1,0,1,0,0,1,1,0,0
25D,6.000000 us,1,0,1,1,1,0,1,0,0,1,0
314,6.500160 us,0,0,1,0,1,0,0,0,1,1,0
39D,7.000080 us,1,0,1,1,1,0,0,1,1,1,0
3E3,7.500160 us,1,1,0,0,0,1,1,1,1,1,0
3D8,8.000240 us,0,0,0,1,1,0,1,1,1,1,0
381,8.500240 us,1,0,0,0,0,0,0,1,1,1,0
2E9,9.000160 us,1,0,0,1,0,1,1,1,0,1,0
22B,9.500240 us,1,1,0,1,0,1,0,0,0,1,0
163,10.000240 us,1,1,0,0,0,1,1,0,1,0,0
0B7,10.500160 us,1,1,1,0,1,1,0,1,0,0,0
040,11.000400 us,0,0,0,0,0,0,1,0,0,0,0
014,11.500160 us,0,0,1,0,1,0,0,0,0,0,0
035,12.000160 us,1,0,1,0,1,1,0,0,0,0,0
0A3,12.500160 us,1,1,0,0,0,1,0,1,0,0,0
14A,13.000160 us,0,1,0,1,0,0,1,0,1,0,0
210,13.500160 us,0,0,0,0,1,0,0,0,0,1,0
2D1,14.000000 us,1,0,0,0,1,0,1,1,0,1,0
370,14.500080 us,0,0,0,0,1,1,1,0,1,1,0
3D1,15.000000 us,1,0,0,0,1,0,1,1,1,1,0
3E6,15.500000 us,0,1,1,0,0,1,1,1,1,1,0
3AB,16.000000 us,1,1,0,1,0,1,0,1,1,1,0
32A,16.500000 us,0,1,0,1,0,1,0,0,1,1,0
276,16.999920 us,0,1,1,0,1,1,1,0,0,1,0
1AD,17.499920 us,1,0,1,1,0,1,0,1,1,0,0
0F4,17.999920 us,0,0,1,0,1,1,1,1,0,0,0
066,18.499920 us,0,1,1,0,0,1,1,0,0,0,0
01B,18.999920 us,1,1,0,1,1,0,0,0,0,0,0
01F,19.499920 us,1,1,1,1,1,0,0,0,0,0,0
072,19.999920 us,0,1,0,0,1,1,1,0,0,0,0
106,20.499920 us,0,1,1,0,0,0,0,0,1,0,0
1C2,20.999920 us,0,1,0,0,0,0,1,1,1,0,0
28A,21.499920 us,0,1,0,1,0,0,0,1,0,1,0
339,21.999920 us,1,0,0,1,1,1,0,0,1,1,0
3B4,22.500000 us,0,0,1,0,1,1,0,1,1,1,0
3E8,23.000000 us,0,0,0,1,0,1,1,1,1,1,0
3CB,23.499920 us,1,1,0,1,0,0,1,1,1,1,0
363,24.000000 us,1,1,0,0,0,1,1,0,1,1,0
2BF,24.500000 us,1,1,1,1,1,1,0,1,0,1,0
1FA,25.000080 us,0,1,0,1,1,1,1,1,1,0,0
138,25.500160 us,0,0,0,1,1,1,0,0,1,0,0
096,26.000080 us,0,1,1,0,1,0,0,1,0,0,0
02F,26.500080 us,1,1,1,1,0,1,0,0,0,0,0
014,27.000240 us,0,0,1,0,1,0,0,0,0,0,0
04A,27.500160 us,0,1,0,1,0,0,1,0,0,0,0
0C6,28.000160 us,0,1,1,0,0,0,1,1,0,0,0
176,28.500160 us,0,1,1,0,1,1,1,0,1,0,0
23E,29.000240 us,0,1,1,1,1,1,0,0,0,1,0
2FA,29.500240 us,0,1,0,1,1,1,1,1,0,1,0
38D,30.000240 us,1,0,1,1,0,0,0,1,1,1,0
3DD,30.500160 us,1,0,1,1,1,0,1,1,1,1,0
3E0,31.000240 us,0,0,0,0,0,1,1,1,1,1,0
393,31.500080 us,1,1,0,0,1,0,0,1,1,1,0
304,32.000240 us,0,0,1,0,0,0,0,0,1,1,0
249,32.500080 us,1,0,0,1,0,0,1,0,0,1,0
181,33.000080 us,1,0,0,0,0,0,0,1,1,0,0
0CE,33.500000 us,0,1,1,1,0,0,1,1,0,0,0
