My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
1E4,0 s,0,0,1,0,0,1,1,1,1,0,0
0C9,500.000 ns,1,0,0,1,0,0,1,1,0,0,0
024,1.000080 us,0,0,1,0,0,1,0,0,0,0,0
033,1.500000 us,1,1,0,0,1,1,0,0,0,0,0
0F0,2.000160 us,0,0,0,0,1,1,1,1,0,0,0
218,2.500160 us,0,0,0,1,1,0,0,0,0,1,0
332,3.000160 us,0,1,0,0,1,1,0,0,1,1,0
3D8,3.500240 us,0,0,0,1,1,0,1,1,1,1,0
3C9,4.000240 us,1,0,0,1,0,0,1,1,1,1,0
30B,4.500240 us,1,1,0,1,0,0,0,0,1,1,0
1E4,5.000320 us,0,0,1,0,0,1,1,1,1,0,0
0C9,5.500240 us,1,0,0,1,0,0,1,1,0,0,0
024,6.000320 us,0,0,1,0,0,1,0,0,0,0,0
033,6.500240 us,1,1,0,0,1,1,0,0,0,0,0
0F0,7.000400 us,0,0,0,0,1,1,1,1,0,0,0
218,7.500400 us,0,0,0,1,1,0,0,0,0,1,0
332,8.000320 us,0,1,0,0,1,1,0,0,1,1,0
3D8,8.500320 us,0,0,0,1,1,0,1,1,1,1,0
3C9,9.000320 us,1,0,0,1,0,0,1,1,1,1,0
30B,9.500320 us,1,1,0,1,0,0,0,0,1,1,0
1E4,10.000320 us,0,0,1,0,0,1,1,1,1,0,0
0C9,10.500320 us,1,0,0,1,0,0,1,1,0,0,0
024,11.000320 us,0,0,1,0,0,1,0,0,0,0,0
033,11.500240 us,1,1,0,0,1,1,0,0,0,0,0
0F0,12.000320 us,0,0,0,0,1,1,1,1,0,0,0
218,12.500320 us,0,0,0,1,1,0,0,0,0,1,0
332,13.000320 us,0,1,0,0,1,1,0,0,1,1,0
3D8,13.500320 us,0,0,0,1,1,0,1,1,1,1,0
3C9,14.000320 us,1,0,0,1,0,0,1,1,1,1,0
30A,14.500400 us,0,1,0,1,0,0,0,0,1,1,0
1E4,15.000320 us,0,0,1,0,0,1,1,1,1,0,0
0C9,15.500320 us,1,0,0,1,0,0,1,1,0,0,0
023,16.000320 us,1,1,0,0,0,1,0,0,0,0,0
033,16.500320 us,1,1,0,0,1,1,0,0,0,0,0
0F1,17.000320 us,1,0,0,0,1,1,1,1,0,0,0
217,17.500320 us,1,1,1,0,1,0,0,0,0,1,0
333,18.000320 us,1,1,0,0,1,1,0,0,1,1,0
