My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
014,0 s,0,0,1,0,1,0,0,0,0,0,0
0C6,999.920 ns,0,1,1,0,0,0,1,1,0,0,0
23D,1.999920 us,1,0,1,1,1,1,0,0,0,1,0
38C,3.000000 us,0,0,1,1,0,0,0,1,1,1,0
3E0,4.000000 us,0,0,0,0,0,1,1,1,1,1,0
304,5.000000 us,0,0,1,0,0,0,0,0,1,1,0
182,6.000000 us,0,1,0,0,0,0,0,1,1,0,0
04F,6.999920 us,1,1,1,1,0,0,1,0,0,0,0
02B,7.999920 us,1,1,0,1,0,1,0,0,0,0,0
12E,8.999920 us,0,1,1,1,0,1,0,0,1,0,0
2B4,9.999840 us,0,0,1,0,1,1,0,1,0,1,0
3C6,10.999840 us,0,1,1,0,0,0,1,1,1,1,0
3B9,11.999760 us,1,0,0,1,1,1,0,1,1,1,0
294,12.999840 us,0,0,1,0,1,0,0,1,0,1,0
110,13.999840 us,0,0,0,0,1,0,0,0,1,0,0
022,14.999840 us,0,1,0,0,0,1,0,0,0,0,0
060,15.999920 us,0,0,0,0,0,1,1,0,0,0,0
1A3,16.999920 us,1,1,0,0,0,1,0,1,1,0,0
31F,18.000000 us,1,1,1,1,1,0,0,0,1,1,0
3E5,19.000080 us,1,0,1,0,0,1,1,1,1,1,0
377,20.000080 us,1,1,1,0,1,1,1,0,1,1,0
21C,21.000160 us,0,0,1,1,1,0,0,0,0,1,0
0AC,22.000080 us,0,0,1,1,0,1,0,1,0,0,0
013,23.000080 us,1,1,0,0,1,0,0,0,0,0,0
0AF,24.000000 us,1,1,1,1,0,1,0,1,0,0,0
21E,25.000000 us,0,1,1,1,1,0,0,0,0,1,0
379,25.999920 us,1,0,0,1,1,1,1,0,1,1,0
3E4,26.999920 us,0,0,1,0,0,1,1,1,1,1,0
